      101  9    0.26677    4
      101 38   -0.85031    1
      101 54    0.13544    4
      101 69    0.61286    5
      101 84   -0.39789    3
      101 99   -0.85031    1
      101129    0.03369    4
      101159   -0.67134    2
      101174   -0.60872    2
      101189   -0.87042    1
      101219   -0.85031    1
      101249    0.09573    4
      101279   -0.55180    2
      101294   -0.53889    2
      101309   -0.85031    1
      101339    0.79558    5
      101354    0.30679    4
      101369   -0.56578    2
      101384   -0.50412    2
      101204   -0.87042    1
      101264    2.10220    5
      101234   -0.73736    1
      101 24   -0.05683    4
      101114   -0.60433    2
      101144   -0.57610    2
      101324   -0.25988    3
      102 16   -0.16777    3
      102 27    0.96005    5
      102 38   -0.00727    4
      102 49   -0.62956    2
      102 60    1.72755    5
      102 82   -0.51381    2
      102 93    0.17420    4
      102115   -0.14033    3
      102126   -0.37865    3
      102149   -0.25829    3
      102182    0.03651    4
      102193   -0.61211    2
      102204   -0.57115    2
      102226   -0.53392    2
      102237   -0.39591    3
      102248   -0.48643    2
      102259   -0.51381    2
      102104    0.42535    4
      102160   -0.09937    3
      102215   -0.04266    4
      102270   -0.39053    3
      102  5   -0.04266    4
      102138    0.06670    4
      102172   -0.81491    1
      102 71    0.72205    5
      103  1   -0.14350    3
      103 13    0.00192    4
      103 25    0.01936    4
      103 37   -0.04153    4
      103 49   -0.14350    3
      103 61    0.01936    4
      103 73    0.01936    4
      103 96    0.09686    4
      103108    0.37706    4
      103120    0.36490    4
      103132    0.27596    4
      103144   -0.44887    2
      103156   -0.12593    3
      103168   -0.17408    3
      103191   -0.12593    3
      103203    0.01936    4
      103227   -0.22100    3
      103239    0.09686    4
      103251   -0.22100    3
      103263    0.11443    4
      103275    0.70919    5
      103287   -0.12593    3
      103298   -0.58859    2
      103180    0.66896    5
      103 84    0.43920    4
      103215   -0.22100    3
      104  5    1.44808    5
      104 16    0.75970    5
      104 28    0.90728    5
      104 39    0.61850    5
      104 50    2.10343    5
      104 61    1.79258    5
      104 72    1.93698    5
      104 84    2.69576    5
      104 95    3.07685    5
      104106    2.37593    5
      104117   -0.00796    4
      104129    1.88804    5
      104151    3.03589    5
      104162    2.59694    5
      104174    2.25536    5
      104185    2.65480    5
      104196    2.21440    5
      104207    2.33887    5
      104218    3.03589    5
      104230    3.59882    5
      104241    2.02705    5
      104252    1.50356    5
      104263    1.98609    5
      104275    1.45969    5
      104286    0.18729    4
      105 11    0.24614    4
      105 23   -0.09937    3
      105 35   -0.31317    3
      105 47    0.40127    4
      105 59    0.61797    5
      105 71   -0.70379    1
      105 83   -0.03369    4
      105 95    0.50555    4
      105107   -0.37839    3
      105119   -0.52317    2
      105131    0.29186    4
      105143   -0.74474    1
      105155   -0.42614    3
      105180    0.15050    4
      105192   -0.74474    1
      105204   -0.08564    3
      105216   -0.37226    3
      105228   -0.69108    1
      105240   -0.38413    3
      105252   -0.18604    3
      105264   -0.28813    3
      105276   -0.43885    2
      105288    0.45339    4
      105300    0.17240    4
      105312   -0.73204    1
      105324   -0.42536    3
      105336   -0.25988    3
      105348   -0.74474    1
      105360   -0.85772    1
      105372   -0.41520    3
      105384    0.03369    4
      105396   -0.55307    2
      105408   -0.55307    2
      105420   -0.67691    1
      105432   -0.27719    3
      105444   -0.16978    3
      106  2   -0.81080    1
      106  9   -0.62461    2
      106 16   -0.30348    3
      106 38   -0.25195    3
      106 45    0.32033    4
      106 59   -0.78255    1
      106 67   -0.17714    3
      106 74   -0.67771    1
      106 81   -0.49155    2
      106 88    0.00389    4
      106 95   -0.85031    1
      106102   -0.11668    3
      106110   -0.80935    1
      106117    0.35499    4
      106131    0.15377    4
      106145    0.04027    4
      106174    0.13039    4
      106181    0.13039    4
      106189    0.44819    4
      106203    0.31759    4
      106210   -0.55123    2
      106217   -0.58424    2
      106224    0.20101    4
      106232   -0.87042    1
      106239   -0.07926    3
      106246    0.56280    5
      106253   -0.80935    1
      106260   -0.53095    2
      106267    0.34402    4
      106160   -0.74474    1
      106 52    0.14106    4
      106124   -0.71230    1
      106196   -0.80623    1
      106167   -0.74474    1
      106 24   -0.53630    2
      107  9   -0.28003    3
      107 20    0.56855    5
      107 30   -0.78255    1
      107 41    0.18692    4
      107 51   -0.91225    1
      107 62    0.39146    4
      107 72   -0.56481    2
      107 83   -0.80339    1
      107 93    0.35076    4
      107104   -0.63676    2
      107114    0.01981    4
      107125   -0.21015    3
      107135   -0.53630    2
      107146   -0.67771    1
      107156   -0.04064    4
      107167   -0.08057    3
      107177   -0.67771    1
      107188   -0.76244    1
      107198   -0.69145    1
      107209   -0.65687    2
      107219   -0.03177    4
      107230   -0.17118    3
      107241    0.14812    4
      107251    0.22430    4
      107262    0.36248    4
      107272   -0.62102    2
      107283   -0.49874    2
      107293   -0.67771    1
      107304   -0.14472    3
      107314   -0.49874    2
      107325   -0.63183    2
      107335   -0.19285    3
      107346    0.50389    4
      107356    0.33407    4
      107367   -0.13960    3
      107377   -0.40426    3
      107388   -0.53970    2
      108 12    0.17151    4
      108 27   -0.14873    3
      108 41    0.40127    4
      108 56    1.23312    5
      108 70   -0.39154    3
      108 85   -0.40527    3
      108 99    0.09834    4
      108114    0.45339    4
      108128   -0.56578    2
      108143   -0.00520    4
      108157   -0.08667    3
      108172    0.03454    4
      108186   -0.08881    3
      108201   -0.16143    3
      108215   -0.39591    3
      108244    0.17151    4
      108259   -0.55776    2
      108274   -0.51825    2
      108288    0.52163    4
      108303   -0.46792    2
      108317   -0.03292    4
      108332    0.15880    4
      108346   -0.74474    1
      108361    0.29186    4
      108375   -0.73204    1
      108390   -0.12624    3
      108404   -0.37140    3
      108419   -0.53392    2
      108433   -0.48063    2
      108448   -0.08667    3
      108462   -0.39257    3
      108477    0.09414    4
      109 14   -0.54328    2
      109 23   -0.49296    2
      109 40   -0.55307    2
      109 49   -0.68368    1
      109 57    0.52163    4
      109 66   -0.68368    1
      109 74    0.01100    4
      109 83   -0.74474    1
      109 92   -0.80935    1
      109101    0.20775    4
      109109    0.38857    4
      109118   -0.24717    3
      109127   -0.58860    2
      109135   -0.74474    1
      109144   -0.34225    3
      109152   -0.73204    1
      109161   -0.43271    2
      109170    0.06215    4
      109187   -0.03472    4
      109196   -0.47070    2
      109204   -0.55307    2
      109213   -0.55307    2
      109222    0.56280    5
      109239   -0.39591    3
      109247    0.09414    4
      109256   -0.18251    3
      109265   -0.59853    2
      109273    0.38857    4
      109282   -0.70379    1
      109291   -0.39257    3
      109299    0.32033    4
      109308   -0.21175    3
      109317   -0.70379    1
      109178    0.17151    4
      110  7    0.10685    4
      110 17   -0.60594    2
      110 26   -0.54566    2
      110 36   -0.74474    1
      110 46    0.24077    4
      110 55   -0.74474    1
      110 65   -0.33845    3
      110 75    0.09414    4
      110 84    0.09380    4
      110 94   -0.82947    1
      110104   -0.69108    1
      110113   -0.56578    2
      110123   -0.43352    2
      110133   -0.72463    1
      110142   -0.55920    2
      110152   -0.56578    2
      110162   -0.00127    4
      110171   -0.74474    1
      110181   -0.82947    1
      110191   -0.74474    1
      110200   -0.22270    3
      110210   -0.56899    2
      110220   -0.74474    1
      110229   -0.35495    3
      110239   -0.56578    2
      110249   -0.73204    1
      110268   -0.56578    2
      110278    0.16060    4
      110287   -0.82947    1
      110297   -0.43271    2
      110307   -0.55307    2
      110316   -0.80954    1
      110326    0.48964    4
      110336   -0.02554    4
      110345   -0.70379    1
      110355   -0.21073    3
      111  5   -0.70379    1
      111 14   -0.57051    2
      111 23   -0.60673    2
      111 32    0.12579    4
      111 41    0.48544    4
      111 50   -0.55307    2
      111 59   -0.74474    1
      111 68   -0.45800    2
      111 77   -0.74474    1
      111 86   -0.56578    2
      111 95   -0.72463    1
      111104   -0.55307    2
      111114   -0.67134    2
      111123   -0.55307    2
      111132    0.52163    4
      111141   -0.32013    3
      111150   -0.73204    1
      111159   -0.56578    2
      111168   -0.33706    3
      111177   -0.70379    1
      111186   -0.74474    1
      111195    0.09414    4
      111204   -0.28746    3
      111213    0.06493    4
      111222   -0.55307    2
      111231   -0.47070    2
      111241   -0.45020    2
      111250   -0.56578    2
      111259   -0.70379    1
      111268   -0.69108    1
      111277   -0.05365    4
      111295   -0.73204    1
      111304   -0.65687    2
      111313   -0.58424    2
      111286    0.61850    5
      111322   -0.55307    2
      111331   -0.56578    2
      112  8   -0.73736    1
      112 20    0.17791    4
      112 32   -0.29647    3
      112 43   -0.62956    2
      112 55   -0.58860    2
      112 67    0.45286    4
      112 79   -0.85772    1
      112 91   -0.85031    1
      112103   -0.68981    1
      112114   -0.87042    1
      112126   -0.43885    2
      112138   -0.43149    2
      112150   -0.49138    2
      112162    0.75176    5
      112174   -0.14085    3
      112186   -0.44382    2
      112197    0.02079    4
      112209   -0.73241    1
      112221   -0.78255    1
      112233   -0.14589    3
      112245   -0.64885    2
      112257   -0.87042    1
      112269   -0.74474    1
      112280    0.44903    4
      112292    0.73092    5
      112304    0.13669    4
      112316    0.45697    4
      112328    0.12186    4
      112340   -0.39257    3
      112351   -0.26325    3
      112363   -0.30119    3
