monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
July,2007	153736	0	153736	81365	22650	0	2	0	2	0	0	0	0	0	850	0	0	0	0	0	0	104	54	0	54	158
August,2007	150517	0	150517	84680	20408	0	22	0	22	0	0	0	0	0	1213	0	0	0	0	0	0	117	54	0	54	171
September,2007	164720	0	164720	70051	19813	0	103	0	103	0	2	0	2	0	853	0	0	0	0	0	0	161	64	0	64	225
October,2007	178093	0	178093	56476	22476	0	180	0	180	0	26	0	26	0	493	0	0	0	0	0	0	178	41	0	41	219
November,2007	189885	0	189885	39255	20371	0	1074	0	1074	0	810	0	810	0	319	0	0	0	0	0	0	226	98	0	98	324
December,2007	191690	0	191690	30072	19329	0	403	0	403	0	460	0	460	0	332	0	0	0	0	0	0	194	75	0	75	269
January,2008	196171	0	196171	22061	24099	0	243	0	243	0	316	0	316	0	543	0	0	0	0	0	0	123	73	0	73	196
February,2008	193349	0	193349	31299	22821	0	226	0	226	0	262	0	262	0	695	0	0	0	0	0	0	139	70	0	70	209
March,2008	193575	0	193575	21915	21556	0	278	0	278	0	471	0	471	0	579	0	0	0	0	0	0	163	82	0	82	245
April,2008	211798	0	211798	10363	26264	0	374	0	374	0	413	0	413	0	693	0	0	0	0	0	0	139	118	0	118	257
May,2008	206432	0	206432	40412	20660	0	395	0	395	0	172	0	172	0	607	0	0	0	0	0	0	72	67	0	67	139
June,2008	213836	0	213836	45466	21476	0	548	0	548	0	725	0	725	0	635	0	0	0	0	0	0	183	133	0	133	316
July,2008	214855	0	214855	40560	26439	0	299	0	299	0	676	0	676	0	585	0	0	0	0	0	0	83	47	0	47	130
August,2008	211268	0	211268	48282	24352	0	416	0	416	0	450	0	450	0	544	0	0	0	0	0	0	101	76	0	76	177
September,2008	210422	0	210422	46920	21954	0	245	0	245	0	200	0	200	0	493	0	0	0	0	0	0	76	54	0	54	130
October,2008	207801	0	207801	61722	27281	0	321	0	321	0	264	0	264	0	586	0	0	0	0	0	0	98	52	0	52	150
November,2008	202679	0	202679	67761	26257	0	1295	0	1295	0	113	0	113	0	6356	0	0	0	0	0	0	227	195	0	195	422
December,2008	202119	0	202119	50143	22227	0	156	0	156	0	11	0	11	0	886	0	0	0	0	0	0	61	34	0	34	95
January,2009	200515	0	200515	58067	28964	0	207	0	207	0	43	0	43	0	492	0	0	0	0	0	0	115	60	0	60	175
February,2009	205399	0	205399	70812	28556	0	227	0	227	0	25	0	25	0	684	0	0	0	0	0	0	123	69	0	69	192
March,2009	211003	0	211003	73529	26583	0	285	0	285	0	23	0	23	0	1229	0	0	0	0	0	0	144	70	0	70	214
April,2009	210196	0	210196	88869	30551	0	974	0	974	0	18	0	18	0	509	0	0	0	0	0	0	290	136	0	136	426
May,2009	199856	0	199856	65592	26314	0	198	0	198	0	0	0	0	0	531	0	0	0	0	0	0	125	63	0	63	188
June,2009	218987	0	218987	91886	27754	0	388	0	388	0	0	0	0	0	344	0	0	0	0	0	0	194	80	0	80	274
July,2009	206526	0	206526	101047	32747	0	222	0	222	0	3	0	3	0	495	0	0	0	0	0	0	153	73	0	73	226
August,2009	206849	0	206849	91089	31607	0	201	0	201	0	4	0	4	0	233	0	0	0	0	0	0	157	72	0	72	229
September,2009	209280	0	209280	104891	22394	0	255	0	255	0	1	0	1	0	50	0	0	0	0	0	0	165	63	0	63	228
October,2009	223067	0	223067	118654	18337	0	381	0	381	0	1	0	1	0	0	0	0	0	0	0	0	386	144	0	144	530
November,2009	225606	0	225606	127044	9268	0	385	0	385	0	10	0	10	0	0	0	0	0	0	0	0	327	123	0	123	450
December,2009	227209	0	227209	126925	15827	0	351	0	351	0	30	0	30	0	0	0	0	0	0	0	0	238	150	0	150	388
January,2010	224171	0	224171	120485	26341	0	296	0	296	0	0	0	0	0	0	0	0	0	0	0	0	303	96	0	96	399
February,2010	224796	0	224796	118721	24808	0	195	0	195	0	0	0	0	0	0	0	0	0	0	0	0	302	149	0	149	451
March,2010	220849	0	220849	131466	26020	0	221	0	221	0	0	0	0	0	0	0	0	0	0	0	0	257	167	0	167	424
April,2010	214302	0	214302	136399	28928	0	128	0	128	0	0	0	0	0	49	0	0	0	0	0	0	223	98	0	98	321
May,2010	222907	0	222907	147956	20094	0	81	0	81	0	0	0	0	0	110	0	0	0	0	0	0	279	100	0	100	379
June,2010	220656	0	220656	142228	10506	0	54	0	54	0	0	0	0	0	161	0	0	0	0	0	0	259	141	0	141	400
July,2010	214357	0	214357	144796	12952	0	29	0	29	0	0	0	0	0	169	0	0	0	0	0	0	184	80	0	80	264
August,2010	226221	0	226221	157838	22564	0	135	0	135	0	0	0	0	0	116	0	0	0	0	0	0	193	114	0	114	307
September,2010	227140	0	227140	177082	21932	0	184	0	184	0	0	0	0	0	89	0	0	0	0	0	0	246	92	0	92	338
October,2010	225100	0	225100	183643	25327	0	486	0	486	0	54	0	54	0	73	0	0	0	0	0	0	449	157	0	157	606
November,2010	227202	0	227202	211360	30462	0	1013	0	1013	0	677	0	677	0	53	0	0	0	0	0	0	433	214	0	214	647
December,2010	226070	0	226070	195858	26707	0	656	0	656	0	776	0	776	0	103	0	0	0	0	0	0	321	181	0	181	502
January,2011	216814	0	216814	182857	28227	0	167	0	167	0	441	0	441	0	57	0	0	0	0	0	0	214	101	0	101	315
