monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
May,2007	35888	0	35888	42434	7216	0	13	0	13	0	0	0	0	0	64	0	0	0	0	0	0	0	16	0	16	16
June,2007	31780	0	31780	36824	6522	0	39	0	39	0	0	0	0	0	76	0	0	0	0	0	0	0	30	0	30	30
July,2007	33270	0	33270	43272	11702	0	6	0	6	0	0	0	0	0	98	0	0	0	0	0	0	0	50	0	50	50
August,2007	30159	0	30159	41574	8127	0	7	0	7	0	0	0	0	0	178	0	0	0	0	0	0	1	24	0	24	25
September,2007	31199	0	31199	42001	7323	0	2	0	2	0	0	0	0	0	58	0	0	0	0	0	0	0	12	0	12	12
October,2007	35370	0	35370	43044	10905	0	12	0	12	0	1	0	1	0	74	0	0	0	0	0	0	1	66	0	66	67
November,2007	37211	0	37211	46226	9845	0	159	0	159	0	106	0	106	0	67	0	0	0	0	0	0	0	87	0	87	87
December,2007	36132	0	36132	38769	7704	0	106	0	106	0	142	0	142	0	80	0	0	0	0	0	0	2	51	0	51	53
January,2008	35373	0	35373	35476	11066	0	44	0	44	0	133	0	133	0	89	0	0	0	0	0	0	1	40	0	40	41
February,2008	35078	0	35078	30198	10055	0	29	0	29	0	117	0	117	0	40	0	0	0	0	0	0	0	125	0	125	125
March,2008	34983	0	34983	20482	9276	0	79	0	79	0	116	0	116	0	73	0	0	0	0	0	0	0	126	0	126	126
April,2008	33399	0	33399	7052	11269	0	58	0	58	0	114	0	114	0	99	0	0	0	0	0	0	1	40	0	40	41
May,2008	33608	0	33608	28163	11328	0	48	0	48	0	53	0	53	0	132	0	0	0	0	0	0	0	25	0	25	25
June,2008	34856	0	34856	28038	9416	0	37	0	37	0	51	0	51	0	131	0	0	0	0	0	0	0	46	0	46	46
July,2008	31270	0	31270	29126	11134	0	55	0	55	0	77	0	77	0	164	0	0	0	0	0	0	2	69	0	69	71
August,2008	32147	0	32147	32126	11500	0	48	0	48	0	21	0	21	0	121	0	0	0	0	0	0	0	41	0	41	41
September,2008	32175	0	32175	33474	8712	0	29	0	29	0	3	0	3	0	97	0	0	0	0	0	0	0	2	0	2	2
October,2008	32980	0	32980	35276	12239	0	50	0	50	0	10	0	10	0	139	0	0	0	0	0	0	1	66	0	66	67
November,2008	32055	0	32055	40817	11942	0	289	0	289	0	65	0	65	0	126	0	0	0	0	0	0	0	125	0	125	125
December,2008	31040	0	31040	34967	9641	0	41	0	41	0	7	0	7	0	261	0	0	0	0	0	0	0	12	0	12	12
January,2009	36054	0	36054	44884	12067	0	106	0	106	0	48	0	48	0	397	0	0	0	0	0	0	4	111	0	111	115
February,2009	34816	0	34816	40465	10928	0	121	0	121	0	43	0	43	0	715	0	0	0	0	0	0	3	172	0	172	175
March,2009	38503	0	38503	46946	12016	0	110	0	110	0	22	0	22	0	1227	0	0	0	0	0	0	1	169	0	169	170
April,2009	33549	0	33549	39289	11393	0	288	0	288	0	14	0	14	0	1317	0	0	0	0	0	0	12	292	0	292	304
May,2009	34651	0	34651	41248	12004	0	109	0	109	0	2	0	2	0	650	0	0	0	0	0	0	9	172	0	172	181
June,2009	36460	0	36460	41788	11098	0	99	0	99	0	9	0	9	0	273	0	0	0	0	0	0	6	186	0	186	192
July,2009	34276	0	34276	44136	13027	0	83	0	83	0	4	0	4	0	113	0	0	0	0	0	0	4	170	0	170	174
August,2009	40807	0	40807	47235	13402	0	58	0	58	0	2	0	2	0	529	0	0	0	0	0	0	5	129	0	129	134
September,2009	34637	0	34637	42205	10252	0	35	0	35	0	0	0	0	0	99	0	0	0	0	0	0	4	36	0	36	40
October,2009	34959	0	34959	48956	10104	0	64	0	64	0	0	0	0	0	35	0	0	0	0	0	0	1	180	0	180	181
November,2009	38169	0	38169	54706	6347	0	69	0	69	0	17	0	17	0	0	0	0	0	0	0	0	2	99	0	99	101
December,2009	40254	0	40254	56798	6752	0	89	0	89	0	64	0	64	0	0	0	0	0	0	0	0	5	113	0	113	118
January,2010	43752	0	43752	63644	7881	0	79	0	79	0	11	0	11	0	0	0	0	0	0	0	0	3	74	0	74	77
February,2010	39864	0	39864	57060	9104	0	90	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	183	183
March,2010	41434	0	41434	61464	9002	0	82	0	82	0	0	0	0	0	0	0	0	0	0	0	0	2	177	0	177	179
