monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
June,2007	46258	0	46258	17430	4681	0	12	0	12	0	0	0	0	0	81	0	0	0	0	0	0	130	15	0	15	145
July,2007	48102	0	48102	19006	6610	0	42	0	42	0	5	0	5	0	147	0	0	0	0	0	0	141	15	0	15	156
August,2007	44394	0	44394	18116	5784	0	28	0	28	0	0	0	0	0	112	0	0	0	0	0	0	81	4	0	4	85
September,2007	40207	0	40207	17429	5924	0	68	0	68	0	24	0	24	0	108	0	0	0	0	0	0	64	6	0	6	70
October,2007	44977	0	44977	19205	6694	0	72	0	72	0	41	0	41	0	127	0	0	0	0	0	0	91	5	0	5	96
November,2007	46453	0	46453	19844	6122	0	103	0	103	0	46	0	46	0	112	0	0	0	0	0	0	62	4	0	4	66
December,2007	48467	0	48467	15398	6665	0	96	0	96	0	23	0	23	0	139	0	0	0	0	0	0	23	0	0	0	23
January,2008	47698	0	47698	11959	7844	0	113	0	113	0	24	0	24	0	113	0	0	0	0	0	0	24	0	0	0	24
February,2008	47532	0	47532	13928	7338	0	127	0	127	0	32	0	32	0	104	0	0	0	0	0	0	33	3	0	3	36
March,2008	46571	0	46571	10054	7495	0	212	0	212	0	83	0	83	0	107	0	0	0	0	0	0	30	8	0	8	38
April,2008	46596	0	46596	5492	7924	0	193	0	193	0	81	0	81	0	167	0	0	0	0	0	0	50	6	0	6	56
May,2008	46342	0	46342	8843	7561	0	132	0	132	0	87	0	87	0	134	0	0	0	0	0	0	54	5	0	5	59
June,2008	46572	0	46572	12583	8235	0	105	0	105	0	62	0	62	0	128	0	0	0	0	0	0	31	6	0	6	37
July,2008	45349	0	45349	14498	9157	0	147	0	147	0	107	0	107	0	206	0	0	0	0	0	0	61	10	0	10	71
August,2008	46165	0	46165	13785	8960	0	123	0	123	0	71	0	71	0	146	0	0	0	0	0	0	32	8	0	8	40
September,2008	47737	0	47737	14814	8339	0	159	0	159	0	44	0	44	0	211	0	0	0	0	0	0	39	4	0	4	43
October,2008	45344	0	45344	15892	8929	0	224	0	224	0	101	0	101	0	227	0	0	0	0	0	0	114	13	0	13	127
November,2008	47330	0	47330	20750	9919	0	513	0	513	0	123	0	123	0	1267	0	0	0	0	0	0	158	23	0	23	181
December,2008	47022	0	47022	16735	7836	0	125	0	125	0	31	0	31	0	1737	0	0	0	0	0	0	64	5	0	5	69
January,2009	46910	0	46910	19026	9758	0	169	0	169	0	22	0	22	0	1785	0	0	0	0	0	0	30	3	0	3	33
February,2009	47012	0	47012	18308	9672	0	163	0	163	0	30	0	30	0	1764	0	0	0	0	0	0	27	4	0	4	31
March,2009	46459	0	46459	19084	9349	0	174	0	174	0	19	0	19	0	1686	0	0	0	0	0	0	87	10	0	10	97
April,2009	47183	0	47183	24972	10509	0	450	0	450	0	13	0	13	0	1541	0	0	0	0	0	0	200	18	0	18	218
May,2009	46942	0	46942	20725	9295	0	225	0	225	0	5	0	5	0	311	0	0	0	0	0	0	105	3	0	3	108
June,2009	49267	0	49267	21395	11893	0	181	0	181	0	6	0	6	0	1558	0	0	0	0	0	0	84	6	0	6	90
July,2009	47390	0	47390	23351	9936	0	213	0	213	0	14	0	14	0	0	0	0	0	0	0	0	194	10	0	10	204
August,2009	48026	0	48026	24857	10563	0	148	0	148	0	20	0	20	0	0	0	0	0	0	0	0	154	4	0	4	158
September,2009	46913	0	46913	23395	8209	0	100	0	100	0	14	0	14	0	0	0	0	0	0	0	0	45	6	0	6	51
October,2009	49185	0	49185	26645	11320	0	245	0	245	0	78	0	78	0	0	0	0	0	0	0	0	212	22	0	22	234
November,2009	48339	0	48339	27089	9679	0	208	0	208	0	167	0	167	0	0	0	0	0	0	0	0	199	17	0	17	216
December,2009	47746	0	47746	24632	9993	0	215	0	215	0	153	0	153	0	0	0	0	0	0	0	0	116	5	0	5	121
January,2010	49212	0	49212	26073	11181	0	170	0	170	0	209	0	209	0	0	0	0	0	0	0	0	116	6	0	6	122
February,2010	51208	0	51208	27398	10530	0	185	0	185	0	276	0	276	0	0	0	0	0	0	0	0	120	10	0	10	130
March,2010	48167	0	48167	27667	9804	0	201	0	201	0	339	0	339	0	0	0	0	0	0	0	0	101	10	0	10	111
April,2010	49175	0	49175	29243	11442	0	204	0	204	0	353	0	353	0	42	0	0	0	0	0	0	91	9	0	9	100
May,2010	48329	0	48329	26312	10359	0	92	0	92	0	308	0	308	0	62	0	0	0	0	0	0	55	6	0	6	61
June,2010	50130	0	50130	61598	10011	0	53	0	53	0	187	0	187	0	72	0	0	0	0	0	0	64	11	0	11	75
July,2010	49634	0	49634	29122	10872	0	87	0	87	0	216	0	216	0	75	0	0	0	0	0	0	141	11	0	11	152
August,2010	52582	0	52582	28630	10897	0	133	0	133	0	49	0	49	0	61	0	0	0	0	0	0	76	9	0	9	85
September,2010	52278	0	52278	28788	9834	0	130	0	130	0	209	0	209	0	47	0	0	0	0	0	0	114	11	0	11	125
October,2010	54271	0	54271	33177	11207	0	224	0	224	0	468	0	468	0	72	0	0	0	0	0	0	195	13	0	13	208
November,2010	52801	0	52801	32483	10868	0	363	0	363	0	765	0	765	0	59	0	0	0	0	0	0	232	16	0	16	248
December,2010	53240	0	53240	32488	9787	0	255	0	255	0	632	0	632	0	51	0	0	0	0	0	0	158	17	0	17	175
January,2011	51648	0	51648	28875	10883	0	128	0	128	0	378	0	378	0	35	0	0	0	0	0	0	50	27	0	27	77
February,2011	52093	0	52093	30041	9876	0	155	0	155	0	512	0	512	0	49	0	0	0	0	0	0	67	4	0	4	71
March,2011	49664	0	49664	29923	9321	0	198	0	198	0	395	0	395	0	51	0	0	0	0	0	0	59	6	0	6	65
April,2011	49277	0	49277	32837	10527	0	329	0	329	0	620	0	620	0	42	0	0	0	0	0	0	255	31	0	31	286
May,2011	38365	0	38365	23811	9017	0	138	0	138	0	404	0	404	0	20	0	0	0	0	0	0	171	8	0	8	179
June,2011	47828	0	47828	30898	10477	0	194	0	194	0	514	0	514	0	23	0	0	0	0	0	0	238	9	0	9	247
July,2011	48800	0	48800	27972	10477	0	151	0	151	0	416	0	416	0	38	0	0	0	0	0	0	412	29	0	29	441
August,2011	48534	0	48534	26769	9181	0	105	0	105	0	37	0	37	0	13	0	0	0	0	0	0	269	12	0	12	281
September,2011	49366	0	49366	27671	9757	0	101	0	101	0	75	0	75	0	13	0	0	0	0	0	0	209	12	0	12	221
October,2011	50955	0	50955	30432	10945	0	208	0	208	0	443	0	443	0	22	0	0	0	0	0	0	404	28	0	28	432
November,2011	49106	0	49106	28914	9522	0	131	0	131	0	273	0	273	0	13	0	0	0	0	0	0	178	10	0	10	188
