monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
July,2007	302215	0	302215	267755	18775	0	82	0	82	0	1	0	1	0	1035	0	0	0	0	0	0	79	130	0	130	209
August,2007	288263	0	288263	255455	16779	0	248	0	248	0	0	0	0	0	876	0	0	0	0	0	0	118	85	0	85	203
September,2007	279982	0	279982	279338	17185	0	305	0	305	0	61	0	61	0	1196	0	0	0	0	0	0	173	96	0	96	269
October,2007	292286	0	292286	247240	18548	0	273	0	273	0	153	0	153	0	149	0	0	0	0	0	0	115	107	0	107	222
November,2007	306357	0	306357	237655	21087	0	1582	0	1582	0	1290	0	1290	0	292	0	0	0	0	0	0	232	270	0	270	502
December,2007	310857	0	310857	125132	18434	0	707	0	707	0	729	0	729	0	1012	0	0	0	0	0	0	104	100	0	100	204
January,2008	311854	0	311854	66330	21715	0	556	0	556	0	964	0	964	0	634	0	0	0	0	0	0	83	145	0	145	228
February,2008	318791	0	318791	113279	22928	0	565	0	565	0	968	0	968	0	730	0	0	0	0	0	0	116	205	0	205	321
March,2008	324646	0	324646	78987	23151	0	629	0	629	0	1187	0	1187	0	872	0	0	0	0	0	0	212	274	0	274	486
April,2008	331029	0	331029	32541	24036	0	540	0	540	0	703	0	703	0	1902	0	0	0	0	0	0	144	87	0	87	231
May,2008	330267	0	330267	158784	23189	0	463	0	463	0	231	0	231	0	923	0	0	0	0	0	0	58	50	0	50	108
June,2008	327586	0	327586	141236	23309	0	479	0	479	0	444	0	444	0	1115	0	0	0	0	0	0	110	77	0	77	187
July,2008	329022	0	329022	210649	25484	0	522	0	522	0	741	0	741	0	1331	0	0	0	0	0	0	180	108	0	108	288
August,2008	343846	0	343846	202754	25639	0	472	0	472	0	493	0	493	0	1343	0	0	0	0	0	0	123	123	0	123	246
September,2008	334760	0	334760	236219	23436	0	238	0	238	0	121	0	121	0	842	0	0	0	0	0	0	45	47	0	47	92
October,2008	348122	0	348122	237151	20889	0	396	0	396	0	303	0	303	0	752	0	0	0	0	0	0	102	116	0	116	218
November,2008	355249	0	355249	258931	28157	0	1343	0	1343	0	476	0	476	0	1174	0	0	0	0	0	0	123	185	0	185	308
December,2008	334972	0	334972	217861	23654	0	316	0	316	0	54	0	54	0	1193	0	0	0	0	0	0	29	87	0	87	116
January,2009	351713	0	351713	274220	27194	0	479	0	479	0	128	0	128	0	1349	0	0	0	0	0	0	66	159	0	159	225
February,2009	355513	0	355513	283861	27906	0	581	0	581	0	85	0	85	0	896	0	0	0	0	0	0	74	132	0	132	206
March,2009	344975	0	344975	297251	27031	0	624	0	624	0	90	0	90	0	915	0	0	0	0	0	0	193	147	0	147	340
April,2009	358973	0	358973	317953	28705	0	1329	0	1329	0	94	0	94	0	1753	0	0	0	0	0	0	429	224	0	224	653
May,2009	342950	0	342950	285079	26919	0	477	0	477	0	30	0	30	0	204	0	0	0	0	0	0	138	51	0	51	189
June,2009	352720	0	352720	316149	27432	0	588	0	588	0	42	0	42	0	111	0	0	0	0	0	0	183	75	0	75	258
July,2009	352418	0	352418	319621	28077	0	696	0	696	0	43	0	43	0	63	0	0	0	0	0	0	287	198	0	198	485
August,2009	371835	0	371835	327518	28988	0	569	0	569	0	9	0	9	0	52	0	0	0	0	0	0	238	163	0	163	401
September,2009	352645	0	352645	304563	21459	0	349	0	349	0	8	0	8	0	19	0	0	0	0	0	0	189	68	0	68	257
October,2009	372792	0	372792	343211	23659	0	654	0	654	0	31	0	31	0	0	0	0	0	0	0	0	362	251	0	251	613
November,2009	354704	0	354704	364273	14910	0	710	0	710	0	45	0	45	0	1	0	0	0	0	0	0	328	128	0	128	456
December,2009	374871	0	374871	382608	19902	0	609	0	609	0	26	0	26	0	0	0	0	0	0	0	0	188	202	0	202	390
January,2010	369513	0	369513	392791	26958	0	519	0	519	0	0	0	0	0	0	0	0	0	0	0	0	158	119	0	119	277
February,2010	373761	0	373761	403583	26690	0	450	0	450	0	0	0	0	0	0	0	0	0	0	0	0	138	142	0	142	280
March,2010	376144	0	376144	425585	28583	0	317	0	317	0	2	0	2	0	0	0	0	0	0	0	0	213	200	0	200	413
April,2010	388974	0	388974	430388	31200	0	461	0	461	0	0	0	0	0	20	0	0	0	0	0	0	176	155	0	155	331
May,2010	378857	0	378857	408820	27340	0	404	0	404	0	0	0	0	0	143	0	0	0	0	0	0	200	83	0	83	283
June,2010	368316	0	368316	404302	28374	0	367	0	367	0	1	0	1	0	202	0	0	0	0	0	0	196	110	0	110	306
July,2010	371745	0	371745	410471	29917	0	310	0	310	0	0	0	0	0	214	0	0	0	0	0	0	198	192	0	192	390
August,2010	369798	0	369798	393168	30153	0	489	0	489	0	0	0	0	0	173	0	0	0	0	0	0	189	193	0	193	382
September,2010	373602	0	373602	392331	27814	0	501	0	501	0	0	0	0	0	185	0	0	0	0	0	0	242	153	0	153	395
October,2010	379539	0	379539	392475	33133	0	786	0	786	0	764	0	764	0	107	0	0	0	0	0	0	345	213	0	213	558
November,2010	376153	0	376153	405060	31553	0	1153	0	1153	0	1732	0	1732	0	169	0	0	0	0	0	0	316	213	0	213	529
December,2010	374082	0	374082	396136	31884	0	802	0	802	0	2537	0	2537	0	132	0	0	0	0	0	0	249	255	0	255	504
January,2011	378574	0	378574	386337	32840	0	526	0	526	0	1285	0	1285	0	185	0	0	0	0	0	0	212	171	0	171	383
February,2011	374210	0	374210	348292	30417	0	559	0	559	0	1505	0	1505	0	177	0	0	0	0	0	0	216	134	0	134	350
March,2011	351989	0	351989	370134	30650	0	613	0	613	0	1449	0	1449	0	193	0	0	0	0	0	0	254	177	0	177	431
April,2011	374207	0	374207	371265	30906	0	1295	0	1295	0	1736	0	1736	0	234	0	0	0	0	0	0	498	230	0	230	728
May,2011	361613	0	361613	364782	29051	0	508	0	508	0	561	0	561	0	166	0	0	0	0	0	0	431	139	0	139	570
June,2011	370270	0	370270	355682	29090	0	494	0	494	0	568	0	568	0	199	0	0	0	0	0	0	375	117	0	117	492
July,2011	370907	0	370907	361373	31538	0	560	0	560	0	832	0	832	0	147	0	0	0	0	0	0	583	230	0	230	813
August,2011	365712	0	365712	347095	28615	0	270	0	270	0	80	0	80	0	167	0	0	0	0	0	0	418	131	0	131	549
September,2011	374488	0	374488	371398	31033	0	374	0	374	0	537	0	537	0	173	0	0	0	0	0	0	633	263	0	263	896
October,2011	373457	0	373457	374178	32578	0	555	0	555	0	671	0	671	0	85	0	0	0	0	0	0	750	236	0	236	986
November,2011	363713	0	363713	419765	30328	0	394	0	394	0	329	0	329	0	111	0	0	0	0	0	0	410	179	0	179	589
December,2011	379756	0	379756	376673	31013	0	457	0	457	0	403	0	403	0	109	0	0	0	0	0	0	390	210	0	210	600
January,2012	375526	0	375526	401190	33905	0	600	0	600	0	744	0	744	0	136	0	0	0	0	0	0	437	286	0	286	723
February,2012	374157	0	374157	415641	30982	0	520	0	520	0	353	0	353	0	151	0	0	0	0	0	0	430	266	0	266	696
March,2012	385928	0	385928	430803	31700	0	985	0	985	0	1042	0	1042	0	155	0	0	0	0	0	0	562	271	0	271	833
April,2012	370270	0	370270	401246	32314	0	479	0	479	0	270	0	270	0	123	0	0	0	0	0	0	347	182	0	182	529
May,2012	362005	0	362005	394885	29881	0	389	0	389	0	226	0	226	0	85	0	0	0	0	0	0	259	128	0	128	387
June,2012	358948	0	358948	390369	30787	0	321	0	321	0	234	0	234	0	93	0	0	0	0	0	0	273	142	0	142	415
July,2012	367418	0	367418	400584	32100	0	361	0	361	0	283	0	283	0	64	0	0	0	0	0	0	339	208	0	208	547
August,2012	362749	0	362749	387917	27612	0	269	0	269	0	148	0	148	0	65	0	0	0	0	0	0	254	165	0	165	419
September,2012	378801	0	378801	437470	31100	0	837	0	837	0	887	0	887	0	37	0	0	0	0	0	0	488	298	0	298	786
October,2012	369491	0	369491	419996	31099	0	351	0	351	0	304	0	304	0	61	0	0	0	0	0	0	392	189	0	189	581
November,2012	360101	0	360101	433684	30632	0	437	0	437	0	484	0	484	0	33	0	0	0	0	0	0	343	203	0	203	546
December,2012	367346	0	367346	448239	32755	0	521	0	521	0	699	0	699	0	31	0	0	0	0	0	0	380	247	0	247	627
January,2013	358562	0	358562	453445	32644	29732	532	0	532	223	743	0	743	294	51	0	0	0	0	0	0	360	144	187	331	691
February,2013	360169	0	360169	450317	25542	31254	372	0	372	87	650	0	650	328	34	0	0	0	0	0	0	278	89	92	181	459
March,2013	345509	0	345509	454598	30823	32951	423	0	423	136	686	0	686	274	10	20	0	0	0	0	0	287	78	122	200	487
April,2013	352932	0	352932	469723	31637	33189	404	0	404	96	703	0	703	370	31	0	0	0	0	0	0	279	92	90	182	461
May,2013	351474	0	351474	484193	30780	33104	687	133	820	77	550	0	550	160	31	0	0	0	0	0	0	307	85	143	228	535
June,2013	357610	0	357610	473314	30757	33208	348	11	359	59	423	0	423	138	23	0	0	0	0	0	0	277	73	96	169	446
July,2013	360429	0	360429	486170	33633	35908	362	2	364	41	465	0	465	215	8	0	0	0	0	0	0	264	83	93	176	440
August,2013	354583	0	354583	470980	30155	31773	334	1	335	65	515	0	515	208	15	0	0	0	0	0	0	213	95	109	204	417
September,2013	361953	0	361953	507161	33004	29613	438	3	441	87	938	0	938	289	6	0	0	0	0	0	0	414	96	157	253	667
October,2013	360343	0	360343	497361	31252	33492	763	0	763	58	1165	0	1165	545	14	0	0	0	0	0	0	397	92	132	224	621
November,2013	361580	0	361580	503793	30233	31960	457	0	457	93	1087	0	1087	597	19	13	0	0	0	0	0	285	59	196	255	540
December,2013	372495	0	372495	508718	31107	32987	386	0	386	95	1122	0	1122	735	11	0	0	0	0	0	0	248	89	133	222	470
January,2014	374973	0	374973	533246	31754	33686	391	0	391	90	1116	0	1116	611	8	259	0	0	0	0	0	280	106	149	255	535
February,2014	373325	0	373325	517631	30721	32714	390	0	390	97	1170	0	1170	647	4	879	0	0	0	0	0	295	101	146	247	542
March,2014	362646	0	362646	520364	30932	32549	378	18	396	81	1045	0	1045	478	7	1270	0	0	0	0	0	255	78	135	213	468
April,2014	362099	0	362099	526739	30996	32443	471	3	474	85	1217	0	1217	581	15	1383	0	0	0	0	0	254	98	148	246	500
May,2014	358554	0	358554	518988	29891	31935	309	33	342	80	420	0	420	174	10	1190	0	0	0	0	0	228	50	107	157	385
June,2014	363567	0	363567	529065	32460	34759	806	0	806	77	1131	0	1131	287	17	1613	0	0	0	0	0	304	107	127	234	538
July,2014	364561	0	364561	502331	29885	32313	218	0	218	70	347	0	347	126	0	1281	0	0	0	0	0	203	67	128	195	398
August,2014	367611	0	367611	526868	30893	33208	412	0	412	104	806	0	806	306	0	1717	0	0	0	0	0	390	93	156	249	639
September,2014	371092	0	371092	509719	31620	33948	465	0	465	105	829	0	829	322	0	2298	0	0	0	0	0	320	109	215	324	644
October,2014	349770	0	349770	487163	29057	31393	362	0	362	76	709	0	709	338	9	2380	0	0	0	0	0	227	93	159	252	479
November,2014	356694	0	356694	507373	30793	33162	813	1	814	106	1223	0	1223	354	2	2715	0	0	0	0	0	294	113	213	326	620
December,2014	353758	0	353758	476142	31091	32593	363	0	363	89	590	0	590	256	10	2235	0	0	0	0	0	246	93	187	280	526
