monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
February,2007	2334	0	2334	15534	1724	0	5	0	5	0	0	0	0	0	56	0	0	0	0	0	0	8	4	0	4	12
July,2007	124267	0	124267	96235	7419	0	44	0	44	0	0	0	0	0	938	0	0	0	0	0	0	218	126	0	126	344
August,2007	103834	0	103834	94250	7327	0	84	0	84	0	4	0	4	0	1295	0	0	0	0	0	0	214	139	0	139	353
September,2007	155738	0	155738	93002	7266	0	177	0	177	0	0	0	0	0	1096	0	0	0	0	0	0	190	91	0	91	281
October,2007	150797	0	150797	100330	7598	0	217	0	217	0	0	0	0	0	41	0	0	0	0	0	0	192	91	0	91	283
November,2007	158889	0	158889	93540	9560	0	1403	0	1403	0	1027	0	1027	0	23	0	0	0	0	0	0	423	177	0	177	600
December,2007	151344	0	151344	67583	8245	0	1031	0	1031	0	742	0	742	0	73	0	0	0	0	0	0	160	31	0	31	191
January,2008	164777	0	164777	44257	9482	0	409	0	409	0	527	0	527	0	129	0	0	0	0	0	0	167	69	0	69	236
February,2008	158911	0	158911	60672	10664	0	344	0	344	0	702	0	702	0	128	0	0	0	0	0	0	190	122	0	122	312
March,2008	160973	0	160973	48091	10125	0	321	0	321	0	1218	0	1218	0	130	0	0	0	0	0	0	253	151	0	151	404
April,2008	165249	0	165249	23238	9600	0	322	0	322	0	941	0	941	0	117	0	0	0	0	0	0	212	124	0	124	336
May,2008	159790	0	159790	43785	9088	0	327	0	327	0	260	0	260	0	98	0	0	0	0	0	0	34	25	0	25	59
June,2008	159354	0	159354	67304	9863	0	561	0	561	0	375	0	375	0	161	0	0	0	0	0	0	61	54	0	54	115
July,2008	161155	0	161155	62219	10442	0	339	0	339	0	329	0	329	0	152	0	0	0	0	0	0	87	128	0	128	215
August,2008	152148	0	152148	76965	9505	0	316	0	316	0	381	0	381	0	141	0	0	0	0	0	0	77	57	0	57	134
September,2008	155542	0	155542	76476	8535	0	208	0	208	0	96	0	96	0	149	0	0	0	0	0	0	72	35	0	35	107
October,2008	159938	0	159938	87615	9514	0	442	0	442	0	108	0	108	0	210	0	0	0	0	0	0	158	144	0	144	302
November,2008	163949	0	163949	107961	12250	0	1896	0	1896	0	162	0	162	0	176	0	0	0	0	0	0	283	172	0	172	455
December,2008	156922	0	156922	87500	8862	0	227	0	227	0	33	0	33	0	174	0	0	0	0	0	0	45	28	0	28	73
January,2009	167249	0	167249	87628	10574	0	335	0	335	0	45	0	45	0	217	0	0	0	0	0	0	52	64	0	64	116
