monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
September,2017	137260	1591	138851	217784	20572	23209	400	0	400	9	392	0	392	78	0	485	0	0	0	7306	0	42	113	88	201	243
October,2017	141478	1886	143364	239273	20494	20197	416	0	416	6	525	0	525	112	0	561	0	0	0	7940	0	67	108	99	207	274
November,2017	132777	1685	134462	205437	20183	20712	383	0	383	11	461	0	461	99	69	400	0	0	0	6734	4	76	128	110	238	314
December,2017	130320	2176	132496	189397	21269	22278	543	16	559	28	522	0	522	50	48	260	0	0	0	5240	0	87	48	59	107	194
January,2018	136106	2678	138784	187523	22672	23565	642	20	662	19	723	0	723	106	56	231	0	0	0	4480	0	100	209	214	416	516
February,2018	134816	2157	136973	172814	21541	22044	362	18	380	26	390	0	390	120	132	376	0	0	0	3650	0	86	112	117	229	315
March,2018	126461	2179	128640	187216	22440	23230	620	9	629	20	631	0	631	70	36	232	0	0	0	2180	0	73	165	180	345	418
April,2018	120351	2082	122433	153520	22180	22986	289	10	299	5	320	0	320	59	24	159	0	0	0	1760	0	34	119	74	220	254
May,2018	117096	1795	118891	144761	19735	20648	253	9	262	4	216	0	216	51	21	68	0	0	0	0	0	28	104	71	176	204
June,2018	132361	1911	134272	158994	20786	20734	174	4	178	8	160	0	160	40	43	58	0	0	0	1150	0	14	80	53	133	147
July,2018	142193	2699	144892	153914	22460	23283	294	3	297	15	296	0	296	129	22	177	0	0	0	0	0	59	103	169	272	331
August,2018	122268	1910	124178	158711	20850	21407	308	11	319	26	261	33	294	51	16	310	0	0	0	390	0	62	37	103	139	201
September,2018	125758	1907	127665	176036	22065	22707	348	49	397	8	255	0	255	94	13	242	0	0	0	200	0	68	69	134	203	271
