monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
May,2007	178871	0	178871	103078	12916	0	187	0	187	0	0	0	0	0	445	0	0	0	0	0	0	173	63	0	63	236
July,2007	94418	0	94418	156846	17336	0	44	0	44	0	0	0	0	0	530	0	0	0	0	0	0	148	61	0	61	209
August,2007	106583	0	106583	160337	16961	0	115	0	115	0	4	0	4	0	1226	0	0	0	0	0	0	98	70	0	70	168
September,2007	190128	0	190128	129045	15136	0	187	0	187	0	26	0	26	0	748	0	0	0	0	0	0	77	60	0	60	137
October,2007	184778	0	184778	90829	15821	0	215	0	215	0	74	0	74	0	66	0	0	0	0	0	0	66	20	0	20	86
November,2007	199576	0	199576	82787	18733	0	1172	0	1172	0	776	0	776	0	77	0	0	0	0	0	0	187	139	0	139	326
December,2007	202879	0	202879	39542	15271	0	832	0	832	0	330	0	330	0	180	0	0	0	0	0	0	125	44	0	44	169
January,2008	207594	0	207594	30250	19076	0	496	0	496	0	554	0	554	0	229	0	0	0	0	0	0	75	76	0	76	151
February,2008	207126	0	207126	41042	21265	0	480	0	480	0	519	0	519	0	303	0	0	0	0	0	0	73	78	0	78	151
March,2008	207580	0	207580	50433	19276	0	434	0	434	0	790	0	790	0	300	0	0	0	0	0	0	95	106	0	106	201
April,2008	211892	0	211892	20513	20757	0	457	0	457	0	662	0	662	0	297	0	0	0	0	0	0	127	95	0	95	222
May,2008	202936	0	202936	93222	19886	0	424	0	424	0	297	0	297	0	206	0	0	0	0	0	0	42	47	0	47	89
June,2008	190589	0	190589	103955	20300	0	481	0	481	0	440	0	440	0	218	0	0	0	0	0	0	53	64	0	64	117
July,2008	192000	0	192000	84659	17087	0	395	0	395	0	867	0	867	0	180	0	0	0	0	0	0	96	108	0	108	204
August,2008	190220	0	190220	131207	21972	0	405	0	405	0	446	0	446	0	195	0	0	0	0	0	0	124	63	0	63	187
September,2008	201881	0	201881	124950	20001	0	232	0	232	0	86	0	86	0	266	0	0	0	0	0	0	65	16	0	16	81
October,2008	199270	0	199270	136018	24217	0	362	0	362	0	342	0	342	0	312	0	0	0	0	0	0	67	55	0	55	122
November,2008	212913	0	212913	158552	24290	0	1523	0	1523	0	726	0	726	0	406	0	0	0	0	0	0	228	171	0	171	399
December,2008	199658	0	199658	134332	18819	0	349	0	349	0	131	0	131	0	560	0	0	0	0	0	0	78	24	0	24	102
January,2009	213364	0	213364	146951	25882	0	430	0	430	0	280	0	280	0	2015	0	0	0	0	0	0	61	38	0	38	99
February,2009	198850	0	198850	134696	24355	0	482	0	482	0	135	0	135	0	289	0	0	0	0	0	0	81	88	0	88	169
March,2009	204485	0	204485	162681	22393	0	422	0	422	0	155	0	155	0	237	0	0	0	0	0	0	109	110	0	110	219
April,2009	192771	0	192771	165054	27397	0	1393	0	1393	0	50	0	50	0	224	0	0	0	0	0	0	303	168	0	168	471
May,2009	194161	0	194161	159136	23287	0	327	0	327	0	1	0	1	0	92	0	0	0	0	0	0	99	54	0	54	153
June,2009	185950	0	185950	161407	23869	0	367	0	367	0	10	0	10	0	63	0	0	0	0	0	0	151	75	0	75	226
July,2009	197841	0	197841	180394	28041	0	413	0	413	0	14	0	14	0	54	0	0	0	0	0	0	298	101	0	101	399
August,2009	202044	0	202044	191834	23867	0	399	0	399	0	0	0	0	0	22	0	0	0	0	0	0	379	91	0	91	470
