monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
July,2007	72169	0	72169	34742	4397	0	11	0	11	0	0	0	0	0	301	0	0	0	0	0	0	12	127	0	127	139
August,2007	61235	0	61235	36192	4164	0	84	0	84	0	0	0	0	0	237	0	0	0	0	0	0	9	98	0	98	107
September,2007	73472	0	73472	33240	4709	0	94	0	94	0	1	0	1	0	387	0	0	0	0	0	0	10	105	0	105	115
October,2007	73176	0	73176	28158	4674	0	101	0	101	0	4	0	4	0	353	0	0	0	0	0	0	10	144	0	144	154
November,2007	76850	0	76850	29233	5575	0	544	0	544	0	219	0	219	0	277	0	0	0	0	0	0	23	227	0	227	250
December,2007	70497	0	70497	12043	4606	0	283	0	283	0	153	0	153	0	205	0	0	0	0	0	0	20	86	0	86	106
January,2008	75603	0	75603	16736	5656	0	169	0	169	0	74	0	74	0	346	0	0	0	0	0	0	16	130	0	130	146
February,2008	73064	0	73064	19335	5637	0	154	0	154	0	103	0	103	0	418	0	0	0	0	0	0	15	146	0	146	161
March,2008	75406	0	75406	8226	5554	0	146	0	146	0	142	0	142	0	496	0	0	0	0	0	0	15	132	0	132	147
April,2008	74612	0	74612	4260	5774	0	160	0	160	0	73	0	73	0	559	0	0	0	0	0	0	6	111	0	111	117
May,2008	76459	0	76459	23085	5697	0	146	0	146	0	58	0	58	0	625	0	0	0	0	0	0	4	78	0	78	82
June,2008	75875	0	75875	33746	5943	0	137	0	137	0	87	0	87	0	703	0	0	0	0	0	0	7	116	0	116	123
July,2008	78277	0	78277	35496	6678	0	135	0	135	0	73	0	73	0	486	0	0	0	0	0	0	8	126	0	126	134
August,2008	78314	0	78314	35004	6202	0	160	0	160	0	63	0	63	0	305	0	0	0	0	0	0	5	62	0	62	67
September,2008	78633	0	78633	33762	6382	0	87	0	87	0	41	0	41	0	311	0	0	0	0	0	0	3	48	0	48	51
October,2008	76866	0	76866	35502	7650	0	100	0	100	0	101	0	101	0	355	0	0	0	0	0	0	10	85	0	85	95
November,2008	78890	0	78890	40807	7603	0	686	0	686	0	121	0	121	0	336	0	0	0	0	0	0	23	194	0	194	217
December,2008	73346	0	73346	35735	5990	0	139	0	139	0	20	0	20	0	1549	0	0	0	0	0	0	4	48	0	48	52
January,2009	79824	0	79824	38111	7636	0	161	0	161	0	96	0	96	0	3582	0	0	0	0	0	0	16	112	0	112	128
February,2009	77131	0	77131	38036	7722	0	136	0	136	0	77	0	77	0	1375	0	0	0	0	0	0	11	131	0	131	142
March,2009	77815	0	77815	41436	7185	0	193	0	193	0	61	0	61	0	959	0	0	0	0	0	0	8	114	0	114	122
April,2009	74961	0	74961	39589	7939	0	463	0	463	0	58	0	58	0	358	0	0	0	0	0	0	61	218	0	218	279
May,2009	77079	0	77079	39680	6922	0	176	0	176	0	45	0	45	0	246	0	0	0	0	0	0	22	75	0	75	97
June,2009	78661	0	78661	42840	7374	0	200	0	200	0	22	0	22	0	294	0	0	0	0	0	0	17	132	0	132	149
July,2009	66604	0	66604	35877	6471	0	218	0	218	0	0	0	0	0	196	0	0	0	0	0	0	41	164	0	164	205
August,2009	69271	0	69271	40336	10066	0	197	0	197	0	0	0	0	0	881	0	0	0	0	0	0	21	126	0	126	147
September,2009	74707	0	74707	39140	5741	0	141	0	141	0	0	0	0	0	6	0	0	0	0	0	0	16	50	0	50	66
October,2009	79811	0	79811	42890	7754	0	224	0	224	0	0	0	0	0	0	0	0	0	0	0	0	39	212	0	212	251
November,2009	80827	0	80827	45114	5079	0	244	0	244	0	0	0	0	0	0	0	0	0	0	0	0	38	140	0	140	178
December,2009	77916	0	77916	43380	6570	0	254	0	254	0	0	0	0	0	0	0	0	0	0	0	0	30	113	0	113	143
January,2010	83721	0	83721	46287	8460	0	239	0	239	0	0	0	0	0	0	0	0	0	0	0	0	20	132	0	132	152
February,2010	79151	0	79151	42698	6912	0	200	0	200	0	0	0	0	0	0	0	0	0	0	0	0	29	176	0	176	205
March,2010	78936	0	78936	44580	7512	0	99	0	99	0	0	0	0	0	0	0	0	0	0	0	0	27	168	0	168	195
April,2010	78612	0	78612	41455	8812	0	40	0	40	0	0	0	0	0	0	0	0	0	0	0	0	18	119	0	119	137
May,2010	80244	0	80244	43382	7929	0	22	0	22	0	0	0	0	0	66	0	0	0	0	0	0	17	113	0	113	130
June,2010	82893	0	82893	45483	7511	0	5	0	5	0	0	0	0	0	195	0	0	0	0	0	0	13	147	0	147	160
July,2010	83917	0	83917	50636	6773	0	38	0	38	0	0	0	0	0	145	0	0	0	0	0	0	21	119	0	119	140
August,2010	81608	0	81608	44273	7927	0	121	0	121	0	0	0	0	0	91	0	0	0	0	0	0	6	112	0	112	118
September,2010	83049	0	83049	45251	7398	0	115	0	115	0	11	0	11	0	59	0	0	0	0	0	0	19	122	0	122	141
October,2010	83285	0	83285	50345	7922	0	222	0	222	0	192	0	192	0	107	0	0	0	0	0	0	23	153	0	153	176
November,2010	80302	0	80302	46588	8018	0	479	0	479	0	734	0	734	0	62	0	0	0	0	0	0	28	195	0	195	223
December,2010	77662	0	77662	44208	7919	0	406	0	406	0	866	0	866	0	89	0	0	0	0	0	0	28	155	0	155	183
January,2011	80217	0	80217	49673	7799	0	178	0	178	0	481	0	481	0	67	0	0	0	0	0	0	18	98	0	98	116
February,2011	79087	0	79087	45779	7073	0	180	0	180	0	411	0	411	0	54	0	0	0	0	0	0	25	136	0	136	161
March,2011	81137	0	81137	49698	7522	0	171	0	171	0	340	0	340	0	64	0	0	0	0	0	0	21	177	0	177	198
April,2011	78524	0	78524	50766	7527	0	506	0	506	0	401	0	401	0	41	0	0	0	0	0	0	71	352	0	352	423
May,2011	76107	0	76107	47072	6638	0	183	0	183	0	188	0	188	0	36	0	0	0	0	0	0	37	190	0	190	227
June,2011	73827	0	73827	43829	6994	0	184	0	184	0	215	0	215	0	45	0	0	0	0	0	0	20	153	0	153	173
July,2011	78327	0	78327	41045	7419	0	179	0	179	0	245	0	245	0	37	0	0	0	0	0	0	54	240	0	240	294
August,2011	71581	0	71581	37112	5950	0	109	0	109	0	23	0	23	0	31	0	0	0	0	0	0	22	133	0	133	155
September,2011	72039	0	72039	44617	6955	0	123	0	123	0	158	0	158	0	50	0	0	0	0	0	0	42	211	0	211	253
October,2011	74803	0	74803	49507	7490	0	217	0	217	0	221	0	221	0	58	0	0	0	0	0	0	42	227	0	227	269
November,2011	74545	0	74545	20849	6624	0	203	0	203	0	151	0	151	0	47	0	0	0	0	0	0	33	109	0	109	142
December,2011	76415	0	76415	54444	7105	0	165	0	165	0	99	0	99	0	16	0	0	0	0	0	0	18	57	0	57	75
January,2012	77892	0	77892	50412	7312	0	167	0	167	0	197	0	197	0	16	0	0	0	0	0	0	24	184	0	184	208
February,2012	74515	0	74515	47262	6836	0	184	0	184	0	242	0	242	0	11	0	0	0	0	0	0	25	200	0	200	225
March,2012	76023	0	76023	56402	6938	0	471	0	471	0	324	0	324	0	0	0	0	0	0	0	0	40	199	0	199	239
April,2012	74428	0	74428	50401	7103	0	168	0	168	0	172	0	172	0	0	0	0	0	0	0	0	30	140	0	140	170
May,2012	71545	0	71545	52065	7069	0	204	0	204	0	104	0	104	0	0	0	0	0	0	0	0	12	116	0	116	128
June,2012	71416	0	71416	51817	6681	0	173	0	173	0	180	0	180	0	1	0	0	0	0	0	0	17	119	0	119	136
July,2012	73563	0	73563	53188	7401	0	163	0	163	0	179	0	179	0	1	0	0	0	0	0	0	22	173	0	173	195
August,2012	70390	0	70390	50261	6057	0	111	0	111	0	55	0	55	0	0	0	0	0	0	0	0	7	96	0	96	103
September,2012	77022	0	77022	57237	7741	0	385	0	385	0	370	0	370	0	5	0	0	0	0	0	0	25	197	0	197	222
October,2012	75254	0	75254	50616	6986	0	101	0	101	0	117	0	117	0	0	0	0	0	0	0	0	34	137	0	137	171
November,2012	74398	0	74398	57602	6947	0	144	0	144	0	265	0	265	0	2	0	0	0	0	0	0	24	152	0	152	176
December,2012	77058	0	77058	59619	7136	0	189	0	189	0	162	0	162	0	0	0	0	0	0	0	0	23	112	0	112	135
January,2013	76987	0	76987	66534	7268	7755	226	0	226	28	246	0	246	31	0	0	0	0	0	0	0	22	84	53	137	159
February,2013	76870	0	76870	62361	6692	7237	164	0	164	109	213	0	213	110	0	0	0	0	0	0	0	13	93	58	151	164
March,2013	75611	0	75611	63672	3772	7275	156	2	158	41	161	0	161	74	0	0	0	0	0	0	0	11	62	54	116	127
April,2013	71759	0	71759	60769	6846	7253	159	0	159	31	187	0	187	92	0	0	0	0	0	0	0	11	62	68	130	141
May,2013	73655	0	73655	60702	6596	7037	327	3	330	28	171	0	171	55	0	0	0	0	0	0	0	8	69	61	130	138
June,2013	71639	0	71639	54394	6567	6955	97	0	97	39	84	0	84	36	0	0	0	0	0	0	0	12	51	51	102	114
July,2013	72168	0	72168	57089	6950	7344	95	0	95	22	166	0	166	99	0	0	0	0	0	0	0	14	77	70	147	161
August,2013	69890	0	69890	57367	6240	6727	89	1	90	18	79	0	79	50	0	0	0	0	0	0	0	7	53	40	93	100
September,2013	77980	0	77980	65475	6759	7366	79	1	80	9	183	0	183	95	0	0	0	0	0	0	0	26	96	67	163	189
October,2013	70444	0	70444	59089	6662	7131	185	0	185	19	194	0	194	105	0	0	0	0	0	0	0	20	80	59	139	159
November,2013	71820	0	71820	59433	6863	7289	86	0	86	21	225	0	225	137	0	0	0	0	0	0	0	12	71	50	121	133
December,2013	67337	0	67337	56697	6769	7209	86	1	87	23	215	0	215	94	0	0	0	0	0	0	0	8	91	45	136	144
January,2014	72523	0	72523	60571	6820	7200	78	0	78	24	254	0	254	204	0	0	0	0	0	0	0	12	42	43	85	97
February,2014	71977	0	71977	57622	6906	7291	84	0	84	34	276	0	276	153	0	0	0	0	0	0	0	8	66	57	123	131
March,2014	69849	0	69849	58532	7142	7539	99	0	99	26	250	0	250	91	0	0	0	0	0	0	0	7	66	50	116	123
April,2014	66580	0	66580	56494	7255	7713	115	0	115	25	275	0	275	102	0	0	0	0	0	0	0	6	57	60	117	123
May,2014	68742	0	68742	56584	7165	7572	69	0	69	25	180	0	180	81	0	0	0	0	0	0	0	9	47	38	85	94
June,2014	68354	0	68354	54402	7228	7689	216	0	216	34	335	0	335	113	0	0	0	0	0	0	0	15	77	33	110	125
July,2014	70061	0	70061	49909	6211	6568	90	0	90	27	177	0	177	50	0	0	0	0	0	0	0	17	43	54	97	114
August,2014	66216	0	66216	59880	7095	7492	106	0	106	21	287	0	287	105	0	0	0	0	0	0	0	7	40	49	89	96
September,2014	68557	0	68557	65387	7325	7766	101	0	101	23	380	0	380	81	0	0	0	0	0	0	0	18	56	71	127	145
October,2014	62945	0	62945	57889	6601	6929	101	0	101	28	294	0	294	92	0	0	0	0	0	0	0	13	64	56	120	133
November,2014	66110	0	66110	67684	7016	7461	249	0	249	35	496	0	496	56	0	0	0	0	0	0	0	13	97	53	150	163
December,2014	63679	0	63679	67232	7034	7565	105	0	105	22	285	0	285	49	0	0	0	0	0	0	0	9	64	58	122	131
January,2015	68336	0	68336	64601	7139	7419	143	0	143	15	388	0	388	78	0	64	0	0	0	0	0	10	74	40	114	124
February,2015	65681	0	65681	54436	6536	6897	89	0	89	20	366	0	366	107	0	122	0	0	0	0	0	9	74	50	124	133
March,2015	65049	0	65049	64361	6885	7261	125	0	125	16	329	0	329	146	0	107	0	0	0	0	0	7	50	59	109	116
April,2015	64121	0	64121	55334	7070	7547	159	0	159	15	348	0	348	119	0	303	0	0	0	0	0	5	51	53	104	109
May,2015	67792	0	67792	64899	7101	7559	237	0	237	22	307	0	307	80	0	356	0	0	0	0	0	7	39	60	99	106
June,2015	66050	0	66050	57746	7206	7639	86	0	86	10	256	0	256	75	0	398	0	0	0	0	0	6	38	42	80	86
July,2015	68776	0	68776	53472	6786	7130	79	0	79	18	200	0	200	82	0	438	0	0	0	0	0	8	44	64	108	116
August,2015	69556	0	69556	61319	7676	8093	88	0	88	19	277	0	277	117	19	583	0	0	0	0	0	4	49	64	113	117
September,2015	68515	0	68515	63811	7150	7521	75	1	76	14	204	0	204	81	15	521	0	0	0	0	0	9	44	54	98	107
October,2015	69861	0	69861	61854	7314	7702	73	0	73	18	229	0	229	79	11	888	0	0	0	0	0	5	56	55	111	116
November,2015	69456	0	69456	68607	7544	7910	267	12	279	24	491	0	491	119	30	764	0	0	0	0	0	10	97	62	159	169
December,2015	71196	0	71196	68148	7244	7557	119	0	119	35	324	0	324	118	14	973	0	0	0	0	0	13	58	63	121	134
January,2016	73236	1284	74520	68583	6947	7332	109	10	119	28	280	0	280	101	0	899	0	0	0	0	0	5	41	70	111	116
February,2016	67212	1159	68371	68486	6639	7022	115	18	133	18	381	0	381	126	0	782	0	0	0	0	10	4	44	57	101	105
March,2016	63102	805	63907	55053	6420	6779	115	14	129	29	185	0	185	87	0	637	50	0	0	0	48	3	34	46	80	83
April,2016	62253	617	62870	65918	6516	6840	88	19	107	19	188	0	188	96	0	718	0	0	0	0	1	2	42	33	75	77
May,2016	65914	329	66243	63677	6536	6892	236	5	241	22	294	11	305	104	0	461	0	0	0	0	22	3	61	53	114	117
June,2016	64600	307	64907	62862	6156	6456	90	2	92	18	147	0	147	56	0	49	0	0	0	0	27	5	35	69	104	109
July,2016	62612	183	62795	60161	6605	7202	72	11	83	17	123	0	123	60	0	13	0	0	0	0	44	0	31	60	91	91
August,2016	62362	161	62523	59750	6376	6678	95	11	106	17	200	0	200	114	0	322	0	0	0	0	33	4	25	56	81	85
September,2016	64567	210	64777	62080	6103	6420	85	22	107	14	214	0	214	137	0	414	2	0	0	0	50	5	36	42	78	83
October,2016	63466	561	64027	63842	6619	6931	91	18	109	16	253	0	253	142	0	433	10	0	0	0	42	6	64	71	135	141
November,2016	61646	998	62644	61069	6227	6552	221	33	254	23	416	0	416	111	0	552	15	0	0	0	35	3	49	79	128	131
December,2016	59830	984	60814	61065	5835	6144	81	17	98	19	184	0	184	95	0	383	23	0	0	218	57	1	37	49	86	87
January,2017	61884	927	62811	57086	6889	7136	75	26	101	22	245	13	258	132	0	380	20	0	0	0	43	4	40	42	82	86
February,2017	57215	685	57900	52690	5852	6156	81	6	87	14	236	0	236	122	0	261	37	0	0	0	14	4	36	48	84	88
March,2017	57199	494	57693	51120	5643	6009	70	18	88	19	205	0	205	149	0	207	27	0	0	0	27	5	24	60	83	88
April,2017	54838	416	55254	49021	5886	6233	65	16	81	17	237	0	237	128	0	257	47	0	0	581	34	3	33	73	106	109
May,2017	54796	636	55432	50284	5432	5873	66	13	79	14	110	64	174	118	0	174	13	0	0	0	37	2	12	50	62	64
June,2017	53761	832	54593	46780	4278	4581	41	5	46	12	68	26	94	57	0	111	7	0	0	235	23	2	12	46	58	60
July,2017	56472	1034	57506	50259	5449	5801	75	0	75	7	203	0	203	118	0	94	7	0	0	0	27	2	21	53	74	76
August,2017	57462	999	58461	50737	5371	5687	83	0	83	9	198	0	198	78	0	98	22	0	0	0	22	1	14	84	98	99
September,2017	55407	874	56281	47255	4512	4835	74	10	84	8	249	0	249	140	0	58	8	0	0	0	25	3	34	71	105	108
October,2017	50102	1066	51168	48857	5637	6114	101	11	112	12	370	0	370	153	0	66	6	0	0	0	4	8	70	73	143	151
November,2017	55487	1086	56573	49858	5476	5880	135	0	135	7	288	0	288	147	61	48	3	0	0	0	7	3	42	66	108	111
December,2017	55089	1266	56355	49609	4895	5203	79	24	103	5	193	44	237	119	67	32	2	0	0	0	0	3	32	54	86	89
January,2018	53851	1382	55233	49997	5412	5712	156	31	187	8	435	56	491	164	52	27	4	0	0	0	0	3	37	62	99	102
February,2018	32081	1146	33227	48969	5235	5587	69	14	83	18	297	0	297	158	45	12	3	0	0	0	0	3	21	62	83	86
March,2018	24212	1412	25624	39246	4994	5358	134	8	142	10	320	1	321	124	33	11	0	0	0	0	0	1	40	65	105	106
April,2018	36001	1214	37215	42081	5865	6270	61	10	71	5	190	0	190	126	90	2	10	0	0	0	0	4	26	42	68	72
May,2018	40148	1305	41453	38916	5393	5807	63	9	72	9	129	0	129	112	71	0	0	0	0	0	0	1	29	55	84	85
June,2018	43172	1235	44407	37293	5052	5364	48	0	48	2	108	0	108	80	49	0	0	0	0	310	2	1	20	42	62	63
July,2018	44636	1412	46048	44692	6060	6442	69	10	79	14	179	0	179	146	52	0	0	0	0	0	0	4	31	55	86	90
August,2018	44446	1425	45871	45214	5257	5638	69	7	76	4	71	0	71	70	85	346	0	0	0	0	0	2	21	32	53	55
September,2018	47083	1277	48360	45834	5454	5882	93	4	97	14	0	9	9	91	110	792	0	0	0	0	0	3	23	66	89	92
