monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
May,2007	75688	0	75688	197635	6304	0	104	0	104	0	2	0	2	0	531	0	0	0	0	0	0	72	170	0	170	242
June,2007	72545	0	72545	199646	6157	0	40	0	40	0	13	0	13	0	434	0	0	0	0	0	0	71	128	0	128	199
July,2007	66474	0	66474	202973	7482	0	28	0	28	0	1	0	1	0	592	0	0	0	0	0	0	48	145	0	145	193
August,2007	54320	0	54320	209437	8771	0	893	0	893	0	2	0	2	0	437	0	0	0	0	0	0	183	377	0	377	560
September,2007	71510	0	71510	193273	7565	0	183	0	183	0	22	0	22	0	395	0	0	0	0	0	0	137	100	0	100	237
October,2007	70111	0	70111	176870	7562	0	250	0	250	0	6	0	6	0	367	0	0	0	0	0	0	70	156	0	156	226
November,2007	75920	0	75920	165209	9970	0	780	0	780	0	163	0	163	0	414	0	0	0	0	0	0	168	368	0	368	536
December,2007	82398	0	82398	123204	8483	0	404	0	404	0	170	0	170	0	350	0	0	0	0	0	0	85	180	0	180	265
January,2008	86968	0	86968	101226	10350	0	351	0	351	0	183	0	183	0	397	0	0	0	0	0	0	103	205	0	205	308
February,2008	81153	0	81153	93943	10664	0	329	0	329	0	157	0	157	0	508	0	0	0	0	0	0	83	207	0	207	290
March,2008	87417	0	87417	51577	10262	0	364	0	364	0	175	0	175	0	464	0	0	0	0	0	0	100	349	0	349	449
April,2008	83203	0	83203	41337	11570	0	334	0	334	0	175	0	175	0	518	0	0	0	0	0	0	45	240	0	240	285
May,2008	88601	0	88601	105131	11451	0	543	0	543	0	96	0	96	0	397	0	0	0	0	0	0	45	304	0	304	349
June,2008	84651	0	84651	148212	11683	0	477	0	477	0	188	0	188	0	420	0	0	0	0	0	0	80	387	0	387	467
July,2008	88408	0	88408	144549	12430	0	430	0	430	0	157	0	157	0	468	0	0	0	0	0	0	72	347	0	347	419
August,2008	90183	0	90183	162423	12524	0	437	0	437	0	200	0	200	0	428	0	0	0	0	0	0	70	291	0	291	361
September,2008	87430	0	87430	160479	11480	0	315	0	315	0	65	0	65	0	1566	0	0	0	0	0	0	39	40	0	40	79
October,2008	88011	0	88011	168595	12816	0	401	0	401	0	148	0	148	0	660	0	0	0	0	0	0	118	315	0	315	433
November,2008	105756	0	105756	216764	26216	0	860	0	860	0	340	0	340	0	1342	0	0	0	0	0	0	125	392	0	392	517
December,2008	88361	0	88361	176103	12104	0	329	0	329	0	85	0	85	0	2154	0	0	0	0	0	0	21	128	0	128	149
January,2009	90712	0	90712	173598	14956	0	405	0	405	0	122	0	122	0	2721	0	0	0	0	0	0	52	245	0	245	297
February,2009	91480	0	91480	177405	14496	0	421	0	421	0	38	0	38	0	1378	0	0	0	0	0	0	54	260	0	260	314
