monthid	Shukhi	Apon	Pill_total	Condom	Inj_vial	Inj_siringe	IUD_normal	IUD_partum	IUD_total	IUD_remove	Imp_normal	Imp_Jadel	Imp_total	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Permanent_method
July,2007	49520	0	49520	69505	5203	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	77	99	0	99	176
August,2007	19926	0	19926	72605	5977	0	5	0	5	0	0	0	0	0	991	0	0	0	0	0	0	66	62	0	62	128
September,2007	67514	0	67514	65740	6621	0	59	0	59	0	0	0	0	0	3246	0	0	0	0	0	0	65	56	0	56	121
October,2007	76925	0	76925	57084	7550	0	66	0	66	0	0	0	0	0	206	0	0	0	0	0	0	40	45	0	45	85
November,2007	85588	0	85588	54215	7954	0	365	0	365	0	255	0	255	0	225	0	0	0	0	0	0	100	96	0	96	196
December,2007	77221	0	77221	26543	7378	0	181	0	181	0	268	0	268	0	211	0	0	0	0	0	0	60	54	0	54	114
January,2008	83873	0	83873	17146	8172	0	181	0	181	0	289	0	289	0	245	0	0	0	0	0	0	65	81	0	81	146
February,2008	79102	0	79102	32812	8197	0	134	0	134	0	367	0	367	0	223	0	0	0	0	0	0	82	96	0	96	178
March,2008	85329	0	85329	11764	8229	0	141	0	141	0	253	0	253	0	282	0	0	0	0	0	0	62	84	0	84	146
April,2008	84076	0	84076	10719	8485	0	123	0	123	0	244	0	244	0	259	0	0	0	0	0	0	79	67	0	67	146
May,2008	86420	0	86420	46320	8015	0	135	0	135	0	117	0	117	0	237	0	0	0	0	0	0	64	45	0	45	109
June,2008	83880	0	83880	49440	8144	0	135	0	135	0	110	0	110	0	170	0	0	0	0	0	0	78	71	0	71	149
July,2008	89551	0	89551	44867	8948	0	155	0	155	0	312	0	312	0	157	0	0	0	0	0	0	88	97	0	97	185
August,2008	85882	0	85882	52190	8755	0	105	0	105	0	187	0	187	0	276	0	0	0	0	0	0	32	76	0	76	108
September,2008	88004	0	88004	55720	8264	0	99	0	99	0	119	0	119	0	166	0	0	0	0	0	0	33	36	0	36	69
October,2008	86442	0	86442	63573	8634	0	121	0	121	0	175	0	175	0	268	0	0	0	0	0	0	57	71	0	71	128
November,2008	86885	0	86885	76886	8929	0	397	0	397	0	296	0	296	0	230	0	0	0	0	0	0	51	81	0	81	132
December,2008	84432	0	84432	67573	8795	0	102	0	102	0	69	0	69	0	246	0	0	0	0	0	0	27	33	0	33	60
January,2009	87323	0	87323	73618	9616	0	177	0	177	0	146	0	146	0	280	0	0	0	0	0	0	30	58	0	58	88
February,2009	86931	0	86931	81851	9460	0	151	0	151	0	64	0	64	0	103	0	0	0	0	0	0	22	69	0	69	91
March,2009	89965	0	89965	86916	10565	0	169	0	169	0	0	0	0	0	162	0	0	0	0	0	0	34	95	0	95	129
April,2009	87327	0	87327	85220	11206	0	349	0	349	0	0	0	0	0	169	0	0	0	0	0	0	107	167	0	167	274
May,2009	91157	0	91157	80123	9643	0	179	0	179	0	0	0	0	0	1120	0	0	0	0	0	0	97	70	0	70	167
June,2009	83495	0	83495	101942	9504	0	145	0	145	0	0	0	0	0	44	0	0	0	0	0	0	103	94	0	94	197
July,2009	96499	0	96499	99283	10494	0	139	0	139	0	0	0	0	0	87	0	0	0	0	0	0	164	100	0	100	264
August,2009	86147	0	86147	107311	9872	0	168	0	168	0	0	0	0	0	18	0	0	0	0	0	0	112	69	0	69	181
September,2009	85029	0	85029	106395	9005	0	152	0	152	0	0	0	0	0	61	0	0	0	0	0	0	152	68	0	68	220
October,2009	90994	0	90994	119747	10663	0	193	0	193	0	0	0	0	0	2	0	0	0	0	0	0	205	163	0	163	368
November,2009	95063	0	95063	137726	5999	0	198	0	198	0	0	0	0	0	13	0	0	0	0	0	0	220	96	0	96	316
December,2009	92844	0	92844	148251	5508	0	230	0	230	0	0	0	0	0	0	0	0	0	0	0	0	167	79	0	79	246
January,2010	93415	0	93415	130045	8392	0	211	0	211	0	0	0	0	0	0	0	0	0	0	0	0	143	91	0	91	234
February,2010	88251	0	88251	115758	7823	0	131	0	131	0	0	0	0	0	0	0	0	0	0	0	0	108	104	0	104	212
March,2010	91580	0	91580	128604	8485	0	166	0	166	0	0	0	0	0	8	0	0	0	0	0	0	122	131	0	131	253
April,2010	88934	0	88934	117920	9320	0	81	0	81	0	0	0	0	0	78	0	0	0	0	0	0	120	91	0	91	211
May,2010	88258	0	88258	129413	8324	0	45	0	45	0	0	0	0	0	90	0	0	0	0	0	0	103	119	0	119	222
June,2010	84033	0	84033	128822	6250	0	37	0	37	0	0	0	0	0	119	0	0	0	0	0	0	154	99	0	99	253
July,2010	86607	0	86607	126625	6268	0	50	0	50	0	0	0	0	0	233	0	0	0	0	0	0	185	96	0	96	281
August,2010	89638	0	89638	131575	9055	0	107	0	107	0	0	0	0	0	87	0	0	0	0	0	0	96	95	0	95	191
September,2010	90509	0	90509	127347	7667	0	122	0	122	0	1	0	1	0	81	0	0	0	0	0	0	90	88	0	88	178
October,2010	92333	0	92333	142095	9182	0	183	0	183	0	40	0	40	0	78	0	0	0	0	0	0	145	100	0	100	245
November,2010	90924	0	90924	119214	9115	0	326	0	326	0	229	0	229	0	55	0	0	0	0	0	0	159	101	0	101	260
December,2010	71988	0	71988	117582	8336	0	220	0	220	0	254	0	254	0	42	0	0	0	0	0	0	112	113	0	113	225
January,2011	92590	0	92590	122064	9471	0	146	0	146	0	232	0	232	0	48	0	0	0	0	0	0	89	93	0	93	182
February,2011	91022	0	91022	116024	9855	0	138	0	138	0	220	0	220	0	32	0	0	0	0	0	0	96	73	0	73	169
March,2011	90398	0	90398	123420	8485	0	186	0	186	0	278	0	278	0	29	0	0	0	0	0	0	108	92	0	92	200
April,2011	89837	0	89837	134167	9179	0	347	0	347	0	564	0	564	0	20	0	0	0	0	0	0	212	195	0	195	407
May,2011	89247	0	89247	129844	9778	0	177	0	177	0	350	0	350	0	9	0	0	0	0	0	0	159	115	0	115	274
June,2011	86802	0	86802	130396	8294	0	142	0	142	0	90	0	90	0	39	0	0	0	0	0	0	164	116	0	116	280
July,2011	88097	0	88097	136040	9221	0	165	0	165	0	14	0	14	0	80	0	0	0	0	0	0	155	130	0	130	285
August,2011	89050	0	89050	336339	8886	0	119	0	119	0	3	0	3	0	21	0	0	0	0	0	0	111	62	0	62	173
September,2011	84159	0	84159	139201	8696	0	137	0	137	0	86	0	86	0	39	0	0	0	0	0	0	137	140	0	140	277
