Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	135026	0	135026	328698	19272	17241	209	0	209	22	287	0	287	27	91	19	0	0	0	0	0	414	110	1	111	525
Khulna	123414	0	123414	314787	21347	20480	181	3	184	31	182	0	182	30	1	0	0	0	0	0	0	174	54	43	97	271
Barisal	17030	0	17030	36159	2866	2981	96	0	96	2	109	0	109	9	0	0	0	0	0	0	0	110	7	6	13	123
Dhaka	368181	0	368181	1086686	55127	60032	974	157	1131	216	679	0	679	116	35	0	0	0	0	0	0	1239	150	73	223	1462
Chittagong	171783	0	171783	707490	45532	44265	358	7	365	42	369	0	369	105	22	0	0	0	0	0	0	237	20	28	48	285
Sylhet	32675	0	32675	80417	4830	4954	75	1	76	5	128	0	128	20	0	0	0	0	0	0	0	121	134	10	144	265
Rangpur	179510	0	179510	324649	27000	24802	348	0	348	18	357	0	357	47	0	0	0	0	0	0	0	434	64	11	75	509
Mymensingh	79142	0	79142	198617	7999	8080	83	0	83	11	231	0	231	55	7	0	0	0	0	0	0	203	18	0	18	221

 
