Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	224893	0	224893	245498	28889	0	306	0	306	0	26	0	26	0	658	0	0	0	0	0	0	287	91	0	91	378
Khulna	154859	0	154859	223166	26241	0	191	0	191	0	61	0	61	0	1031	0	0	0	0	0	0	427	60	0	60	487
Barisal	39043	0	39043	54421	10665	0	73	0	73	0	0	0	0	0	843	0	0	0	0	0	0	222	6	0	6	228
Dhaka	313709	0	313709	575454	63153	0	802	0	802	0	53	0	53	0	622	0	0	0	0	0	0	567	219	0	219	786
Chittagong	203718	0	203718	493853	43683	0	343	0	343	0	147	0	147	0	219	0	0	0	0	0	0	235	81	0	81	316
Sylhet	24798	0	24798	53905	4731	0	29	0	29	0	1	0	1	0	56	0	0	0	0	0	0	11	73	0	73	84
Rangpur	134979	0	134979	107527	22522	0	144	0	144	0	46	0	46	0	170	0	0	0	0	0	0	194	189	0	189	383
Mymensingh	85500	0	85500	140506	11207	0	92	0	92	0	13	0	13	0	85	0	0	0	0	0	0	69	26	0	26	95

 
