Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	163468	0	163468	550707	27559	28240	404	0	404	27	408	0	408	150	0	0	0	0	0	0	0	467	139	24	163	630
Khulna	172680	0	172680	478076	29217	30871	239	5	244	28	256	0	256	44	1	7	0	0	0	0	0	180	69	26	95	275
Barisal	54816	0	54816	115168	12653	14005	154	0	154	10	191	0	191	22	0	0	0	0	0	0	0	176	9	11	20	196
Dhaka	437999	0	437999	1320560	61624	63742	1043	2	1045	119	742	0	742	148	4	119	0	0	0	0	0	817	81	87	168	985
Chittagong	176018	0	176018	658977	42107	43114	355	1	356	29	476	0	476	114	1	35	0	0	0	0	0	116	58	28	86	202
Sylhet	37983	0	37983	83229	5733	6001	82	0	82	6	329	0	329	59	0	2	0	0	0	0	0	63	108	0	108	171
Rangpur	166378	0	166378	375318	25916	26642	171	0	171	25	320	0	320	123	0	19	0	0	0	0	0	193	116	10	126	319
Mymensingh	76199	0	76199	199407	7438	8012	134	0	134	5	92	0	92	44	4	0	0	0	0	0	0	147	5	10	15	162

 
