Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	133463	0	133463	336336	18513	0	119	0	119	0	92	0	92	0	3	0	0	0	0	0	0	601	115	0	115	716
Khulna	199861	0	199861	493514	32669	0	239	0	239	0	329	0	329	0	1096	0	0	0	0	0	0	498	91	0	91	589
Barisal	48764	0	48764	117310	13182	0	162	0	162	0	128	0	128	0	8	0	0	0	0	0	0	281	23	0	23	304
Dhaka	414849	0	414849	1126257	64069	0	835	0	835	0	682	0	682	0	147	0	0	0	0	0	0	1414	232	0	232	1646
Chittagong	156552	0	156552	673071	43099	0	334	0	334	0	294	0	294	0	34	0	0	0	0	0	0	284	55	0	55	339
Sylhet	19301	0	19301	62749	4461	0	52	0	52	0	36	0	36	0	0	0	0	0	0	0	0	193	164	0	164	357
Rangpur	909705	0	909705	229067	20839	0	142	0	142	0	170	0	170	0	0	0	0	0	0	0	0	621	133	0	133	754
Mymensingh	80727	0	80727	178241	6710	0	71	0	71	0	121	0	121	0	0	0	0	0	0	0	0	182	5	0	5	187

 
