Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	150510	0	150510	447085	24397	24630	169	0	169	31	320	0	320	149	0	0	0	0	0	0	0	462	134	20	154	616
Khulna	165372	0	165372	448032	28464	30306	308	1	309	28	304	0	304	58	0	0	0	0	0	0	0	348	67	28	95	443
Barisal	54652	0	54652	110547	12633	13490	130	3	133	12	151	0	151	26	0	80	0	0	0	0	0	172	10	4	14	186
Dhaka	448405	0	448405	1189928	58210	61098	1076	4	1080	122	848	0	848	96	4	489	0	0	0	0	0	1044	127	119	246	1290
Chittagong	177413	0	177413	613667	39866	40951	387	6	393	45	429	0	429	117	0	140	0	0	0	0	0	197	42	38	80	277
Sylhet	41054	0	41054	93797	6714	6998	89	0	89	4	269	0	269	41	70	17	0	0	0	0	0	88	149	0	149	237
Rangpur	169875	0	169875	379438	28013	29080	154	0	154	37	655	0	655	108	17	20	0	0	0	0	0	191	141	12	153	344
Mymensingh	83474	0	83474	209207	7804	8330	91	0	91	1	163	0	163	24	4	8	0	0	0	0	0	137	13	11	24	161

 
