Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	177768	0	177768	512464	29717	32350	321	20	341	43	446	0	446	143	20	0	0	0	0	0	0	749	147	22	169	918
Khulna	165801	0	165801	483208	30136	32867	370	0	370	27	363	0	363	51	0	0	0	0	0	0	0	391	67	42	109	500
Barisal	60923	0	60923	116770	13292	14196	182	0	182	11	177	0	177	27	8	50	0	0	0	0	0	211	22	2	24	235
Dhaka	455369	0	455369	1350145	63920	67965	1258	6	1264	174	731	0	731	117	4	467	0	0	0	0	0	1328	116	57	173	1501
Chittagong	175124	0	175124	656547	43488	44599	477	11	488	40	506	0	506	157	4	300	0	0	0	0	0	245	57	54	111	356
Sylhet	42406	0	42406	99188	6559	6910	92	0	92	7	281	0	281	47	0	9	0	0	0	0	0	86	94	0	94	180
Rangpur	170821	0	170821	361950	28541	29421	219	5	224	51	790	0	790	114	31	15	0	0	0	0	0	298	197	14	211	509
Mymensingh	83646	0	83646	221843	7997	8520	121	0	121	11	133	0	133	40	0	0	0	0	0	0	0	208	13	10	23	231

 
