Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	259063	0	259063	472558	30496	0	163	0	163	0	0	0	0	0	0	0	0	0	0	0	0	387	91	0	91	478
Khulna	192303	0	192303	430404	27280	0	170	0	170	0	0	0	0	0	0	0	0	0	0	0	0	648	119	0	119	767
Barisal	49143	0	49143	111442	12203	0	76	0	76	0	60	0	60	0	0	0	0	0	0	0	0	159	24	0	24	183
Dhaka	450158	0	450158	1112777	63750	0	331	0	331	0	11	0	11	0	75	0	0	0	0	0	0	961	216	0	216	1177
Chittagong	204421	0	204421	753578	44007	0	165	0	165	0	256	0	256	0	36	0	0	0	0	0	0	287	93	0	93	380
Sylhet	24183	0	24183	80435	4688	0	64	0	64	0	72	0	72	0	0	0	0	0	0	0	0	90	155	0	155	245
Rangpur	177293	0	177293	250151	21393	0	148	0	148	0	0	0	0	0	5	0	0	0	0	0	0	283	120	0	120	403
Mymensingh	88200	0	88200	178366	6974	0	16	0	16	0	0	0	0	0	0	0	0	0	0	0	0	107	16	0	16	123

 
