Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	260457	0	260457	504981	33222	0	346	0	346	0	259	0	259	0	10	0	0	0	0	0	0	651	122	0	122	773
Khulna	214051	0	214051	504159	35886	0	344	0	344	0	214	0	214	0	16	0	0	0	0	0	0	452	191	0	191	643
Barisal	48845	0	48845	96568	13573	0	131	0	131	0	107	0	107	0	22	0	0	0	0	0	0	325	24	0	24	349
Dhaka	445159	0	445159	1129628	67701	0	1090	0	1090	0	742	0	742	0	0	0	0	0	0	0	0	1313	366	0	366	1679
Chittagong	224465	0	224465	850290	53516	0	437	0	437	0	487	0	487	0	4	0	0	0	0	0	0	484	102	0	102	586
Sylhet	29172	0	29172	76885	5880	0	63	0	63	0	47	0	47	0	0	0	0	0	0	0	0	108	164	0	164	272
Rangpur	158497	0	158497	285230	27646	1	152	1	152	1	240	0	240	1	35	94102	0	0	0	0	0	435	203	1	203	638
Mymensingh	88104	0	88104	216630	8997	0	82	0	82	0	121	0	121	0	16	0	0	0	0	0	0	161	33	0	33	194

 
