Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	230951	0	230951	582278	30640	31873	254	22	276	45	538	0	538	77	0	12	0	0	0	0	0	799	119	4	123	922
Khulna	200226	0	200226	541326	32486	34412	279	11	249	38	374	0	374	45	1	0	0	0	0	0	0	474	76	55	131	605
Barisal	54683	0	54683	122393	11246	12138	192	0	192	5	164	0	164	42	3	0	0	0	0	0	0	186	14	0	14	200
Dhaka	433549	0	433549	1146965	66937	65362	1010	23	1093	53	950	0	950	99	7	3	0	0	0	0	0	1416	155	206	361	1777
Chittagong	180696	0	180696	720358	38841	38423	450	2	448	45	436	0	436	138	32	0	0	0	0	0	0	247	60	44	104	351
Sylhet	40882	0	40882	99987	5229	5355	42	0	42	2	150	0	150	31	0	13	0	0	0	0	0	149	137	0	137	286
Rangpur	141149	0	141149	221378	19843	20629	173	0	209	13	338	0	338	67	66	0	0	0	0	0	0	349	129	6	135	484
Mymensingh	84431	0	84431	212077	6641	7079	81	0	81	4	161	0	161	17	0	0	0	0	0	0	0	173	17	14	31	204

 
