Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	264187	0	264187	455457	29750	0	260	0	260	0	196	0	196	0	7	0	0	0	0	0	0	602	185	0	185	787
Khulna	209623	0	209623	463853	30638	0	251	0	251	0	184	0	184	0	24	0	0	0	0	0	0	589	187	0	187	776
Barisal	51151	0	51151	96352	11457	0	144	0	144	0	110	0	110	0	12	0	0	0	0	0	0	188	53	0	53	241
Dhaka	434551	0	434551	1030560	65631	0	840	0	840	0	683	0	683	0	22	0	0	0	0	0	0	1280	479	0	479	1759
Chittagong	213192	0	213192	697496	44897	0	299	0	299	0	322	0	322	0	6	0	0	0	0	0	0	388	109	0	109	497
Sylhet	22177	0	22177	64805	4662	0	42	0	42	0	159	0	159	0	0	0	0	0	0	0	0	297	314	0	314	611
Rangpur	134940	0	134940	259516	24253	0	112	0	112	0	110	0	110	0	25	0	0	0	0	0	0	256	54	0	54	310
Mymensingh	95697	0	95697	190478	67367	0	55	0	55	0	38	0	38	0	3	0	0	0	0	0	0	217	31	0	31	248

 
