Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	208616	0	208616	167147	28980	0	188	0	188	0	47	0	47	0	1679	0	0	0	0	0	0	233	95	0	95	328
Khulna	152194	0	152194	138589	25026	0	141	0	141	0	295	0	295	0	735	0	0	0	0	0	0	388	66	0	66	454
Barisal	40531	0	40531	25069	10736	0	58	0	58	0	61	0	61	0	97	0	0	0	0	0	0	174	7	0	7	181
Dhaka	340209	0	340209	398888	64772	0	721	0	721	0	502	0	502	0	1294	0	0	0	0	0	0	692	324	0	324	1016
Chittagong	189518	0	189518	232977	36976	0	212	0	212	0	173	0	173	0	845	0	0	0	0	0	0	222	46	0	46	268
Sylhet	23510	0	23510	33289	4465	0	26	0	26	0	116	0	116	0	82	0	0	0	0	0	0	25	83	0	83	108
Rangpur	136566	0	136566	52729	24852	0	1421	0	1421	0	332	0	332	0	843	0	0	0	0	0	0	182	84	0	84	266
Mymensingh	83307	0	83307	77727	9712	0	78	0	78	0	158	0	158	0	74	0	0	0	0	0	0	51	21	0	21	72

 
