Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	266345	0	266345	411867	24143	0	178	0	178	0	0	0	0	0	4	0	0	0	0	0	0	592	156	0	156	748
Khulna	182054	0	182054	406730	23661	0	154	0	154	0	3	0	3	0	5	0	0	0	0	0	0	419	87	0	87	506
Barisal	52838	0	52838	95804	11885	0	97	0	97	0	49	0	49	0	0	0	0	0	0	0	0	190	18	0	18	208
Dhaka	398331	0	398331	913689	52367	0	526	0	526	0	4	0	4	0	29	0	0	0	0	0	0	926	271	0	271	1197
Chittagong	208671	0	208671	734938	41500	0	212	0	212	0	142	0	142	0	14	0	0	0	0	0	0	238	77	0	77	315
Sylhet	21912	0	21912	74513	4335	0	28	0	28	0	6	0	6	0	0	0	0	0	0	0	0	175	176	0	176	351
Rangpur	145054	0	145054	322168	17597	0	116	0	116	0	0	0	0	0	14	0	0	0	0	0	0	318	190	0	190	508
Mymensingh	196210	0	196210	203156	5967	0	51	0	51	0	0	0	0	0	4	0	0	0	0	0	0	163	11	0	11	174

 
