Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	221452	1131	222583	633839	29722	30596	304	30	334	62	578	22	600	152	13	317	0	0	0	0	0	282	78	52	130	412
Khulna	191739	106	191845	522544	27502	28508	311	3	314	23	496	0	496	92	10	183	0	0	0	164	0	188	63	62	125	313
Barisal	40917	178	41095	96430	13289	14404	162	0	162	8	98	10	108	22	23	268	0	0	0	5940	0	88	1	3	4	92
Dhaka	492156	1847	494003	1031881	58641	58434	1184	67	1251	172	1717	51	1768	281	26	460	0	0	0	32	86	659	67	147	209	868
Chittagong	200356	1025	201381	602013	30956	26147	477	18	495	30	727	49	776	148	56	228	0	0	848	0	4	281	30	62	88	369
Sylhet	60341	44	60385	126706	10631	8093	131	8	139	2	183	28	211	33	5	10	0	0	0	0	0	103	129	18	147	250
Rangpur	213841	712	214553	371467	21801	17486	318	20	338	78	742	8	750	242	11	356	0	0	0	0	0	100	121	41	162	262
Mymensingh	70611	256	70867	193547	7026	7484	134	81	215	14	362	0	362	15	3	58	0	0	0	0	0	93	6	71	76	169

 
