Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	181067	218	181285	623750	30593	32966	283	9	292	60	377	5	382	223	4	62	0	0	0	0	0	408	107	48	155	563
Khulna	175505	163	175668	516052	37712	40262	483	21	504	55	453	15	468	119	45	12	0	0	0	2958	0	168	42	104	146	314
Barisal	36911	84	36995	106266	13435	14702	145	0	145	11	148	6	154	35	8	106	0	0	5490	6270	0	170	3	4	7	177
Dhaka	438986	13893	452879	1238263	67178	71100	1570	112	1682	234	1760	86	1846	432	7	273	0	0	0	121	123	783	91	179	264	1047
Chittagong	194843	857	195700	624723	41049	42181	1591	14	1605	55	701	14	715	191	4	208	0	0	0	1871	11	246	33	82	115	361
Sylhet	56552	12431	68983	118924	10493	10842	249	0	249	7	306	0	306	9	0	0	0	0	0	829	0	58	125	23	148	206
Rangpur	204315	189	204504	391499	31286	32777	329	0	329	42	692	0	692	86	30	279	0	0	0	0	5	155	80	44	124	279
Mymensingh	85544	94	85638	224644	9534	10132	251	17	268	10	266	0	266	55	8	24	27	0	15	27	6	82	2	13	15	97

 
