Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	189678	0	189678	90333	26365	0	174	0	174	0	89	0	89	0	1627	0	0	0	0	0	0	34	67	0	67	101
Khulna	146294	0	146294	105442	26338	0	145	0	145	0	221	0	221	0	629	0	0	0	0	0	0	272	44	0	44	316
Barisal	40479	0	40479	13318	10671	0	68	0	68	0	56	0	56	0	214	0	0	0	0	0	0	126	2	0	2	128
Dhaka	325257	0	325257	382310	56760	0	541	0	541	0	365	0	365	0	1590	0	0	0	0	0	0	496	158	0	158	654
Chittagong	190742	0	190742	155190	36469	0	177	0	177	0	116	0	116	0	887	0	0	0	0	0	0	207	102	0	102	309
Sylhet	21295	0	21295	21648	3718	0	49	0	49	0	18	0	18	0	81	0	0	0	0	0	0	13	62	0	62	75
Rangpur	155189	0	155189	46723	23575	0	122	0	122	0	273	0	273	0	977	0	0	0	0	0	0	41	25	0	25	66
Mymensingh	78460	0	78460	61969	7356	0	72	0	72	0	48	0	48	0	156	0	0	0	0	0	0	28	5	0	5	33

 
