Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	223899	0	223899	458424	27466	0	263	0	263	0	311	0	311	0	185	0	0	0	0	0	0	298	89	0	89	387
Khulna	235277	0	235277	551190	33745	0	357	0	357	0	209	0	209	0	11	0	0	0	0	0	0	362	139	0	139	501
Barisal	43010	0	43010	113636	13724	0	207	0	207	0	117	0	117	0	1	0	0	0	0	0	0	120	20	0	20	140
Dhaka	448553	0	448553	1211702	68783	0	1213	0	1213	0	744	0	744	0	12	0	0	0	0	0	0	1436	245	0	245	1681
Chittagong	182944	0	182944	716817	44836	0	482	0	482	0	519	0	519	0	46	0	0	0	0	0	0	328	134	0	134	462
Sylhet	24332	0	24332	68564	5101	0	79	0	79	0	108	0	108	0	0	0	0	0	0	0	0	123	120	0	120	243
Rangpur	164204	0	164204	322839	25105	0	269	0	269	0	257	0	257	0	0	0	0	0	0	0	0	415	118	0	118	533
Mymensingh	79909	0	79909	208417	8048	0	113	0	113	0	243	0	243	0	0	0	0	0	0	0	0	335	20	0	20	355

 
