Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	258273	0	258273	495033	20625	0	262	0	262	0	0	0	0	0	0	0	0	0	0	0	0	599	210	0	210	809
Khulna	195031	0	195031	429788	16358	0	373	0	373	0	0	0	0	0	6	0	0	0	0	0	0	715	115	0	115	830
Barisal	53475	0	53475	100769	11004	0	155	0	155	0	100	0	100	0	0	0	0	0	0	0	0	215	27	0	27	242
Dhaka	461830	0	461830	999350	50972	0	559	0	559	0	4	0	4	0	43	0	0	0	0	0	0	1201	348	0	348	1549
Chittagong	211211	0	211211	770388	38232	0	219	0	219	0	265	0	265	0	29	0	0	0	0	0	0	308	112	0	112	420
Sylhet	23793	0	23793	80515	4440	0	47	0	47	0	21	0	21	0	3	0	0	0	0	0	0	179	174	0	174	353
Rangpur	153408	0	153408	236404	16508	0	134	0	134	0	0	0	0	0	8	0	0	0	0	0	0	238	102	0	102	340
Mymensingh	85742	0	85742	190927	5530	0	38	0	38	0	0	0	0	0	2	0	0	0	0	0	0	171	27	0	27	198

 
