Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	226894	0	226894	397474	27868	0	300	0	300	0	21	0	21	0	0	0	0	0	0	0	0	522	116	0	116	638
Khulna	181271	0	181271	390099	27080	0	285	0	285	0	3	0	3	0	0	0	0	0	0	0	0	693	108	0	108	801
Barisal	46898	0	46898	84881	11211	0	185	0	185	0	0	0	0	0	0	0	0	0	0	0	0	257	17	0	17	274
Dhaka	447099	0	447099	1053429	68743	0	854	0	854	0	5	0	5	0	0	0	0	0	0	0	0	845	210	0	210	1055
Chittagong	209412	0	209412	704381	44579	0	297	0	297	0	227	0	227	0	0	0	0	0	0	0	0	330	87	0	87	417
Sylhet	26339	0	26339	89186	5417	0	57	0	57	0	65	0	65	0	0	0	0	0	0	0	0	96	155	0	155	251
Rangpur	172906	0	172906	235326	25765	0	134	0	134	0	0	0	0	0	0	0	0	0	0	0	0	457	136	0	136	593
Mymensingh	85090	0	85090	175236	7510	0	70	0	70	0	0	0	0	0	0	0	0	0	0	0	0	254	23	0	23	277

 
