Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	209980	274	210254	608163	26281	26093	310	30	340	56	551	2	553	174	32	41	0	0	0	0	0	180	63	46	101	281
Khulna	186395	84	186479	479171	29190	30967	300	10	310	20	453	0	453	58	34	36	45	0	770	849	30	135	27	92	119	254
Barisal	42152	196	42348	104259	13543	14766	159	0	159	6	122	1	123	37	25	184	0	0	0	690	0	78	2	1	3	81
Dhaka	504804	1059	505863	1016444	57264	60154	1148	106	1254	151	1525	16	1541	288	15	512	0	0	0	48035	11	390	63	145	145	535
Chittagong	186834	722	187556	554790	26228	25239	394	24	418	50	606	20	626	174	27	189	0	0	712	0	0	224	29	74	103	327
Sylhet	60143	77	60220	122971	10119	9920	150	17	167	31	191	0	191	81	5	18	0	0	0	370	0	116	75	25	100	216
Rangpur	210257	501	210758	361945	22314	18072	284	6	290	68	603	0	603	117	27	332	0	0	0	0	0	63	108	24	132	195
Mymensingh	77445	301	77746	200706	7615	8148	156	17	173	10	204	0	204	11	9	63	0	0	0	0	0	79	0	58	16	95

 
