Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	194730	4133	198863	654631	34436	36542	333	38	371	45	457	21	478	127	11	130	0	0	0	0	0	482	50	38	84	566
Khulna	201910	97	202007	525419	35982	38125	337	12	349	29	421	18	439	111	0	176	0	0	0	0	0	146	26	70	87	233
Barisal	40517	48	40565	109299	13814	14968	217	0	217	10	163	0	163	57	1	110	0	0	0	0	0	143	2	4	6	149
Dhaka	430600	9416	440016	1236333	64171	67065	1498	58	1556	161	1588	17	1605	257	12	878	0	22	0	1263	16	842	47	137	164	1006
Chittagong	180827	169	180996	606882	39316	40791	490	31	521	71	641	8	649	180	12	200	0	0	5250	0	0	184	23	69	69	253
Sylhet	51054	4	51058	130949	9041	9782	182	0	182	4	257	0	257	2	0	402	0	0	0	600	0	22	59	6	65	87
Rangpur	201754	103	201857	380436	32396	33573	307	1	308	51	537	0	537	96	1	359	0	0	0	0	0	101	76	53	127	228
Mymensingh	79514	59	79573	202606	8675	9397	235	0	235	0	274	0	274	58	10	12	14	0	0	78	5	115	1	26	14	129

 
