Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	252903	0	252903	571208	30946	0	195	0	195	0	103	0	103	0	1	0	0	0	0	0	0	1274	373	0	373	1647
Khulna	225778	0	225778	475018	35635	0	203	0	203	0	135	0	135	0	41	0	0	0	0	0	0	664	171	0	171	835
Barisal	44845	0	44845	115526	9651	0	111	0	111	0	58	0	58	0	19	0	0	0	0	0	0	302	32	0	32	334
Dhaka	449688	0	449688	1025260	67375	0	503	0	503	0	432	0	432	0	78	0	0	0	0	0	0	1617	506	0	506	2123
Chittagong	209533	0	209533	740505	44382	0	220	0	220	0	164	0	164	0	0	0	0	0	0	0	0	401	129	0	129	530
Sylhet	23953	0	23953	71950	4531	0	32	0	32	0	69	0	69	0	1	0	0	0	0	0	0	513	266	0	266	779
Rangpur	204343	0	204343	305334	29758	0	124	0	124	0	148	0	148	0	0	0	0	0	0	0	0	837	298	0	298	1135
Mymensingh	96483	0	96483	195956	8301	0	56	0	56	0	54	0	54	0	2	0	0	0	0	0	0	162	23	0	23	185

 
