Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	193301	61	193362	641038	33402	35734	300	39	339	62	397	0	397	173	4	38	0	0	0	0	0	441	45	45	90	531
Khulna	205816	1489	207305	490166	35064	37440	415	13	428	54	382	14	396	92	43	22	0	0	0	0	0	178	25	84	109	287
Barisal	37437	53	37490	112147	12477	13650	124	0	124	10	64	14	78	41	20	204	0	0	8820	360	0	150	3	11	14	164
Dhaka	429696	423	430119	1190585	65686	78601	1362	90	1452	266	1476	100	1576	222	9	440	0	0	0	30	72	740	69	139	198	938
Chittagong	184975	739	185714	593851	38897	40195	489	17	506	45	618	16	634	144	2	102	0	0	0	7538	7	188	16	66	64	252
Sylhet	56345	4	56349	140297	10141	10959	239	0	239	26	291	0	291	0	0	0	0	0	0	1124	0	55	61	58	119	174
Rangpur	207576	214	207790	376493	30720	32479	285	3	288	40	335	58	393	88	14	192	0	0	0	92	94	120	84	34	118	238
Mymensingh	77825	161	77986	192782	8928	9496	228	6	234	8	293	7	300	40	0	159	25	0	0	3601	56	12	2	11	13	25

 
