Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	265842	0	265842	479300	32097	0	425	0	425	0	464	0	464	0	2	0	0	0	0	0	0	878	449	0	449	1327
Khulna	214097	0	214097	470898	35680	0	446	0	446	0	459	0	459	0	11	0	0	0	0	0	0	510	234	0	234	744
Barisal	53889	0	53889	106413	11973	0	255	0	255	0	201	0	201	0	1	0	0	0	0	0	0	233	37	0	37	270
Dhaka	455433	0	455433	958363	66116	0	1525	0	1525	0	1470	0	1470	0	100	0	0	0	0	0	0	1680	428	0	428	2108
Chittagong	217678	0	217678	728852	48143	0	535	0	535	0	612	0	612	0	21	0	0	0	0	0	0	341	190	0	190	531
Sylhet	21152	0	21152	76975	4983	0	74	0	74	0	130	0	130	0	2	0	0	0	0	0	0	271	242	0	242	513
Rangpur	152018	0	152018	311752	27894	0	374	0	374	0	575	0	575	0	1	0	0	0	0	0	0	786	348	0	348	1134
Mymensingh	95259	0	95259	190899	9109	0	222	0	222	0	130	0	130	0	5	0	0	0	0	0	0	262	61	0	61	323

 
