Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	208244	4832	213076	611874	31242	33149	227	8	235	50	178	0	178	89	28	134	0	0	0	0	0	142	24	41	65	207
Khulna	170672	244	170916	433231	27516	29267	249	5	254	24	248	12	260	40	45	112	37	0	0	0	61	93	19	66	85	178
Barisal	44647	109	44756	112297	14229	15418	103	0	103	3	44	10	54	36	0	188	0	0	0	9679	0	34	0	1	1	35
Dhaka	501783	1581	503364	1089023	57860	61503	1137	94	1231	350	786	19	805	190	74	519	0	0	0	2760	0	446	25	121	133	579
Chittagong	184674	896	185570	581842	32830	33865	321	40	361	39	316	31	347	100	32	332	0	0	816	0	87	158	17	62	64	222
Sylhet	56848	31	56879	126751	9189	9569	111	1	112	8	105	0	105	30	5	10	0	0	0	0	0	13	25	5	30	43
Rangpur	222008	439	222447	368090	27494	28336	266	4	270	56	301	0	301	117	13	355	0	0	0	0	0	40	51	33	84	124
Mymensingh	71549	138	71687	172480	7564	8227	122	6	128	5	122	2	124	0	5	35	0	0	0	0	0	63	0	9	8	71

 
