Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	157081	0	157081	471416	25010	25123	133	0	133	64	589	0	589	125	0	2	0	0	0	0	0	340	209	20	229	569
Khulna	161634	0	161634	494356	29021	31163	205	6	211	35	442	0	442	50	0	0	0	0	0	0	0	242	71	32	103	345
Barisal	51655	0	51655	111471	11250	12625	118	1	119	3	207	0	207	24	0	0	0	0	0	0	0	144	11	6	17	161
Dhaka	426429	0	426429	1156793	53059	56399	818	6	824	80	831	0	831	127	3	128	0	0	0	0	0	839	93	81	174	1013
Chittagong	182806	0	182806	605742	37053	38637	312	0	312	36	585	0	585	171	8	56	0	0	0	0	0	123	80	11	91	214
Sylhet	31940	0	31940	73759	5628	5761	59	0	59	6	179	0	179	58	0	0	0	0	0	0	0	63	65	0	65	128
Rangpur	166256	0	166256	343061	26051	26775	169	0	169	30	373	0	373	158	18	0	0	0	0	0	0	260	169	11	180	440
Mymensingh	79179	0	79179	202834	8229	8910	90	0	90	19	156	0	156	28	3	0	0	0	0	0	0	197	13	10	23	220

 
