Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	144959	0	144959	240637	21009	0	65	0	65	0	17	0	17	0	517	0	0	0	0	0	0	325	102	0	102	427
Khulna	112854	0	112854	209418	21329	0	96	0	96	0	90	0	90	0	752	0	0	0	0	0	0	314	56	0	56	370
Barisal	33689	0	33689	53582	9567	0	26	0	26	0	40	0	40	0	1604	0	0	0	0	0	0	65	14	0	14	79
Dhaka	232714	0	232714	760890	52523	0	476	0	476	0	96	0	96	0	1995	0	0	0	0	0	0	710	150	0	150	860
Chittagong	157544	0	157544	397455	26864	0	109	0	109	0	49	0	49	0	534	0	0	0	0	0	0	240	45	0	45	285
Sylhet	16048	0	16048	77682	3142	0	18	0	18	0	20	0	20	0	74	0	0	0	0	0	0	100	29	0	29	129
Rangpur	95609	0	95609	186080	18091	0	79	0	79	0	22	0	22	0	783	0	0	0	0	0	0	437	56	0	56	493
Mymensingh	57234	0	57234	132028	6388	0	55	0	55	0	56	0	56	0	633	0	0	0	0	0	0	101	15	0	15	116

 
