Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	217081	510	217591	624469	33702	35568	462	29	491	75	565	6	571	209	21	218	0	0	0	0	0	265	69	63	132	397
Khulna	185744	553	186297	517856	33384	35266	507	1	508	33	580	8	588	66	49	64	0	0	7070	1344	3	159	30	89	119	278
Barisal	46532	130	46662	116264	14575	15793	186	1	187	17	121	4	125	49	21	272	0	0	0	7060	0	126	3	1	4	130
Dhaka	498468	2116	500584	1157982	63501	66409	1753	162	1915	243	1925	46	1971	379	12	378	0	0	0	2667	18	667	60	138	187	854
Chittagong	193532	1041	194573	604851	38439	39574	694	66	760	51	778	70	848	159	32	232	0	0	540	17	0	220	69	76	146	366
Sylhet	59650	654	60304	130348	10108	10439	176	27	203	72	307	0	307	108	5	210	0	0	0	300	0	55	136	12	148	203
Rangpur	215592	470	216062	384392	30550	31526	549	8	557	61	930	0	930	132	15	252	0	0	0	0	4	102	89	38	125	227
Mymensingh	74931	760	75691	215854	9172	9694	225	16	241	14	353	0	353	11	12	18	0	0	0	0	0	111	1	11	12	123

 
