Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	209284	0	209284	220594	30331	0	442	0	442	0	68	0	68	0	1619	0	0	0	0	0	0	166	50	0	50	216
Khulna	159815	0	159815	204524	32158	0	501	0	501	0	298	0	298	0	726	0	0	0	0	0	0	721	62	0	62	783
Barisal	30473	0	30473	42048	11158	0	119	0	119	0	36	0	36	0	204	0	0	0	0	0	0	163	15	0	15	178
Dhaka	361747	0	361747	615272	68802	0	1577	0	1577	0	372	0	372	0	938	0	0	0	0	0	0	848	270	0	270	1118
Chittagong	195480	0	195480	400886	40109	0	475	0	475	0	317	0	317	0	2938	0	0	0	0	0	0	326	120	0	120	446
Sylhet	2388	0	2388	11425	693	0	46	0	46	0	0	0	0	0	79	0	0	0	0	0	0	105	5	0	5	110
Rangpur	148849	0	148849	102782	26246	0	343	0	343	0	253	0	253	0	1339	0	0	0	0	0	0	142	112	0	112	254
Mymensingh	79627	0	79627	129582	10366	0	219	0	219	0	71	0	71	0	174	0	0	0	0	0	0	66	25	0	25	91

 
