Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	235749	0	235749	369406	13702	0	515	0	515	0	0	0	0	0	0	0	0	0	0	0	0	804	174	0	174	978
Khulna	188612	0	188612	384180	14129	0	361	0	361	0	8	0	8	0	4	0	0	0	0	0	0	681	128	0	128	809
Barisal	50794	0	50794	86375	3671	0	221	0	221	0	8	0	8	0	0	0	0	0	0	0	0	264	9	0	9	273
Dhaka	426222	0	426222	986678	35479	0	735	0	735	0	14	0	14	0	4	0	0	0	0	0	0	986	190	0	190	1176
Chittagong	205758	0	205758	618599	54574	0	779	0	779	0	41	0	41	0	0	0	0	0	0	0	0	384	92	0	92	476
Sylhet	23577	0	23577	72306	3892	0	48	0	48	0	15	0	15	0	0	0	0	0	0	0	0	209	144	0	144	353
Rangpur	163387	0	163387	199856	12968	0	237	0	237	0	0	0	0	0	0	0	0	0	0	0	0	659	134	0	134	793
Mymensingh	94922	0	94922	194224	1642	0	125	0	125	0	20	0	20	0	0	0	0	0	0	0	0	290	24	0	24	314

 
