Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	172000	0	172000	484050	27750	29469	184	16	200	39	335	0	335	128	0	0	0	0	0	0	0	371	50	54	104	475
Khulna	161127	0	161127	385196	24397	26382	204	0	204	43	223	0	223	33	3	156	0	0	0	0	0	179	31	47	78	257
Barisal	47638	0	47638	94516	12929	13872	150	13	163	6	140	0	140	28	0	0	0	0	0	0	0	90	4	7	11	101
Dhaka	457606	0	457606	1065066	59400	62713	872	50	922	125	853	0	853	184	5	834	0	0	0	0	0	767	61	141	202	969
Chittagong	168280	0	168280	493919	34011	35361	290	3	293	30	268	0	268	105	0	13	0	0	0	0	0	80	17	49	66	146
Sylhet	39442	0	39442	98632	6523	7008	45	0	45	2	166	0	166	34	0	20	0	0	0	0	0	52	64	0	64	116
Rangpur	142681	0	142681	206584	22826	23462	185	0	185	40	317	0	317	61	31	0	0	0	0	0	0	101	61	11	72	173
Mymensingh	83583	0	83583	201824	7899	8382	87	0	87	16	127	0	127	39	0	0	0	0	0	0	0	86	4	8	12	98

 
