Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	172431	0	172431	120565	22114	0	82	0	82	0	70	0	70	0	1744	0	0	0	0	0	0	11	19	0	19	30
Khulna	144620	0	144620	144205	28166	0	139	0	139	0	293	0	293	0	909	0	0	0	0	0	0	243	48	0	48	291
Barisal	41091	0	41091	28094	10597	0	35	0	35	0	55	0	55	0	318	0	0	0	0	0	0	188	16	0	16	204
Dhaka	364767	0	364767	405470	57811	0	537	0	537	0	528	0	528	0	2034	0	0	0	0	0	0	643	245	0	245	888
Chittagong	193682	0	193682	207360	35922	0	1164	0	1164	0	151	0	151	0	854	0	0	0	0	0	0	264	93	0	93	357
Sylhet	20061	0	20061	35798	4248	0	43	0	43	0	123	0	123	0	99	0	0	0	0	0	0	21	99	0	99	120
Rangpur	155757	0	155757	62437	24250	0	126	0	126	0	263	0	263	0	918	0	0	0	0	0	0	59	34	0	34	93
Mymensingh	80875	0	80875	85646	10174	0	121	0	121	0	25	0	25	0	124	0	0	0	0	0	0	93	23	0	23	116

 
