Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	180924	0	180924	550588	29661	31622	205	25	230	60	641	0	641	130	0	44	0	0	0	0	0	475	105	24	129	604
Khulna	158366	0	158366	416362	28571	29911	267	0	267	31	382	0	382	64	0	68	0	0	0	0	0	150	53	33	86	236
Barisal	47493	0	47493	94283	12616	13409	170	8	178	11	152	0	152	35	0	0	0	0	0	0	0	147	5	4	9	156
Dhaka	463186	0	463186	1010310	61717	65214	1171	52	1223	116	1386	0	1386	178	8	1242	0	0	0	0	0	912	105	116	221	1133
Chittagong	179101	0	179101	544970	40583	41792	433	6	439	43	487	0	487	197	1	576	0	0	0	0	0	176	39	56	95	271
Sylhet	47871	0	47871	102960	6776	7171	89	0	89	6	275	0	275	57	0	30	0	0	0	0	0	61	110	0	110	171
Rangpur	178244	0	178244	299938	28691	29710	223	0	223	53	671	0	671	132	0	118	0	0	0	0	0	215	120	30	150	365
Mymensingh	77990	0	77990	212738	8463	8952	157	21	178	8	123	0	123	44	0	16	0	0	0	0	0	148	5	16	21	169

 
