Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	185476	0	185476	607065	31265	33604	447	25	472	77	705	0	705	182	13	116	0	0	0	0	0	432	99	41	140	572
Khulna	191233	0	191233	493274	32044	33591	338	3	341	40	498	0	498	65	11	17	0	0	0	0	0	234	64	51	115	349
Barisal	46845	0	46845	136806	12774	14102	230	2	232	14	244	0	244	28	2	198	0	0	0	0	0	190	8	6	14	204
Dhaka	434781	0	434781	1193380	64427	69986	1523	65	1588	259	1864	0	1864	275	13	1127	0	0	0	0	0	938	108	131	239	1177
Chittagong	169125	0	169125	503989	38503	39463	454	28	482	32	926	0	926	202	39	226	0	0	0	0	0	104	47	44	91	195
Sylhet	45460	0	45460	126320	8081	8478	118	0	118	4	311	0	311	47	0	70	0	0	0	0	0	89	109	0	109	198
Rangpur	155567	0	155567	289444	28086	29255	273	1	274	45	553	0	553	104	4	90	0	0	0	0	0	192	76	17	93	285
Mymensingh	74415	0	74415	211488	8873	9300	223	7	230	16	330	0	330	6	0	2	0	0	0	0	0	158	2	24	26	184

 
