Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	224413	0	224413	567420	29099	32716	201	8	143	53	404	0	404	96	3	4	0	0	0	0	0	443	116	1	117	560
Khulna	182558	0	182558	470221	31179	32493	334	8	326	23	382	0	382	61	11	3	0	0	0	0	0	279	62	46	108	387
Barisal	54940	0	54940	115371	11699	12856	135	0	133	38	268	0	268	52	0	0	0	0	0	0	0	113	14	3	17	130
Dhaka	410807	0	410807	1070258	50831	53200	762	3	765	69	636	0	636	150	1	25	0	0	0	0	0	867	105	72	177	1044
Chittagong	173155	0	173155	629858	38445	39860	304	3	279	33	399	0	399	135	17	8	0	0	0	0	0	162	24	33	57	219
Sylhet	43402	0	43402	105199	8990	7477	63	0	7	6	153	0	153	41	0	0	0	0	0	0	0	69	94	35	129	198
Rangpur	183738	0	183738	360685	26793	26610	170	4	128	23	329	0	329	149	35	0	0	0	0	0	0	203	99	16	115	318
Mymensingh	82433	0	82433	211359	7860	8474	70	3	73	4	153	0	153	22	19	4	0	0	0	0	0	115	12	13	25	140

 
