Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	250855	0	250855	410753	25059	0	197	0	197	0	0	0	0	0	3	0	0	0	0	0	0	622	143	0	143	765
Khulna	189483	0	189483	450268	24049	0	240	0	240	0	0	0	0	0	4	0	0	0	0	0	0	535	124	0	124	659
Barisal	51527	0	51527	101656	11720	0	96	0	96	0	48	0	48	0	6	0	0	0	0	0	0	233	14	0	14	247
Dhaka	415943	0	415943	1016623	57307	0	554	0	554	0	4	0	4	0	19	0	0	0	0	0	0	960	274	0	274	1234
Chittagong	213680	0	213680	780987	41615	0	192	0	192	0	101	0	101	0	51	0	0	0	0	0	0	323	55	0	55	378
Sylhet	24774	0	24774	62996	3894	0	30	0	30	0	20	0	20	0	9	0	0	0	0	0	0	189	122	0	122	311
Rangpur	153237	0	153237	255381	21231	0	148	0	148	0	0	0	0	0	27	0	0	0	0	0	0	256	157	0	157	413
Mymensingh	86840	0	86840	193882	7274	0	58	0	58	0	0	0	0	0	2	0	0	0	0	0	0	166	22	0	22	188

 
