Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	166015	0	166015	474847	24619	25174	229	0	229	33	383	0	383	57	1	0	0	0	0	0	0	347	108	3	111	458
Khulna	189056	0	189056	483951	31048	32116	249	7	256	39	241	0	241	50	2	0	0	0	0	0	0	388	66	39	105	493
Barisal	33268	0	33268	88451	9968	10849	93	0	93	4	72	0	72	28	7	0	0	0	0	0	0	212	7	2	9	221
Dhaka	414533	0	414533	1148459	57452	60853	1061	6	1098	90	620	0	620	42	4	21	0	0	0	0	0	1057	200	60	260	1317
Chittagong	167586	0	167586	645353	38770	38763	313	3	316	44	396	0	396	108	22	0	0	0	0	0	0	238	96	13	109	347
Sylhet	26037	0	26037	79311	6031	6523	77	0	77	45	106	0	106	34	0	20	0	0	0	0	0	182	158	3	161	343
Rangpur	119739	0	119739	175507	15452	15833	126	0	126	23	135	0	135	51	48	2	0	0	0	0	0	284	82	3	85	369
Mymensingh	71240	0	71240	200970	6488	6577	67	10	77	17	84	0	84	46	2	0	0	0	0	0	0	223	13	9	22	245

 
