Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	242769	0	242769	434242	29900	0	122	0	122	0	29	0	29	0	0	0	0	0	0	0	0	1163	129	0	129	1292
Khulna	205926	0	205926	456899	31314	0	180	0	180	0	167	0	167	0	18	0	0	0	0	0	0	661	105	0	105	766
Barisal	50078	0	50078	134726	10794	0	87	0	87	0	14	0	14	0	6	0	0	0	0	0	0	237	31	0	31	268
Dhaka	442601	0	442601	924950	61399	0	615	0	615	0	159	0	159	0	96	0	0	0	0	0	0	1412	293	0	293	1705
Chittagong	187762	0	187762	675881	40360	0	168	0	168	0	103	0	103	0	5	0	0	0	0	0	0	467	74	0	74	541
Sylhet	22682	0	22682	68550	4194	0	21	0	21	0	11	0	11	0	0	0	0	0	0	0	0	408	83	0	83	491
Rangpur	152072	0	152072	285472	24028	0	54	0	54	0	75	0	75	0	2	0	0	0	0	0	0	474	124	0	124	598
Mymensingh	93053	0	93053	182216	8512	0	42	0	42	0	29	0	29	0	0	0	0	0	0	0	0	161	15	0	15	176

 
