Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:28
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	131563	0	131563	407608	22203	22853	98	0	98	35	152	0	152	40	0	2	0	0	0	0	0	333	75	7	82	415
Khulna	172054	0	172054	460569	30598	32196	221	3	224	26	386	0	386	47	0	0	0	0	0	0	0	250	64	18	82	332
Barisal	48329	0	48329	102866	12119	13304	130	0	130	18	152	0	152	39	0	0	0	0	0	0	0	135	7	6	13	148
Dhaka	436417	0	436417	1155131	54115	56001	791	20	811	78	666	0	666	138	0	83	0	0	0	0	0	727	75	99	174	901
Chittagong	190684	0	190684	707269	44334	46327	333	2	335	51	605	0	605	254	11	423	0	0	0	0	0	121	39	26	65	186
Sylhet	31100	0	31100	68448	5530	5537	39	0	39	1	190	0	190	56	0	0	0	0	0	0	0	100	84	7	91	191
Rangpur	165515	0	165515	309830	25653	26354	173	0	173	27	364	0	364	139	8	0	0	0	0	0	0	298	139	13	152	450
Mymensingh	83228	0	83228	216936	7777	8362	68	0	68	7	310	0	310	19	3	0	0	0	0	0	0	163	13	7	20	183

 
