Dump For Table thana from Database dgfpmis_ss8 on 10-23-2018 09:27
Div_Name	shukhi	apon	Pill	condom	inj_vial	inj_siringe	iud_normal	iud_partum	iud_total	iud_remove	imp_normal	imp_jadel	Implant	implant_remove	ecp	misoprostol	mrm_pack	inj_mgs4	mnp_saset	ifa_number	sanitary_pad	per_male	femalenormal	femalepn	female_total	Pmethod	
Rajshahi	193360	0	193360	432168	25965	0	213	0	213	0	184	0	184	0	16	0	0	0	0	0	0	372	128	0	128	500
Khulna	199052	0	199052	465525	30405	0	254	0	254	0	269	0	269	0	2	0	0	0	0	0	0	417	131	0	131	548
Barisal	46650	0	46650	82721	12120	0	126	0	126	0	89	0	89	0	33	0	0	0	0	0	0	241	15	0	15	256
Dhaka	427370	0	427370	1103739	60833	0	974	0	974	0	456	0	456	0	32	0	0	0	0	0	0	958	241	0	241	1199
Chittagong	177910	0	177910	658305	37530	0	593	0	593	0	210	0	210	0	18	0	0	0	0	0	0	228	67	0	67	295
Sylhet	33599	0	33599	77848	4654	0	64	0	64	0	102	0	102	0	0	0	0	0	0	0	0	200	217	0	217	417
Rangpur	96794	0	96794	125418	14256	0	72	0	72	0	138	0	138	0	0	0	0	0	0	0	0	292	90	0	90	382
Mymensingh	85029	0	85029	200385	8246	0	83	0	83	0	57	0	57	0	0	0	0	0	0	0	0	207	19	0	19	226

 
