Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
10,9,25,14,ADHAKHA NAZRUL NAGAR
10,9,25,15,AMINABAD
10,9,25,19,ASLAMPUR
10,9,25,28,CHAR KALMI
10,9,25,38,CHAR MADRAS
10,9,25,47,CHAR MANIKA
10,9,25,51,DHAL CHAR
10,9,25,53,EWAJPUR
10,9,25,57,HAZARIGANJ
10,9,25,63,JAHANPUR
10,9,25,66,JINNAGHAR
10,9,25,70,CHAR KUKRI MUKRI
10,9,25,73,MUJIBNAGAR
10,9,25,76,NILKAMAL
10,9,25,85,NURABAD
10,9,25,88,RASULPUR
10,9,25,95,OSMANGANJ
10,9,29,,DAULAT KHAN
10,9,29,16,BHABANIPUR
10,9,29,19,CHAR KHALIFA
10,9,29,28,CHAR PATA
10,9,29,38,HAJIPUR
10,9,29,47,MADANPUR
10,9,29,57,MEDUA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,9,29,76,UTTAR JOYNAGAR
10,9,29,85,DAKSHIN JOYNAGAR
10,9,29,95,SAIDPUR
10,9,54,,LALMOHAN
10,9,54,16,BADARPUR
10,9,54,19,CHAR BHUTA
10,9,54,28,DHALI GAURNAGAR
10,9,54,38,FARAZGANJ
10,9,54,47,KALMA
10,9,54,57,LALMOHAN
10,9,54,66,LORD HARDINJE
10,9,54,70,PASCHIM CHAR UMED
10,9,54,76,RAMAGANJ
10,9,65,,MANPURA
10,9,65,21,DAKSHIN SAKUCHIA
10,9,65,23,HAJIRHAT
10,9,65,47,MANPURA
10,9,65,71,UTTAR SAKUCHIA
10,9,91,,TAZUMUDDIN
10,9,91,19,BARA MALANCHA
10,9,91,38,CHANCHRA
10,9,91,57,CHANDPUR
10,9,91,76,SONAPUR
10,9,91,85,SHAMBHUPUR
10,42,,,JHALOKATI
10,42,40,,JHALOKATI SADAR
10,42,40,17,BASANDA
10,42,40,19,BINOYKATI
10,42,40,28,GABKHAN DHANSIRI
10,42,40,38,GABHA RAMCHANDRAPUR
10,42,40,57,KEORA
10,42,40,63,NATHULLABAD
10,42,40,66,KIRTIPASHA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,42,40,76,NABAGRAM
10,42,40,85,PONABALIA
10,42,40,95,SEKHERHAT
10,42,43,,KANTHALIA
10,42,43,15,AMUA
10,42,43,31,AWRABUNIA
10,42,43,47,CHENCHRI RAMPUR
10,42,43,63,KANTHALIA
10,42,43,79,PATKHALGHATA
10,42,43,94,SAULAJALIA
10,42,73,,NALCHITY
10,42,73,13,BHARABPASHA
10,42,73,15,DAPDAPIA
10,42,73,21,KULKATI
10,42,73,31,KUSANGHAL
10,42,73,36,MOLLAHAT
10,42,73,42,MAGAR
10,42,73,52,NACHAN MOHAL
10,42,73,73,RANAPASHA
10,42,73,84,SIDDHAKATI
10,42,73,94,SUBIDPUR
10,42,84,,RAJAPUR
10,42,84,13,BARAMAIA
10,42,84,27,GALUA
10,42,84,40,MATHBARI
10,42,84,54,RAJAPUR
10,42,84,67,SATURIA
10,42,84,81,SUKTAGARH
10,78,,,PATUAKHALI
10,78,38,,BAUPHAL
10,78,38,10,ADABARIA
10,78,38,11,BAGA
10,78,38,29,BAUPHAL
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,78,38,32,CHANDRADIP
10,78,38,35,DASPARA
10,78,38,41,DHULIA
10,78,38,47,KANCHI PARA
10,78,38,53,KALAIYA
10,78,38,59,KALISURI
10,78,38,65,KANAKDIA
10,78,38,71,KESHABPUR
10,78,38,77,MADANPURA
10,78,38,83,NOAMALA
10,78,38,89,NAZIRPUR
10,78,38,95,SURJYAMANI
10,78,52,,DASHMINA
10,78,52,10,ALIPUR
10,78,52,21,BAHRAMPUR
10,78,52,31,BANSHBARIA
10,78,52,42,BETAGI SANKIPURA
10,78,52,52,DASHMINA
10,78,52,84,RANGOPALDI
10,78,55,,DUMKI
10,78,55,19,ANGARIA
10,78,55,47,LEBUKHALI
10,78,55,81,MURADIA
10,78,55,88,PANGASHIA
10,78,55,93,SREERAMPUR
10,78,57,,GALACHIPA
10,78,57,11,AMKHOLA
10,78,57,22,BAKULBARIA
10,78,57,37,CHAR BISWAS
10,78,57,39,CHAR KAJAL
10,78,57,50,CHIKNIKANDI
10,78,57,55,DAKUA
10,78,57,67,GALACHIPA
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,78,57,69,GAZALIA
10,78,57,72,GOLKHALI
10,78,57,75,KALAGACHHIA
10,78,57,78,PANPATTY
10,78,57,94,RATANDI TALTALI
10,78,66,,KALAPARA
10,78,66,10,BALIATALI
10,78,66,11,CHAKAMAIYA
10,78,66,13,CHAMPAPUR
10,78,66,15,DALBUGANJ
10,78,66,23,MOHIPUR
10,78,66,29,DHULASAR
10,78,66,35,LALUA
10,78,66,47,LATA CHAPLI
10,78,66,55,DHANKHALI
10,78,66,59,MITHAGANJ
10,78,66,71,NILGANJ
10,78,66,83,TIAKHALI
10,78,76,,MIRZAGANJ
10,78,76,13,AMRAGACHHIA
10,78,76,27,DEULI SUBIDKHALI
10,78,76,40,KAKRABUNIA
10,78,76,54,MADHABKHALI
10,78,76,67,MAJIDBARI
10,78,76,81,MIRZAGANJ
10,78,95,,PATUAKHALI SADAR
10,78,95,10,AULIAPUR
10,78,95,11,BADARPUR
10,78,95,13,CHHOTA BIGHAI
10,78,95,20,ITABARIA
10,78,95,27,JAINKATI
10,78,95,31,BARA BIGHAI
10,78,95,33,KALIKAPUR
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,78,95,40,KAMALAPUR
10,78,95,54,LOHALIA
10,78,95,61,LAUKATI
10,78,95,67,MADARBUNIA
10,78,95,74,MARICHBUNIA
10,78,97,,RANGABALI
10,78,97,27,BARA BAISDIA
10,78,97,32,CHALITABUNIA
10,78,97,34,CHAR MONTAZ
10,78,97,44,CHHOTA BAISDIA
10,78,97,83,RANGABALI
10,79,,,PIROJPUR
10,79,14,,BHANDARIA
10,79,14,11,BHANDARIA
10,79,14,23,BHITABARIA
10,79,14,35,DHAOA
10,79,14,47,GAURIPUR
10,79,14,59,IKRI
10,79,14,71,NUDMULLA
10,79,14,83,TELIKHALI
10,79,47,,KAWKHALI
10,79,47,15,AMRAJURI
10,79,47,31,CHIRA PARA PARSATURIA
10,79,47,47,KAWKHALI
10,79,47,63,SAYNA RAGHUNATHPUR
10,79,47,79,SHIALKATI
10,79,58,,MATHBARIA
10,79,58,15,AMRAGACHHIA
10,79,58,17,BARA MACHHUA
10,79,58,25,BETMORE RAJPARA
10,79,58,34,DAUDKHALI
10,79,58,43,DHANISAFA
10,79,58,51,GULISHAKHALI
Unions list of Bangladesh (as on 25-06-2014),,,,
DIVISION,ZILA,UPAZILA/,UNION,NAME
,,THANA,,
10,79,58,60,MATHBARIA
10,79,58,69,MIRUKHALI
10,79,58,77,SAPLEZA
10,79,58,86,TIKIKATA
10,79,58,94,TUSHKHALI
10,79,76,,NAZIRPUR
10,79,76,10,DIRGHA UNION
10,79,76,21,DEULBARI DOBRA
10,79,76,25,KOLARDOANIA
10,79,76,31,MALIKHALI
10,79,76,42,MATIBHANGA
10,79,76,52,NAZIRPUR
10,79,76,63,SEKHMATIA
10,79,76,73,SHANKHARIKATI
10,79,76,84,SREERAMKATI UNION
10,79,80,,PIROJPUR SADAR
10,79,80,17,DURGAPUR
10,79,80,25,KADAMTALA UNION
10,79,80,34,KALAKHALI
10,79,80,69,SHANKARPASHA
10,79,80,77,SARIKTALA DUMRITALA
10,79,80,86,SIKDAR MALLIK
10,79,80,94,TONA
10,79,87,,NESARABAD (SWARUPKATI)
10,79,87,17,ATGHAR KURIANA UNION
10,79,87,19,BALDIA
10,79,87,28,DAIHARI
10,79,87,38,GUAREKHA UNION
10,79,87,47,JALABARI
10,79,87,57,SAMUDAYKATI
10,79,87,66,SARENGKATI
10,79,87,76,SOHAGDAL
