DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,FuzzRatioDivision,Geo,InputDivision,MeanFuzzRation,UpazillaCode,UpazillaName
77.0,Panchagarh ,55.0,Rangpur,89.0,100.0,Boda,Rangpur,94.5,25.0,Boda 
77.0,Panchagarh ,55.0,Rangpur,69.0,100.0,Panchgarh,Rangpur,84.5,73.0,Panchagarh Sadar 
77.0,Panchagarh ,55.0,Rangpur,88.0,100.0,Tetulia,Rangpur,94.0,90.0,Tentulia 
77.0,Panchagarh ,55.0,Rangpur,86.0,100.0,Atowari,Rangpur,93.0,4.0,Atwari 
77.0,Panchagarh ,55.0,Rangpur,94.0,100.0,Debiganj,Rangpur,97.0,34.0,Debiganj 
44.0,Jhenaidah ,40.0,Khulna,87.0,100.0,Harinakunda,Khulna,93.5,14.0,Harinakundu 
44.0,Jhenaidah ,40.0,Khulna,84.0,100.0,Moheshpur,Khulna,92.0,71.0,Maheshpur 
44.0,Jhenaidah ,40.0,Khulna,77.0,100.0,Jhenaidaha,Khulna,88.5,19.0,Jhenaidah Sadar 
44.0,Jhenaidah ,40.0,Khulna,96.0,100.0,Kotchandpur,Khulna,98.0,42.0,Kotchandpur 
87.0,Satkhira ,40.0,Khulna,94.0,100.0,Kaliganj,Khulna,97.0,47.0,Kaliganj 
44.0,Jhenaidah ,40.0,Khulna,89.0,100.0,Sailkupa,Khulna,94.5,80.0,Shailkupa 
36.0,Habiganj ,60.0,Sylhet,86.0,100.0,Azmiriganj,Sylhet,93.0,2.0,Ajmiriganj 
36.0,Habiganj ,60.0,Sylhet,93.0,100.0,Bahubal,Sylhet,96.5,5.0,Bahubal 
36.0,Habiganj ,60.0,Sylhet,95.0,100.0,Madhabpur,Sylhet,97.5,71.0,Madhabpur 
36.0,Habiganj ,60.0,Sylhet,92.0,100.0,Lakhai,Sylhet,96.0,68.0,Lakhai 
36.0,Habiganj ,60.0,Sylhet,82.0,100.0,Habiganj,Sylhet,91.0,77.0,Nabiganj 
36.0,Habiganj ,60.0,Sylhet,91.0,100.0,Baniachhong,Sylhet,95.5,11.0,Baniachong 
36.0,Habiganj ,60.0,Sylhet,96.0,100.0,Chunarughat,Sylhet,98.0,26.0,Chunarughat 
36.0,Habiganj ,60.0,Sylhet,94.0,100.0,Nabiganj,Sylhet,97.0,77.0,Nabiganj 
42.0,Jhalokati ,10.0,Barisal,89.0,100.0,Kathalia,Barisal,94.5,43.0,Kanthalia 
42.0,Jhalokati ,10.0,Barisal,64.0,100.0,Jhalakati,Barisal,82.0,40.0,Jhalokati Sadar 
42.0,Jhalokati ,10.0,Barisal,93.0,100.0,Rajapur,Barisal,96.5,84.0,Rajapur 
42.0,Jhalokati ,10.0,Barisal,78.0,100.0,Nalchhiti,Barisal,89.0,73.0,Nalchity 
1.0,Bagerhat ,40.0,Khulna,70.0,100.0,Bagerhat,Khulna,85.0,8.0,Bagerhat Sadar 
1.0,Bagerhat ,40.0,Khulna,94.0,100.0,Fakirhat,Khulna,97.0,34.0,Fakirhat 
1.0,Bagerhat ,40.0,Khulna,95.0,100.0,Sarankhola,Khulna,97.5,77.0,Sarankhola 
1.0,Bagerhat ,40.0,Khulna,86.0,100.0,Morralganj,Khulna,93.0,60.0,Morrelganj 
1.0,Bagerhat ,40.0,Khulna,92.0,100.0,Kachua,Khulna,96.0,38.0,Kachua 
1.0,Bagerhat ,40.0,Khulna,94.0,100.0,Mollahat,Khulna,97.0,56.0,Mollahat 
1.0,Bagerhat ,40.0,Khulna,92.0,100.0,Rampal,Khulna,96.0,73.0,Rampal 
1.0,Bagerhat ,40.0,Khulna,95.0,100.0,Chitalmari,Khulna,97.5,14.0,Chitalmari 
1.0,Bagerhat ,40.0,Khulna,92.0,100.0,Mongla,Khulna,96.0,58.0,Mongla 
61.0,Mymensingh ,30.0,Dhaka,74.0,13.0,Mymensingh,Mymensingh,43.5,52.0,Mymensingh Sadar 
61.0,Mymensingh ,30.0,Dhaka,86.0,13.0,Trisal,Mymensingh,49.5,94.0,Trishal 
27.0,Dinajpur ,55.0,Rangpur,88.0,24.0,Fulbaria,Mymensingh,56.0,38.0,Fulbari 
61.0,Mymensingh ,30.0,Dhaka,93.0,13.0,Bhaluka,Mymensingh,53.0,13.0,Bhaluka 
61.0,Mymensingh ,30.0,Dhaka,91.0,13.0,Muktagacha,Mymensingh,52.0,65.0,Muktagachha 
61.0,Mymensingh ,30.0,Dhaka,90.0,13.0,Gafargaon,Mymensingh,51.5,22.0,Gaffargaon 
61.0,Mymensingh ,30.0,Dhaka,93.0,13.0,Phulpur,Mymensingh,53.0,81.0,Phulpur 
61.0,Mymensingh ,30.0,Dhaka,82.0,13.0,Gouripur,Mymensingh,47.5,23.0,Gauripur 
61.0,Mymensingh ,30.0,Dhaka,95.0,13.0,Ishwarganj,Mymensingh,54.0,31.0,Ishwarganj 
61.0,Mymensingh ,30.0,Dhaka,93.0,13.0,Nandail,Mymensingh,53.0,72.0,Nandail 
61.0,Mymensingh ,30.0,Dhaka,95.0,13.0,Haluaghat,Mymensingh,54.0,24.0,Haluaghat 
61.0,Mymensingh ,30.0,Dhaka,82.0,13.0,Dhubaura,Mymensingh,47.5,16.0,Dhobaura 
79.0,Pirojpur ,10.0,Barisal,95.0,100.0,Mathbaria,Barisal,97.5,58.0,Mathbaria 
79.0,Pirojpur ,10.0,Barisal,94.0,100.0,Nazirpur,Barisal,97.0,76.0,Nazirpur 
79.0,Pirojpur ,10.0,Barisal,95.0,100.0,Bhandaria,Barisal,97.5,14.0,Bhandaria 
79.0,Pirojpur ,10.0,Barisal,70.0,100.0,Pirojpur,Barisal,85.0,80.0,Pirojpur Sadar 
79.0,Pirojpur ,10.0,Barisal,95.0,100.0,Nesarabad,Barisal,97.5,87.0,Nesarabad 
79.0,Pirojpur ,10.0,Barisal,94.0,100.0,Kawkhali,Barisal,97.0,47.0,Kawkhali 
9.0,Bhola ,10.0,Barisal,48.0,100.0,Indurkani,Barisal,74.0,21.0,Burhanuddin 
27.0,Dinajpur ,55.0,Rangpur,95.0,100.0,Bochaganj,Rangpur,97.5,21.0,Bochaganj 
27.0,Dinajpur ,55.0,Rangpur,94.0,100.0,Kaharole,Rangpur,97.0,56.0,Kaharole 
27.0,Dinajpur ,55.0,Rangpur,93.0,100.0,Fulbari,Rangpur,96.5,38.0,Fulbari 
27.0,Dinajpur ,55.0,Rangpur,89.0,100.0,Khanshama,Rangpur,94.5,60.0,Khansama 
27.0,Dinajpur ,55.0,Rangpur,70.0,100.0,Dinajpur,Rangpur,85.0,64.0,Dinajpur Sadar 
27.0,Dinajpur ,55.0,Rangpur,94.0,100.0,Hakimpur,Rangpur,97.0,47.0,Hakimpur 
27.0,Dinajpur ,55.0,Rangpur,93.0,100.0,Birganj,Rangpur,96.5,12.0,Birganj 
27.0,Dinajpur ,55.0,Rangpur,95.0,100.0,Ghoraghat,Rangpur,97.5,43.0,Ghoraghat 
27.0,Dinajpur ,55.0,Rangpur,73.0,100.0,Birol,Rangpur,86.5,17.0,Biral 
49.0,Kurigram ,55.0,Rangpur,67.0,100.0,Chirir,Rangpur,83.5,9.0,Chilmari 
27.0,Dinajpur ,55.0,Rangpur,95.0,100.0,Parbatipur,Rangpur,97.5,77.0,Parbatipur 
27.0,Dinajpur ,55.0,Rangpur,95.0,100.0,Nawabganj,Rangpur,97.5,69.0,Nawabganj 
27.0,Dinajpur ,55.0,Rangpur,94.0,100.0,Birampur,Rangpur,97.0,10.0,Birampur 
26.0,Dhaka ,30.0,Dhaka,93.0,100.0,Dhamrai,Dhaka,96.5,14.0,Dhamrai 
93.0,Tangail ,30.0,Dhaka,80.0,100.0,Mirpur,Dhaka,90.0,66.0,Mirzapur 
26.0,Dhaka ,30.0,Dhaka,95.0,100.0,Keraniganj,Dhaka,97.5,38.0,Keraniganj 
26.0,Dhaka ,30.0,Dhaka,91.0,100.0,Savar,Dhaka,95.5,72.0,Savar 
26.0,Dhaka ,30.0,Dhaka,95.0,100.0,Nawabganj,Dhaka,97.5,62.0,Nawabganj 
26.0,Dhaka ,30.0,Dhaka,67.0,100.0,Tejgaon,Dhaka,83.5,90.0,Tejgaon Thana 
26.0,Dhaka ,30.0,Dhaka,91.0,100.0,Dohar,Dhaka,95.5,18.0,Dohar 
22.0,Cox's Bazar ,20.0,Chittagong,94.0,100.0,Kutubdia,Chittagong,97.0,45.0,Kutubdia 
22.0,Cox's Bazar ,20.0,Chittagong,87.0,100.0,Moheshkhali,Chittagong,93.5,49.0,Maheshkhali 
22.0,Cox's Bazar ,20.0,Chittagong,36.0,100.0,Coxs,Chittagong,68.0,24.0,Cox's Bazar Sadar 
22.0,Cox's Bazar ,20.0,Chittagong,89.0,100.0,Ramu,Chittagong,94.5,66.0,Ramu 
22.0,Cox's Bazar ,20.0,Chittagong,82.0,100.0,Chakaria,Chittagong,91.0,16.0,Chakoria 
22.0,Cox's Bazar ,20.0,Chittagong,83.0,100.0,Ukhiya,Chittagong,91.5,94.0,Ukhia 
22.0,Cox's Bazar ,20.0,Chittagong,92.0,100.0,Teknaf,Chittagong,96.0,90.0,Teknaf 
22.0,Cox's Bazar ,20.0,Chittagong,91.0,100.0,Pekua,Chittagong,95.5,56.0,Pekua 
61.0,Mymensingh ,30.0,Dhaka,71.0,100.0,Faridpur,Dhaka,85.5,23.0,Gauripur 
29.0,Faridpur ,30.0,Dhaka,94.0,100.0,Boalmari,Dhaka,97.0,18.0,Boalmari 
29.0,Faridpur ,30.0,Dhaka,92.0,100.0,Bhanga,Dhaka,96.0,10.0,Bhanga 
26.0,Dhaka ,30.0,Dhaka,60.0,100.0,Char,Dhaka,80.0,18.0,Dohar 
29.0,Faridpur ,30.0,Dhaka,95.0,100.0,Nagarkanda,Dhaka,97.5,62.0,Nagarkanda 
29.0,Faridpur ,30.0,Dhaka,94.0,100.0,Sadarpur,Dhaka,97.0,84.0,Sadarpur 
29.0,Faridpur ,30.0,Dhaka,80.0,100.0,Alphadanga,Dhaka,90.0,3.0,Alfadanga 
29.0,Faridpur ,30.0,Dhaka,86.0,100.0,Modhukhali,Dhaka,93.0,56.0,Madhukhali 
10.0,Bogra ,50.0,Rajshahi,95.0,100.0,Sariakandi,Rajshahi,97.5,81.0,Sariakandi 
10.0,Bogra ,50.0,Rajshahi,93.0,100.0,Sherpur,Rajshahi,96.5,88.0,Sherpur 
70.0,Chapai Nawabganj ,50.0,Rajshahi,94.0,100.0,Shibganj,Rajshahi,97.0,88.0,Shibganj 
10.0,Bogra ,50.0,Rajshahi,77.0,100.0,Dhunot,Rajshahi,88.5,27.0,Dhunat 
10.0,Bogra ,50.0,Rajshahi,92.0,100.0,Dupchanchia,Rajshahi,96.0,33.0,Dhupchanchia 
10.0,Bogra ,50.0,Rajshahi,95.0,100.0,Nandigram,Rajshahi,97.5,67.0,Nandigram 
10.0,Bogra ,50.0,Rajshahi,95.0,100.0,Adamdighi,Rajshahi,97.5,6.0,Adamdighi 
76.0,Pabna ,50.0,Rajshahi,60.0,100.0,Bogra,Rajshahi,80.0,16.0,Bera 
10.0,Bogra ,50.0,Rajshahi,93.0,100.0,Kahaloo,Rajshahi,96.5,54.0,Kahaloo 
10.0,Bogra ,50.0,Rajshahi,93.0,100.0,Gabtali,Rajshahi,96.5,40.0,Gabtali 
10.0,Bogra ,50.0,Rajshahi,94.0,100.0,Sonatola,Rajshahi,97.0,95.0,Sonatola 
10.0,Bogra ,50.0,Rajshahi,96.0,100.0,Shajahanpur,Rajshahi,98.0,85.0,Shajahanpur 
49.0,Kurigram ,55.0,Rangpur,96.0,100.0,Bhurungamari,Rangpur,98.0,6.0,Bhurungamari 
49.0,Kurigram ,55.0,Rangpur,80.0,100.0,Roumari,Rangpur,90.0,79.0,Raumari 
49.0,Kurigram ,55.0,Rangpur,70.0,100.0,Kurigram,Rangpur,85.0,52.0,Kurigram Sadar 
49.0,Kurigram ,55.0,Rangpur,92.0,100.0,Ulipur,Rangpur,96.0,94.0,Ulipur 
49.0,Kurigram ,55.0,Rangpur,90.0,100.0,Nageswari,Rangpur,95.0,61.0,Nageshwari 
49.0,Kurigram ,55.0,Rangpur,94.0,100.0,Chilmari,Rangpur,97.0,9.0,Chilmari 
27.0,Dinajpur ,55.0,Rangpur,93.0,100.0,Fulbari,Rangpur,96.5,38.0,Fulbari 
49.0,Kurigram ,55.0,Rangpur,62.0,100.0,Char,Rangpur,81.0,9.0,Chilmari 
49.0,Kurigram ,55.0,Rangpur,94.0,100.0,Rajarhat,Rangpur,97.0,77.0,Rajarhat 
87.0,Satkhira ,40.0,Khulna,89.0,100.0,Tala,Khulna,94.5,90.0,Tala 
87.0,Satkhira ,40.0,Khulna,70.0,100.0,Satkhira,Khulna,85.0,82.0,Satkhira Sadar 
87.0,Satkhira ,40.0,Khulna,80.0,100.0,Kolaroa,Khulna,90.0,43.0,Kalaroa 
87.0,Satkhira ,40.0,Khulna,93.0,100.0,Debhata,Khulna,96.5,25.0,Debhata 
87.0,Satkhira ,40.0,Khulna,95.0,100.0,Shyamnagar,Khulna,97.5,86.0,Shyamnagar 
87.0,Satkhira ,40.0,Khulna,94.0,100.0,Kaliganj,Khulna,97.0,47.0,Kaliganj 
87.0,Satkhira ,40.0,Khulna,88.0,100.0,Asasuni,Khulna,94.0,4.0,Assasuni 
4.0,Barguna ,10.0,Barisal,96.0,100.0,Patharghata,Barisal,98.0,85.0,Patharghata 
4.0,Barguna ,10.0,Barisal,80.0,100.0,Bmna,Barisal,90.0,19.0,Bamna 
4.0,Barguna ,10.0,Barisal,92.0,100.0,Amtali,Barisal,96.0,9.0,Amtali 
4.0,Barguna ,10.0,Barisal,92.0,100.0,Betagi,Barisal,96.0,47.0,Betagi 
4.0,Barguna ,10.0,Barisal,67.0,100.0,Barguna,Barisal,83.5,28.0,Barguna Sadar 
18.0,Chuadanga ,40.0,Khulna,72.0,100.0,Chuadanga,Khulna,86.0,23.0,Chuadanga Sadar 
18.0,Chuadanga ,40.0,Khulna,59.0,100.0,Jiban,Khulna,79.5,55.0,Jiban Nagar 
18.0,Chuadanga ,40.0,Khulna,95.0,100.0,Damurhuda,Khulna,97.5,31.0,Damurhuda 
18.0,Chuadanga ,40.0,Khulna,95.0,100.0,Alamdanga,Khulna,97.5,7.0,Alamdanga 
46.0,Khagrachhari ,20.0,Chittagong,95.0,100.0,Dighinala,Chittagong,97.5,43.0,Dighinala 
46.0,Khagrachhari ,20.0,Chittagong,77.0,100.0,Khagrachhari,Chittagong,88.5,49.0,Khagrachhari Sadar 
46.0,Khagrachhari ,20.0,Chittagong,96.0,100.0,Mahalchhari,Chittagong,98.0,65.0,Mahalchhari 
46.0,Khagrachhari ,20.0,Chittagong,95.0,100.0,Panchhari,Chittagong,97.5,77.0,Panchhari 
46.0,Khagrachhari ,20.0,Chittagong,93.0,100.0,Ramgarh,Chittagong,96.5,80.0,Ramgarh 
46.0,Khagrachhari ,20.0,Chittagong,96.0,100.0,Manikchhari,Chittagong,98.0,67.0,Manikchhari 
46.0,Khagrachhari ,20.0,Chittagong,95.0,100.0,Matiranga,Chittagong,97.5,70.0,Matiranga 
46.0,Khagrachhari ,20.0,Chittagong,96.0,100.0,Lakshmichhari,Chittagong,98.0,61.0,Lakshmichhari 
65.0,Narail ,40.0,Khulna,91.0,100.0,Kalia,Khulna,95.5,28.0,Kalia 
65.0,Narail ,40.0,Khulna,94.0,100.0,Lohagara,Khulna,97.0,52.0,Lohagara 
65.0,Narail ,40.0,Khulna,63.0,100.0,Narail,Khulna,81.5,76.0,Narail Sadar 
