DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,FuzzRatioDivision,Geo,InputDivision,MeanFuzzRation,UpazillaCode,UpazillaName
78.0,Patuakhali ,10.0,Barisal,74.0,100.0,Patuakhali,Barisal,87.0,95.0,Patuakhali Sadar 
78.0,Patuakhali ,10.0,Barisal,78.0,100.0,Kalapara,Barisal,89.0,66.0,Kala Para 
78.0,Patuakhali ,10.0,Barisal,95.0,100.0,Mirzaganj,Barisal,97.5,76.0,Mirzaganj 
78.0,Patuakhali ,10.0,Barisal,84.0,100.0,Golachipa,Barisal,92.0,57.0,Galachipa 
78.0,Patuakhali ,10.0,Barisal,93.0,100.0,Bauphal,Barisal,96.5,38.0,Bauphal 
78.0,Patuakhali ,10.0,Barisal,94.0,100.0,Dashmina,Barisal,97.0,52.0,Dashmina 
78.0,Patuakhali ,10.0,Barisal,91.0,100.0,Dumki,Barisal,95.5,55.0,Dumki 
48.0,Kishoreganj ,30.0,Dhaka,93.0,100.0,Katiadi,Dhaka,96.5,45.0,Katiadi 
48.0,Kishoreganj ,30.0,Dhaka,80.0,100.0,Bhariab,Dhaka,90.0,11.0,Bhairab 
48.0,Kishoreganj ,30.0,Dhaka,95.0,100.0,Austagram,Dhaka,97.5,2.0,Austagram 
48.0,Kishoreganj ,30.0,Dhaka,76.0,100.0,Kishoreganj,Dhaka,88.0,49.0,Kishoreganj Sadar 
48.0,Kishoreganj ,30.0,Dhaka,95.0,100.0,Hossainpur,Dhaka,97.5,27.0,Hossainpur 
48.0,Kishoreganj ,30.0,Dhaka,91.0,100.0,Nikli,Dhaka,95.5,76.0,Nikli 
48.0,Kishoreganj ,30.0,Dhaka,82.0,100.0,Bazitpur,Dhaka,91.0,6.0,Bajitpur 
48.0,Kishoreganj ,30.0,Dhaka,94.0,100.0,Pakundia,Dhaka,97.0,79.0,Pakundia 
48.0,Kishoreganj ,30.0,Dhaka,89.0,100.0,Itna,Dhaka,94.5,33.0,Itna 
48.0,Kishoreganj ,30.0,Dhaka,82.0,100.0,Kuliarchar,Dhaka,91.0,54.0,Kuliar Char 
48.0,Kishoreganj ,30.0,Dhaka,92.0,100.0,Tarail,Dhaka,96.0,92.0,Tarail 
48.0,Kishoreganj ,30.0,Dhaka,95.0,100.0,Karimganj,Dhaka,97.5,42.0,Karimganj 
48.0,Kishoreganj ,30.0,Dhaka,84.0,100.0,Mithamoin,Dhaka,92.0,59.0,Mithamain 
88.0,Sirajganj ,50.0,Rajshahi,93.0,100.0,Kazipur,Rajshahi,96.5,50.0,Kazipur 
88.0,Sirajganj ,50.0,Rajshahi,80.0,100.0,Rayganj,Rajshahi,90.0,61.0,Royganj 
88.0,Sirajganj ,50.0,Rajshahi,92.0,100.0,Tarash,Rajshahi,96.0,89.0,Tarash 
88.0,Sirajganj ,50.0,Rajshahi,72.0,100.0,Sirajganj,Rajshahi,86.0,78.0,Sirajganj Sadar 
88.0,Sirajganj ,50.0,Rajshahi,91.0,100.0,Kamarkhand,Rajshahi,95.5,44.0,Kamarkhanda 
88.0,Sirajganj ,50.0,Rajshahi,82.0,100.0,Chouhali,Rajshahi,91.0,27.0,Chauhali 
88.0,Sirajganj ,50.0,Rajshahi,80.0,100.0,Ullahpara,Rajshahi,90.0,94.0,Ullah Para 
88.0,Sirajganj ,50.0,Rajshahi,94.0,100.0,Belkuchi,Rajshahi,97.0,11.0,Belkuchi 
88.0,Sirajganj ,50.0,Rajshahi,80.0,100.0,Shazadpur,Rajshahi,90.0,67.0,Shahjadpur 
35.0,Gopalganj ,30.0,Dhaka,72.0,100.0,Gopalganj,Dhaka,86.0,32.0,Gopalganj Sadar 
35.0,Gopalganj ,30.0,Dhaka,95.0,100.0,Muksudpur,Dhaka,97.5,58.0,Muksudpur 
35.0,Gopalganj ,30.0,Dhaka,95.0,100.0,Tungipara,Dhaka,97.5,91.0,Tungipara 
35.0,Gopalganj ,30.0,Dhaka,95.0,100.0,Kotalipara,Dhaka,97.5,51.0,Kotalipara 
35.0,Gopalganj ,30.0,Dhaka,88.0,100.0,Kasiani,Dhaka,94.0,43.0,Kashiani 
79.0,Pirojpur ,10.0,Barisal,95.0,0.0,Mathbaria,03(1),47.5,58.0,Mathbaria 
79.0,Pirojpur ,10.0,Barisal,94.0,0.0,Nazirpur,03(1),47.0,76.0,Nazirpur 
79.0,Pirojpur ,10.0,Barisal,95.0,0.0,Bhandaria,03(1),47.5,14.0,Bhandaria 
79.0,Pirojpur ,10.0,Barisal,70.0,0.0,Pirojpur,03(1),35.0,80.0,Pirojpur Sadar 
79.0,Pirojpur ,10.0,Barisal,95.0,0.0,Nesarabad,03(1),47.5,87.0,Nesarabad 
84.0,Rangamati ,20.0,Chittagong,94.0,0.0,Kawkhali,03(1),47.0,25.0,Kawkhali 
19.0,Comilla ,20.0,Chittagong,53.0,0.0,Indurkani,03(1),26.5,36.0,Daudkandi 
68.0,Narsingdi ,30.0,Dhaka,69.0,100.0,Narshingdi,Dhaka,84.5,60.0,Narsingdi Sadar 
68.0,Narsingdi ,30.0,Dhaka,67.0,100.0,Raipura,Dhaka,83.5,64.0,Roypura 
68.0,Narsingdi ,30.0,Dhaka,74.0,100.0,Monohordi,Dhaka,87.0,52.0,Manohardi 
68.0,Narsingdi ,30.0,Dhaka,93.0,100.0,Shibpur,Dhaka,96.5,76.0,Shibpur 
68.0,Narsingdi ,30.0,Dhaka,92.0,100.0,Palash,Dhaka,96.0,63.0,Palash 
68.0,Narsingdi ,30.0,Dhaka,86.0,100.0,Belaboo,Dhaka,93.0,7.0,Belabo 
64.0,Naogaon ,50.0,Rajshahi,67.0,22.0,Jamalpur,Mymensingh,44.5,69.0,Niamatpur 
39.0,Jamalpur ,30.0,Dhaka,95.0,13.0,Melandaha,Mymensingh,54.0,61.0,Melandaha 
39.0,Jamalpur ,30.0,Dhaka,95.0,13.0,Dewanganj,Mymensingh,54.0,15.0,Dewanganj 
39.0,Jamalpur ,30.0,Dhaka,94.0,13.0,Islampur,Mymensingh,53.5,29.0,Islampur 
39.0,Jamalpur ,30.0,Dhaka,92.0,13.0,Sharishabari,Mymensingh,52.5,85.0,Sarishabari 
39.0,Jamalpur ,30.0,Dhaka,95.0,13.0,Madarganj,Mymensingh,54.0,58.0,Madarganj 
39.0,Jamalpur ,30.0,Dhaka,95.0,13.0,Bakshiganj,Mymensingh,54.0,7.0,Bakshiganj 
13.0,Chandpur ,20.0,Chittagong,89.0,100.0,Sharasti,Chittagong,94.5,95.0,Shahrasti 
13.0,Chandpur ,20.0,Chittagong,92.0,100.0,Matlab,Chittagong,96.0,76.0,Matlab 
13.0,Chandpur ,20.0,Chittagong,94.0,100.0,Hajiganj,Chittagong,97.0,49.0,Hajiganj 
13.0,Chandpur ,20.0,Chittagong,70.0,100.0,Chandpur,Chittagong,85.0,22.0,Chandpur Sadar 
13.0,Chandpur ,20.0,Chittagong,92.0,100.0,Kachua,Chittagong,96.0,58.0,Kachua 
13.0,Chandpur ,20.0,Chittagong,95.0,100.0,Faridganj,Chittagong,97.5,45.0,Faridganj 
13.0,Chandpur ,20.0,Chittagong,59.0,100.0,Hemchar,Chittagong,79.5,47.0,Haim Char 
13.0,Chandpur ,20.0,Chittagong,77.0,100.0,Motlab,Chittagong,88.5,76.0,Matlab 
93.0,Tangail ,30.0,Dhaka,94.0,100.0,Mirzapur,Dhaka,97.0,66.0,Mirzapur 
93.0,Tangail ,30.0,Dhaka,94.0,100.0,Nagarpur,Dhaka,97.0,76.0,Nagarpur 
93.0,Tangail ,30.0,Dhaka,93.0,100.0,Bhuapur,Dhaka,96.5,19.0,Bhuapur 
93.0,Tangail ,30.0,Dhaka,93.0,100.0,Ghatail,Dhaka,96.5,28.0,Ghatail 
93.0,Tangail ,30.0,Dhaka,92.0,100.0,Basail,Dhaka,96.0,9.0,Basail 
48.0,Kishoreganj ,30.0,Dhaka,71.0,100.0,Tangail,Dhaka,85.5,92.0,Tarail 
93.0,Tangail ,30.0,Dhaka,94.0,100.0,Kalihati,Dhaka,97.0,47.0,Kalihati 
93.0,Tangail ,30.0,Dhaka,82.0,100.0,Modhupur,Dhaka,91.0,57.0,Madhupur 
93.0,Tangail ,30.0,Dhaka,94.0,100.0,Gopalpur,Dhaka,97.0,38.0,Gopalpur 
93.0,Tangail ,30.0,Dhaka,89.0,100.0,Shakhipur,Dhaka,94.5,85.0,Sakhipur 
93.0,Tangail ,30.0,Dhaka,93.0,100.0,Delduar,Dhaka,96.5,23.0,Delduar 
69.0,Natore ,50.0,Rajshahi,95.0,100.0,Baraigram,Rajshahi,97.5,15.0,Baraigram 
69.0,Natore ,50.0,Rajshahi,63.0,100.0,Natore,Rajshahi,81.5,63.0,Natore Sadar 
69.0,Natore ,50.0,Rajshahi,95.0,100.0,Bagatipara,Rajshahi,97.5,9.0,Bagatipara 
69.0,Natore ,50.0,Rajshahi,92.0,100.0,Singra,Rajshahi,96.0,91.0,Singra 
69.0,Natore ,50.0,Rajshahi,92.0,100.0,Lalpur,Rajshahi,96.0,44.0,Lalpur 
69.0,Natore ,50.0,Rajshahi,91.0,100.0,Gurudashpur,Rajshahi,95.5,41.0,Gurudaspur 
76.0,Pabna ,50.0,Rajshahi,82.0,100.0,Atghoria,Rajshahi,91.0,5.0,Atgharia 
81.0,Rajshahi ,50.0,Rajshahi,80.0,100.0,Pabna,Rajshahi,90.0,72.0,Paba 
76.0,Pabna ,50.0,Rajshahi,84.0,100.0,Chatmohor,Rajshahi,92.0,22.0,Chatmohar 
76.0,Pabna ,50.0,Rajshahi,94.0,100.0,Ishwardi,Rajshahi,97.0,39.0,Ishwardi 
76.0,Pabna ,50.0,Rajshahi,94.0,100.0,Faridpur,Rajshahi,97.0,33.0,Faridpur 
76.0,Pabna ,50.0,Rajshahi,95.0,100.0,Sujanagar,Rajshahi,97.5,83.0,Sujanagar 
76.0,Pabna ,50.0,Rajshahi,93.0,100.0,Santhia,Rajshahi,96.5,72.0,Santhia 
76.0,Pabna ,50.0,Rajshahi,89.0,100.0,Bera,Rajshahi,94.5,16.0,Bera 
76.0,Pabna ,50.0,Rajshahi,78.0,100.0,Bhangoora,Rajshahi,89.0,19.0,Bhangura 
47.0,Khulna ,40.0,Khulna,82.0,100.0,Digholia,Khulna,91.0,40.0,Dighalia 
47.0,Khulna ,40.0,Khulna,93.0,100.0,Dumuria,Khulna,96.5,30.0,Dumuria 
1.0,Bagerhat ,40.0,Khulna,62.0,100.0,Khulna,Khulna,81.0,38.0,Kachua 
47.0,Khulna ,40.0,Khulna,92.0,100.0,Dacope,Khulna,96.0,17.0,Dacope 
47.0,Khulna ,40.0,Khulna,95.0,100.0,Terokhada,Khulna,97.5,94.0,Terokhada 
47.0,Khulna ,40.0,Khulna,75.0,100.0,Fultala,Khulna,87.5,69.0,Phultala 
47.0,Khulna ,40.0,Khulna,95.0,100.0,Batiaghata,Khulna,97.5,12.0,Batiaghata 
47.0,Khulna ,40.0,Khulna,95.0,100.0,Paikgachha,Khulna,97.5,64.0,Paikgachha 
47.0,Khulna ,40.0,Khulna,83.0,100.0,Rupsha,Khulna,91.5,75.0,Rupsa 
47.0,Khulna ,40.0,Khulna,91.0,100.0,Koyra,Khulna,95.5,53.0,Koyra 
84.0,Rangamati ,20.0,Chittagong,88.0,100.0,Langadu,Chittagong,94.0,58.0,Langadu  
84.0,Rangamati ,20.0,Chittagong,94.0,100.0,Kawkhali,Chittagong,97.0,25.0,Kawkhali 
84.0,Rangamati ,20.0,Chittagong,72.0,100.0,Rangamati,Chittagong,86.0,87.0,Rangamati Sadar 
84.0,Rangamati ,20.0,Chittagong,96.0,100.0,Baghaichhari,Chittagong,98.0,7.0,Baghaichhari 
84.0,Rangamati ,20.0,Chittagong,92.0,100.0,Barkal,Chittagong,96.0,21.0,Barkal 
84.0,Rangamati ,20.0,Chittagong,91.0,100.0,Naniarchar,Chittagong,95.5,75.0,Naniarchar  
84.0,Rangamati ,20.0,Chittagong,78.0,100.0,Jurachhari,Chittagong,89.0,47.0,Jurai Chhari 
84.0,Rangamati ,20.0,Chittagong,86.0,100.0,Kaptai,Chittagong,93.0,36.0,Kaptai  
