   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	3942754	1691372	260889	562124	93573	46555	98380	317065	415445	3069958	77.8633
Khulna	3348972	1355151	223652	533746	85932	38326	75245	300048	375293	2612100	77.9971
Barisal	1547935	550851	63420	316035	42030	27923	36833	73416	110249	1110508	71.7413
Dhaka	5084615	2078794	383312	621961	136122	53580	55559	373191	428750	3702519	72.8181
Chittagong	4482919	1596345	268173	728400	140259	61178	41080	290221	331301	3125656	69.7237
Sylhet	1418147	529131	121890	181557	56544	18700	34809	83128	117937	1025759	72.3309
Rangpur	3338146	1443022	104904	512408	49952	46402	153852	253438	407290	2563978	76.8084
Mymensingh	2140120	1007673	88729	248586	42879	25605	56963	114352	171315	1584787	74.0513

 
