   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4013235	1697438	280870	593583	100808	71599	110571	337428	447999	3192297	79.5442
Khulna	3390244	1346097	230590	555143	91475	72704	83576	323248	406824	2702833	79.7238
Barisal	1574587	551802	67298	338688	46896	46370	43503	77919	121422	1172476	74.4624
Dhaka	5167887	2128839	412680	674412	157077	96882	71463	399504	470967	3940857	76.2566
Chittagong	4540322	1659270	289727	781056	153980	82738	49778	309202	358980	3325751	73.2492
Sylhet	1448212	544467	126915	190372	58815	25775	43104	96821	139925	1086269	75.0076
Rangpur	3392710	1434233	114573	559921	55517	65438	183661	264792	448453	2678135	78.9379
Mymensingh	2169307	1009033	96973	281673	52185	42221	67369	122369	189738	1671823	77.0671

 
