   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4162623	1666936	358759	615376	101432	165509	121815	360565	482380	3390392	81.4485
Khulna	3450342	1273892	279106	570421	83972	138939	85084	337562	422646	2768976	80.2522
Barisal	1627924	578299	76927	346692	52949	89067	56691	82509	139200	1283134	78.8203
Dhaka	5435351	2100693	471320	721462	166550	228437	115159	430497	545656	4234118	77.8996
Chittagong	5005850	1803284	338424	847227	183103	211056	82893	346848	429741	3812835	76.1676
Sylhet	1639160	605931	129093	223229	57558	72519	62718	143695	206413	1294743	78.9882
Rangpur	3575434	1385869	145818	623056	67811	170236	193901	262303	456204	2848994	79.6825
Mymensingh	2243582	988817	107966	314834	54228	108400	78285	119139	197424	1771669	78.9661

 
