   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4170268	1666892	360149	615120	102660	171392	122042	361947	483989	3400202	81.5344
Khulna	3456032	1273126	280689	570721	85014	143405	85139	339346	424485	2777440	80.3650
Barisal	1630349	580053	77341	346626	53481	90718	56876	82886	139762	1287981	79.0003
Dhaka	5447600	2101392	471917	723674	168923	235835	116893	432849	549742	4251483	78.0432
Chittagong	5017999	1807042	338610	847834	184595	218698	83308	348074	431382	3828161	76.2886
Sylhet	1642796	607740	128525	223591	57515	75473	62829	144573	207402	1300246	79.1484
Rangpur	3584882	1387935	145620	622706	69038	176214	194271	265028	459299	2860812	79.8021
Mymensingh	2247071	988805	108467	315298	55033	112124	78449	119761	198210	1777937	79.1224

 
