   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:10
division	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	Total	CAR	
Rajshahi	4122498	1647222	346573	617959	96116	142107	120085	350240	470325	3320302	80.5410
Khulna	3421808	1271800	272768	568612	81036	127619	84712	328842	413554	2735389	79.9399
Barisal	1615446	571605	76003	348541	50145	80381	55273	79871	135144	1261819	78.1096
Dhaka	5365875	2081441	466383	702460	158032	200390	105671	414708	520379	4129085	76.9508
Chittagong	4922057	1768485	331774	837615	172333	174291	77889	337361	415250	3699748	75.1667
Sylhet	1617247	592529	127593	218030	57952	62870	61272	137964	199236	1258210	77.7995
Rangpur	3534390	1365917	139867	639072	63278	150365	192081	256004	448085	2806584	79.4079
Mymensingh	2222495	979840	109078	313912	52658	94204	77217	116477	193694	1743386	78.4427

 
