"shdistrict","mean_systolic_pressure","mean_diastolic_pressure","normal","prehypertension","hypertensive_1","hypertensive_2","hypertensive"
1,115.413311072984,77.4123524150652,0.598076419204217,0.312721465935681,0.0843274423253482,0.00487467253475319,0.0892021148601014
3,102.5,67.5,1,0,0,0,0
4,121.752433574763,76.637772242614,0.459082052033605,0.348615892310206,0.192302055656189,0,0.192302055656189
6,119.287443932966,78.3845067281522,0.465179280147162,0.336314764694485,0.180736031797762,0.0177699233605908,0.198505955158353
9,114.968225073002,76.3965555425865,0.503442344497122,0.312818422386946,0.173799833701661,0.00993939941426962,0.183739233115931
10,115.018060291407,74.6563451050103,0.600613681331723,0.263215550088268,0.122858088843728,0.0133126797362811,0.136170768580009
12,111.80586654522,73.9735710802724,0.614198409260983,0.32051248695338,0.0652891037856363,0,0.0652891037856363
13,115.227250202491,74.5651078078764,0.45032345705498,0.280227289574527,0.269449253370493,0,0.269449253370493
15,116.232681040528,77.9973710281625,0.460098554143027,0.364617676114545,0.160349018076476,0.0149347516659519,0.175283769742428
18,123.765458510209,77.5052400153367,0.44675210373172,0.306185973317641,0.195676453083641,0.0513854698669983,0.24706192295064
19,110.758085920916,72.8398245682086,0.623849717746404,0.251864526366857,0.124285755886739,0,0.124285755886739
22,114.793198845196,74.0298214481893,0.599440471339305,0.272071178554791,0.0791101556051089,0.0493781945007948,0.128488350105904
26,124.119490710249,82.3952709686764,0.31432284644983,0.45300589475713,0.209352789005667,0.0233184697873728,0.23267125879304
27,120.389095670096,78.0761223167865,0.529030970846466,0.288403650054894,0.149643402865386,0.0329219762332542,0.18256537909864
29,116.97593961784,77.1435946385402,0.516038586731284,0.305319206789566,0.15296691168486,0.0256752947942897,0.17864220647915
30,115.555533454688,73.3207132223506,0.568309564157928,0.252023947741505,0.179666488100567,0,0.179666488100567
32,114.355642092288,74.3791005313713,0.58760722073755,0.307173625349834,0.0922840516832826,0.0129351022293342,0.105219153912617
33,119.787203985754,79.0354529149139,0.373384280750096,0.531913025199543,0.0843753351958736,0.010327358854488,0.0947026940503615
35,117.87923171578,73.451756699896,0.55803784838293,0.261291891271592,0.180670260345477,0,0.180670260345477
36,113.037095117134,72.1806358941499,0.645188452855597,0.275617166211008,0.0688177787677274,0.010376602165668,0.0791943809333953
38,120.288283323907,78.374238988629,0.462402968699569,0.330633935474883,0.190996797604509,0.0159662982210389,0.206963095825548
39,116.413072160456,79.3001571946331,0.456260885055796,0.407682114040541,0.136057000903663,0,0.136057000903663
41,124.428171149827,82.8765727299696,0.367326728610746,0.396009571223425,0.217022439333487,0.019641260832342,0.236663700165829
42,120.327932942351,74.9568199391799,0.525412138332928,0.286559621886283,0.18802823978079,0,0.18802823978079
44,125.23291136585,80.3376133274311,0.354362056445598,0.429283425790138,0.198114247457831,0.0182402703064323,0.216354517764264
46,105.8125,66.875,0.625,0.25,0.125,0,0.125
47,117.948489096633,78.7426956544109,0.451345990780051,0.36190494594412,0.164876263469207,0.0218727998066228,0.18674906327583
48,121.123540616229,77.4329324540259,0.525808616087006,0.314576909034435,0.11990148103921,0.0397129938393488,0.159614474878559
49,118.328506065119,78.3857971439247,0.512823375025103,0.358967245036521,0.128209379938377,0,0.128209379938377
50,117.321876211801,78.9230257895895,0.436351222732004,0.390241971661388,0.152412582239469,0.0209942233671395,0.173406805606609
51,119.364412232867,78.4569802416748,0.504053311927104,0.396520897262206,0.0994257908106904,0,0.0994257908106904
52,119.687178313473,78.4876763418952,0.439058471487145,0.349028014212599,0.211913514300256,0,0.211913514300256
54,118.992357518704,76.2300710068835,0.503472716109423,0.284379163193998,0.195330640529307,0.0168174801672717,0.212148120696579
55,125.039379659645,80.3951336562555,0.435019132034818,0.379649359264968,0.168450853703561,0.0168806549966526,0.185331508700214
56,120.536934509879,78.2468388550201,0.588830333172695,0.234351972476566,0.1476290692905,0.0291886250602392,0.176817694350739
57,124.07500568938,83.8532869563869,0.271314276849644,0.519757602568824,0.208928120581532,0,0.208928120581532
58,114.170188369311,73.9544522714735,0.522740228830985,0.330047379620143,0.147212391548872,0,0.147212391548872
59,125.750830961824,82.6659184676559,0.302367216171877,0.370842316844704,0.303847319491762,0.0229431474916576,0.32679046698342
61,112.263633878354,75.6627731232242,0.596860340544981,0.323223783000487,0.0799158764545326,0,0.0799158764545326
64,118.706456441027,77.7132672130742,0.496644793416046,0.354918575746228,0.141159608100227,0.00727702273749936,0.148436630837726
65,115.820098469983,71.2683041362749,0.631724268527829,0.314481583249541,0.0537941482226305,0,0.0537941482226305
67,121.468244494201,80.8429741442051,0.401068257941837,0.41336612930493,0.185565612753233,0,0.185565612753233
68,115.621331164798,77.9214088051687,0.508540742022792,0.291987175051398,0.183408789212376,0.0160632937134338,0.19947208292581
69,118.92213952877,80.3000225608953,0.399958460887635,0.388828630862675,0.190827143062606,0.0203857651870838,0.21121290824969
70,119.433567050901,78.5067525953969,0.423250979084027,0.394452002244202,0.182297018671771,0,0.182297018671771
72,117.742570437728,76.082774003988,0.568185239232902,0.287602729638719,0.12755317011613,0.0166588610122487,0.144212031128379
73,129.309488990241,82.8843937295162,0.274570949645622,0.491035714415575,0.216796378735934,0.0175969572028687,0.234393335938803
75,116.437996066,75.0246121188764,0.49734626974812,0.265901238233472,0.219938622925123,0.0168138690932858,0.236752492018409
76,110.5242983188,70.3005305934544,0.676379577641834,0.126671094986222,0.196949327371944,0,0.196949327371944
77,124.865639887253,82.080503949102,0.33838120685372,0.473890557526543,0.140202389570068,0.047525846049669,0.187728235619737
78,112.106905902994,75.6288578255482,0.644578971124811,0.206961810593953,0.139708916215106,0.00875030206613016,0.148459218281236
79,119.28956808869,77.114104103045,0.513069803072063,0.221610353706286,0.243537909505791,0.0217819337158593,0.265319843221651
81,122.831867326004,81.0982079250901,0.424758861132003,0.372967678170847,0.176251472964731,0.0260219877324189,0.20227346069715
82,106.505642254394,71.7016928070405,0.693935104083557,0.191114257005392,0.114950638911052,0,0.114950638911052
84,126.384615384615,81,0.307692307692308,0.538461538461538,0.0769230769230769,0.0769230769230769,0.153846153846154
85,121.773673196119,80.9662333721983,0.352867076303852,0.486335221360983,0.133377551367236,0.027420150967929,0.160797702335165
86,119.274326635965,74.3413102278897,0.5,0.304141206754025,0.143131935293482,0.0527268579524937,0.195858793245975
87,128.207291275904,82.8520890360378,0.366710104918543,0.373840799853129,0.18784511495616,0.0716039802721685,0.259449095228328
88,114.31485531837,72.1800344884134,0.616046625129426,0.208758915910138,0.158025451488592,0.0171690074718431,0.175194458960435
89,113.664107711427,78.0074932053494,0.500959010192344,0.317463714763218,0.181577275044438,0,0.181577275044438
90,114.358551127948,73.8397864059747,0.599427381240116,0.254120387075569,0.135729807138759,0.0107224245455554,0.146452231684314
91,117.074009848361,78.0613330573482,0.51375148963588,0.283019116584443,0.200535422659017,0.00269397112065946,0.203229393779677
93,124.71838928204,80.0112248233122,0.374982543994295,0.422187234780454,0.177763837004933,0.0250663842203185,0.202830221225251
94,125.022238367281,84.1702229564852,0.331240708852243,0.4691047116389,0.156538472262401,0.0431161072464555,0.199654579508857
