Div_Name	pusti108	pusti109	pusti110	pusti111	pusti112	pusti113	pusti114	pusti115	pusti116	pusti117	pusti118	pusti119	pusti120	pusti121	pusti122	pusti123	pusti124	pusti125
Rajshahi	442	67	3097	903	5588	24039	610	5721	8385	14547	1212	1883	403	1003	143	514	457	806
Khulna	757	283	1621	618	4761	33136	5812	8680	14973	34873	32586	1812	3448	803	114	369	422	497
Barisal	236	60	989	524	3393	16711	473	3924	5293	9031	72560	3202	104	273	93	94	98	326
Dhaka	1576	309	3718	1135	6738	46599	1043	8919	13416	17078	115260	2790	1603	1742	307	1340	1088	1495
Chittagong	1593	317	1729	1012	8299	39339	2058	8341	12955	22630	24127	5299	1046	1462	1115	515	480	614
Sylhet	376	110	2032	149	1661	16619	2035	4406	6955	12053	5359	1456	683	888	356	510	500	671
Rangpur	1257	250	1449	643	4381	23639	1072	4444	6280	8821	2397	1356	718	338	93	207	161	429
Mymensingh	169	6	636	368	2567	15649	1425	4073	4634	9229	6335	1570	1132	386	126	267	352	365
