Div_Name	pusti108	pusti109	pusti110	pusti111	pusti112	pusti113	pusti114	pusti115	pusti116	pusti117	pusti118	pusti119	pusti120	pusti121	pusti122	pusti123	pusti124	pusti125
Rajshahi	837	74	3133	881	20491	40866	1840	8107	11470	19747	2122	3923	530	588	125	623	471	537
Khulna	937	483	1716	809	20387	34604	3062	11606	16346	40640	12446	4381	472	736	147	395	394	723
Barisal	185	66	928	424	17840	17088	1844	6323	8675	14935	87939	2003	365	319	56	137	194	436
Dhaka	3215	621	3304	1962	21910	62571	2526	11272	15885	23831	103701	4484	3400	2049	518	1900	1475	1905
Chittagong	2289	565	1783	866	23653	60952	2344	14214	18847	34800	77433	5353	1964	1330	484	789	1196	1161
Sylhet	332	20	2575	172	9993	35672	1151	9254	12695	25039	4197	2016	575	1123	406	664	409	646
Rangpur	1180	308	1560	549	18652	47970	1377	6119	9212	13197	2012	3223	713	507	158	371	456	488
Mymensingh	331	127	829	411	9760	19125	1074	5304	7012	15122	4529	2693	466	382	313	441	412	441
