Div_Name	pusti108	pusti109	pusti110	pusti111	pusti112	pusti113	pusti114	pusti115	pusti116	pusti117	pusti118	pusti119	pusti120	pusti121	pusti122	pusti123	pusti124	pusti125
Rajshahi	735	65	3006	1070	4314	23702	669	5434	8120	12250	925	2276	277	1121	118	508	389	911
Khulna	1080	324	1408	398	7765	38071	14438	8654	13820	31715	1222	2233	1478	631	103	383	402	449
Barisal	178	59	1014	518	2146	10261	630	3138	4639	7343	430	1083	174	408	62	98	119	292
Dhaka	676	528	2494	1063	4827	37069	1541	7414	11751	14691	1084	3790	1192	1600	528	872	705	1506
Chittagong	1565	210	1707	1307	3129	44298	2210	7499	12520	21678	1105	2713	776	1162	1145	388	526	710
Sylhet	356	5	2030	193	547	18889	1040	5622	8413	13615	444	1792	994	1088	329	474	397	566
Rangpur	1475	930	1485	280	4276	76973	2919	3801	6167	7861	272	2233	325	304	86	176	163	224
Mymensingh	399	25	547	204	1476	12528	1651	3592	4137	8710	2957	1686	871	478	101	249	282	299
