,thana,District,Division,program
9,Shakhipur,0412,04,thana_process
10,Delduar,0412,04,thana_process
0,Baraigram,0114,01,thana_process
1,Natore,0114,01,thana_process
2,Bagatipara,0114,01,thana_process
3,Singra,0114,01,thana_process
4,Lalpur,0114,01,thana_process
5,Gurudashpur,0114,01,thana_process
0,Atghoria,0115,01,thana_process
1,Pabna,0115,01,thana_process
2,Chatmohor,0115,01,thana_process
3,Ishwardi,0115,01,thana_process
4,Faridpur,0115,01,thana_process
5,Sujanagar,0115,01,thana_process
6,Santhia,0115,01,thana_process
7,Bera,0115,01,thana_process
8,Bhangoora,0115,01,thana_process
0,Digholia,0208,02,thana_process
1,Dumuria,0208,02,thana_process
2,Khulna,0208,02,thana_process
3,Dacope,0208,02,thana_process
4,Terokhada,0208,02,thana_process
5,Fultala,0208,02,thana_process
6,Batiaghata,0208,02,thana_process
7,Paikgachha,0208,02,thana_process
8,Rupsha,0208,02,thana_process
9,Koyra,0208,02,thana_process
0,Langadu,0509,05,thana_process
1,Kawkhali,0509,05,thana_process
2,Rangamati,0509,05,thana_process
3,Baghaichhari,0509,05,thana_process
4,Barkal,0509,05,thana_process
5,Naniarchar,0509,05,thana_process
6,Jurachhari,0509,05,thana_process
7,Kaptai,0509,05,thana_process
8,Rajasthali,0509,05,thana_process
9,Belaichhari,0509,05,thana_process
0,Parshuram,0504,05,thana_process
1,Chhagalnaiya,0504,05,thana_process
2,Feni,0504,05,thana_process
3,Sonagazi,0504,05,thana_process
4,Dagonbhuiyan,0504,05,thana_process
5,Fulgazi,0504,05,thana_process
0,Fenchuganj,0601,06,thana_process
1,Gowainghat,0601,06,thana_process
2,Jakiganj,0601,06,thana_process
3,Jaintapur,0601,06,thana_process
4,Balaganj,0601,06,thana_process
5,Golapganj,0601,06,thana_process
6,Sylhet,0601,06,thana_process
7,Biani,0601,06,thana_process
8,Kanaighat,0601,06,thana_process
9,Biswanath,0601,06,thana_process
10,Companiganj,0601,06,thana_process
11,South,0601,06,thana_process
0,Ramgoti,0506,05,thana_process
1,Raipur,0506,05,thana_process
2,Lakshmipur,0506,05,thana_process
3,Ramganj,0506,05,thana_process
4,Kamalnagar,0506,05,thana_process
0,Naogaon,0111,01,thana_process
1,Mohadebpur,0111,01,thana_process
2,Manda,0111,01,thana_process
3,Badalgachhi,0111,01,thana_process
4,Rani,0111,01,thana_process
5,Patnitola,0111,01,thana_process
6,Atrai,0111,01,thana_process
7,Dhamoirhat,0111,01,thana_process
8,Niamatpur,0111,01,thana_process
9,Porsa,0111,01,thana_process
10,Sapahar,0111,01,thana_process
0,Gangachara,0105,07,thana_process
1,Pirganj,0105,07,thana_process
2,Pirgachha,0105,07,thana_process
3,Badarganj,0105,07,thana_process
4,Mithapukur,0105,07,thana_process
5,Kaunia,0105,07,thana_process
6,Rangpur,0105,07,thana_process
7,Taraganj,0105,07,thana_process
0,Bhurungamari,0106,07(1),thana_process
1,Roumari,0106,07(1),thana_process
2,Kurigram,0106,07(1),thana_process
3,Ulipur,0106,07(1),thana_process
4,Nageswari,0106,07(1),thana_process
5,Chilmari,0106,07(1),thana_process
6,Fulbari,0106,07(1),thana_process
7,Char,0106,07(1),thana_process
8,Rajarhat,0106,07(1),thana_process
0,Durgapur,0113,01,thana_process
1,Poba,0113,01,thana_process
2,Mohanpur,0113,01,thana_process
3,Puthiya,0113,01,thana_process
4,Bagmara,0113,01,thana_process
5,Charghat,0113,01,thana_process
6,Boalia,0113,01,thana_process
7,Tanore,0113,01,thana_process
8,Godagari,0113,01,thana_process
9,Bagha,0113,01,thana_process
0,Sreemongal,0603,06,thana_process
1,Barlekha,0603,06,thana_process
2,Moulavi,0603,06,thana_process
3,Kulaura,0603,06,thana_process
4,Rajnagar,0603,06,thana_process
5,Komolganj,0603,06,thana_process
6,Juri,0603,06,thana_process
0,Tongibari,0408,04,thana_process
1,Gazaria,0408,04,thana_process
2,Serajdikhan,0408,04,thana_process
3,Munshiganj,0408,04,thana_process
4,Srinagar,0408,04,thana_process
5,Lohajong,0408,04,thana_process
0,Rajoir,0402,04,thana_process
1,Kalkini,0402,04,thana_process
2,Shibchar,0402,04,thana_process
3,Madaripur,0402,04,thana_process
0,Adarsho,0502,05,thana_process
1,Chouddagram,0502,05,thana_process
2,Barura,0502,05,thana_process
3,Laksham,0502,05,thana_process
4,Burichong,0502,05,thana_process
5,Brahmanpara,0502,05,thana_process
6,Homna,0502,05,thana_process
7,Muradnagar,0502,05,thana_process
8,Debidwar,0502,05,thana_process
9,Daudkandi,0502,05,thana_process
10,Chandina,0502,05,thana_process
11,Nangolkot,0502,05,thana_process
12,Meghna,0502,05,thana_process
13,Titash,0502,05,thana_process
14,Comilla,0502,05,thana_process
15,Monohargonj,0502,05,thana_process
0,Jamalpur,0413,08(1),thana_process
1,Melandaha,0413,08(1),thana_process
2,Dewanganj,0413,08(1),thana_process
3,Islampur,0413,08(1),thana_process
4,Sharishabari,0413,08(1),thana_process
5,Madarganj,0413,08(1),thana_process
6,Bakshiganj,0413,08(1),thana_process
0,Gobindaganj,0107,07,thana_process
1,Sundarganj,0107,07,thana_process
2,Fulchhari,0107,07,thana_process
3,Sadullahpur,0107,07,thana_process
4,Palashbari,0107,07,thana_process
5,Shaghata,0107,07,thana_process
6,Gaibandha,0107,07,thana_process
0,Rupganj,0409,04,thana_process
1,Sonargaon,0409,04,thana_process
2,Narayanganj,0409,04,thana_process
3,Araihazar,0409,04,thana_process
4,Bandar,0409,04,thana_process
8,Saltha,0404,04,thana_process
0,Dighinala,0510,05(1),thana_process
1,Khagrachhari,0510,05(1),thana_process
2,Mahalchhari,0510,05(1),thana_process
3,Panchhari,0510,05(1),thana_process
4,Ramgarh,0510,05(1),thana_process
5,Manikchhari,0510,05(1),thana_process
6,Matiranga,0510,05(1),thana_process
7,Lakshmichhari,0510,05(1),thana_process
0,Atpara,0417,08,thana_process
1,Kalmakanda,0417,08,thana_process
2,Modan,0417,08,thana_process
3,Purbadhala,0417,08,thana_process
4,Kendua,0417,08,thana_process
5,Netrokona,0417,08,thana_process
6,Durgapur,0417,08,thana_process
7,Barhatta,0417,08,thana_process
8,Mohonganj,0417,08,thana_process
9,Khaliajhuri,0417,08,thana_process
0,Meherpur,0202,02,thana_process
1,Gagni,0202,02,thana_process
2,Mujibnagar,0202,02,thana_process
0,Rajoir,0402,04(1),thana_process
1,Kalkini,0402,04(1),thana_process
2,Shibchar,0402,04(1),thana_process
3,Madaripur,0402,04(1),thana_process
0,Dherai,0604,06,thana_process
1,Sunamganj,0604,06,thana_process
2,Dharmapasa,0604,06,thana_process
3,Sulla,0604,06,thana_process
4,Tahirpur,0604,06,thana_process
5,Chhatak,0604,06,thana_process
6,Jogonnathpur,0604,06,thana_process
7,Jamalganj,0604,06,thana_process
8,Bishwamvarpur,0604,06,thana_process
9,Dowara,0604,06,thana_process
10,Sadar,0604,06,thana_process
0,Sripur,0205,02,thana_process
1,Magura,0205,02,thana_process
2,Shalikha,0205,02,thana_process
3,Mohammadpur,0205,02,thana_process
0,Jhikarghachha,0207,02,thana_process
1,Jessore,0207,02,thana_process
2,Sarsa,0207,02,thana_process
3,Keshobpur,0207,02,thana_process
4,Bagherpara,0207,02,thana_process
5,Monirampur,0207,02,thana_process
6,Abhaynagar,0207,02,thana_process
7,Chowgachha,0207,02,thana_process
0,Sariakandi,0109,01(1),thana_process
1,Sherpur,0109,01(1),thana_process
2,Shibganj,0109,01(1),thana_process
3,Dhunot,0109,01(1),thana_process
4,Dupchanchia,0109,01(1),thana_process
5,Nandigram,0109,01(1),thana_process
6,Adamdighi,0109,01(1),thana_process
7,Bogra,0109,01(1),thana_process
8,Kahaloo,0109,01(1),thana_process
9,Gabtali,0109,01(1),thana_process
10,Sonatola,0109,01(1),thana_process
11,Shajahanpur,0109,01(1),thana_process
0,Rajbari,0405,04,thana_process
1,Baliakandi,0405,04,thana_process
2,Goalunda,0405,04,thana_process
3,Pangsha,0405,04,thana_process
0,Senbag,0505,05,thana_process
1,Begumganj,0505,05,thana_process
2,Companiganj,0505,05,thana_process
3,Sudharam,0505,05,thana_process
4,Hatiya,0505,05,thana_process
5,Chatkhil,0505,05,thana_process
6,Subarna,0505,05,thana_process
7,Sonaimuri,0505,05,thana_process
0,Khetlal,0110,01,thana_process
1,Akkelpur,0110,01,thana_process
2,Panchbibi,0110,01,thana_process
3,Joypurhat,0110,01,thana_process
4,Kalai,0110,01,thana_process
0,Kaliakair,0407,04,thana_process
1,Sreepur,0407,04,thana_process
2,Gazipur,0407,04,thana_process
3,Kapasia,0407,04,thana_process
4,Kaliganj,0407,04,thana_process
5,Tongi,0407,04,thana_process
0,Bandarban,0511,05,thana_process
1,Rowangchhari,0511,05,thana_process
2,Ruma,0511,05,thana_process
3,Thanchi,0511,05,thana_process
4,Lama,0511,05,thana_process
5,Alikadam,0511,05,thana_process
6,Naikhongchhari,0511,05,thana_process
0,Pirganj,0102,07,thana_process
1,Haripur,0102,07,thana_process
2,Thakurgaon,0102,07,thana_process
3,Baliadangi,0102,07,thana_process
4,Ranisankail,0102,07,thana_process
0,Bhola,0305,03,thana_process
1,Daulatkhan,0305,03,thana_process
2,Tajumuddin,0305,03,thana_process
3,Borhanuddin,0305,03,thana_process
4,Lalmohan,0305,03,thana_process
5,Charfashion,0305,03,thana_process
6,Monpura,0305,03,thana_process
8,Kabirhat,0505,05,thana_process
0,Panchlaish,0507,05,thana_process
1,Rangunia,0507,05,thana_process
2,Doublemooring,0507,05,thana_process
3,Fatichhari,0507,05,thana_process
4,Hathazari,0507,05,thana_process
5,Sitakunda,0507,05,thana_process
6,Mirsharai,0507,05,thana_process
7,Rawzan,0507,05,thana_process
8,Sandwip,0507,05,thana_process
9,Boalkhali,0507,05,thana_process
10,Chandlaish,0507,05,thana_process
11,Banshkhali,0507,05,thana_process
12,Satkania,0507,05,thana_process
13,Anwara,0507,05,thana_process
14,Patiya,0507,05,thana_process
15,Lohagora,0507,05,thana_process
0,Patuakhali,0302,03(1),thana_process
1,Kalapara,0302,03(1),thana_process
2,Mirzaganj,0302,03(1),thana_process
3,Golachipa,0302,03(1),thana_process
4,Bauphal,0302,03(1),thana_process
5,Dashmina,0302,03(1),thana_process
6,Dumki,0302,03(1),thana_process
0,Nachol,0112,01,thana_process
1,Gomostapur,0112,01,thana_process
2,Shibganj,0112,01,thana_process
3,Chapai,0112,01,thana_process
4,Bholahat,0112,01,thana_process
0,Manikganj,0411,04,thana_process
1,Saturia,0411,04,thana_process
2,Singair,0411,04,thana_process
3,Daulatpur,0411,04,thana_process
4,Harirampur,0411,04,thana_process
5,Shibalaya,0411,04,thana_process
6,Ghior,0411,04,thana_process
0,Lalmonirhat,0108,07,thana_process
1,Hatibandha,0108,07,thana_process
2,Kaliganj,0108,07,thana_process
3,Patgram,0108,07,thana_process
4,Aditmari,0108,07,thana_process
0,Kutubdia,0508,05(1),thana_process
1,Moheshkhali,0508,05(1),thana_process
2,Coxs,0508,05(1),thana_process
3,Ramu,0508,05(1),thana_process
4,Chakaria,0508,05(1),thana_process
5,Ukhiya,0508,05(1),thana_process
6,Teknaf,0508,05(1),thana_process
7,Pekua,0508,05(1),thana_process
0,Brahmanbaria,0501,05,thana_process
1,Nasirnagar,0501,05,thana_process
2,Nabinagar,0501,05,thana_process
3,Kashba,0501,05,thana_process
4,Sarail,0501,05,thana_process
5,Bancharampur,0501,05,thana_process
6,Akhaura,0501,05,thana_process
7,Ashuganj,0501,05,thana_process
8,Bijoy,0501,05,thana_process
0,Palong,0403,04,thana_process
1,Naria,0403,04,thana_process
2,Bhedarganj,0403,04,thana_process
3,Damoddya,0403,04,thana_process
4,Goshairhat,0403,04,thana_process
5,Janjira,0403,04,thana_process
0,Nakla,0414,08,thana_process
1,Sribordi,0414,08,thana_process
2,Sherpur,0414,08,thana_process
3,Nalitabari,0414,08,thana_process
4,Jhenaigati,0414,08,thana_process
0,Daulatpur,0201,02,thana_process
1,Kushtia,0201,02,thana_process
2,Kumarkhali,0201,02,thana_process
3,Bheramara,0201,02,thana_process
4,Mirpur,0201,02,thana_process
5,Khoksa,0201,02,thana_process
0,Barisal,0303,03,thana_process
1,Uzirpur,0303,03,thana_process
2,Bakerganj,0303,03,thana_process
3,Babuganj,0303,03,thana_process
4,Mehendiganj,0303,03,thana_process
5,Gournadi,0303,03,thana_process
6,Muladi,0303,03,thana_process
7,Hizla,0303,03,thana_process
8,Agailjhara,0303,03,thana_process
9,Banaripara,0303,03,thana_process
0,Jaldhaka,0104,07,thana_process
1,Domar,0104,07,thana_process
2,Syadpur,0104,07,thana_process
3,Dimla,0104,07,thana_process
4,Nilphamari,0104,07,thana_process
5,Kishoreganj,0104,07,thana_process
0,Senbag,0505,05(1),thana_process
1,Begumganj,0505,05(1),thana_process
