Div_Name	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
Rajshahi	15875	43233	59108	51706	110814	22050	19511	17276	14496	4473	2036	4282	4904	1909	5043	4267	5140	7986	4505	3823	4607	6883	416	2915	416	588	36	72	4943	1393	14434	14916	14975	13375	13624	1282	10100	1522	240	10854	20276	4474	10815	4086	4199	14892	16146	16634	16551	17324	15299	14260	15323	33	34	19	26	16	42	10	5	3637	3694	4697	37775	268384	10668	113	1215	483	2827
Khulna	14271	44977	59248	42247	101495	20193	20217	17484	13210	3469	746	2346	3812	940	5179	4791	6237	8043	4767	4461	5682	7731	392	2038	392	515	29	59	4183	837	10336	10357	11026	10687	11270	935	4588	1060	132	7672	24289	4285	8434	2695	2759	12331	13940	14059	13796	14409	14057	12941	12496	37	38	20	31	5	36	13	6	3136	3176	3351	47600	253771	9970	555	1414	570	11030
Barisal	6319	19776	26095	23730	49825	8093	7115	6141	4909	2963	734	2000	1210	1184	2772	2455	2912	3734	2562	2338	2639	3503	388	1385	388	213	28	17	999	275	9197	8553	8854	8313	7951	510	5615	727	131	4618	10105	1876	3831	2305	2472	7500	9674	9836	9828	9251	9146	8234	6072	47	36	6	12	6	18	15	3	1651	1687	1131	16395	105808	4407	28	243	303	1382
Dhaka	21087	65645	86732	71720	158452	47032	42150	36387	26867	6618	1267	5875	6182	1734	11677	10767	13823	17486	12038	9787	10444	13981	1871	7462	1871	1302	432	225	6219	2217	27029	26567	24930	22422	23523	1582	6580	4389	788	20142	42304	12056	31095	5994	6850	31481	35158	37056	37013	37684	33245	27298	21493	379	152	15	25	10	35	90	5	4664	4794	4136	95696	479667	14263	50	1504	778	5401
Chittagong	23666	80112	103778	84839	188617	47345	31311	27651	23183	8821	3280	6967	2917	4394	11281	10227	11315	13086	10857	9625	10246	11760	839	5418	839	825	49	123	3574	892	31590	30483	29992	27551	27602	1547	9241	1946	487	28461	33327	8910	19235	6561	6909	32865	36326	37057	36801	39986	34052	31137	22207	214	172	42	37	24	61	43	7	4765	4876	4737	59821	323474	11320	132	1228	924	3719
Sylhet	11287	32632	43919	38798	82717	14999	12172	11100	9965	4439	2706	2459	938	1516	3882	4097	4430	5777	3634	3571	3994	5324	113	2318	113	576	7	105	1853	661	10089	10018	9490	8886	8747	532	4241	581	140	6164	11119	2263	7010	2613	3317	12326	13286	12928	12427	11927	12651	11326	11038	40	24	54	75	28	103	19	7	1504	1633	2187	20512	127798	3517	14	405	312	1174
Rangpur	15363	40975	56338	48091	104429	21104	19342	16432	13679	5894	1023	4742	2919	2322	5767	4403	5339	7531	5370	3928	4767	6882	239	3024	239	541	27	68	2964	686	13835	12701	12443	10863	10411	767	5754	883	177	10732	20954	4545	13464	3209	3849	11307	12940	13090	12964	13553	13315	10668	14390	72	49	15	40	10	50	18	3	2584	2655	3682	30938	198028	11697	188	1047	571	2460
Mymensingh	9056	30254	39310	37429	76739	11325	10393	9756	7827	4400	1555	2082	1384	868	3019	2600	3364	4544	2726	2395	3135	4170	168	1831	168	333	200	205	2009	366	123700	9437	9136	8019	7426	829	3956	376	240	6232	11408	2339	5838	2012	2441	6751	7434	7466	6997	6726	6248	5821	8809	31	11	16	12	6	18	10	1	1838	1867	1621	24939	143213	6368	19	320	284	1479
